column_pair,correlation_score
CP Any Air Bags Deployed?_SV Contact Area - Front,0.780975321162948
CP Any Air Bags Deployed?_Weather - Clear,0.7862624360088863
CP Any Air Bags Deployed?_CP Pre-Crash Movement,0.7270440934994687
CP Any Air Bags Deployed?_Roadway Surface,0.7700159374094465
CP Any Air Bags Deployed?_CP Was Vehicle Towed?,0.7385637013426061
CP Any Air Bags Deployed?_Mileage,0.32777697285810525
CP Any Air Bags Deployed?_Automation System Engaged?,0.7244421906693712
CP Any Air Bags Deployed?_SV Contact Area - Right,0.7840674200714768
CP Any Air Bags Deployed?_Highest Injury Severity,0.43060344827586206
CP Any Air Bags Deployed?_Incident Time (24:00),0.6015454457645116
CP Any Air Bags Deployed?_Driver / Operator Type,0.7074181396696608
CP Any Air Bags Deployed?_Weather - Severe Wind,0.7862624360088863
CP Any Air Bags Deployed?_Roadway Type,0.7450569883125664
CP Any Air Bags Deployed?_Weather - Rain,0.7852277117743649
CP Any Air Bags Deployed?_SV Contact Area - Front Right,0.7862624360088863
CP Any Air Bags Deployed?_SV Contact Area - Rear Left,0.7806601951125278
CP Any Air Bags Deployed?_SV Pre-Crash Movement,0.7577187771660387
CP Any Air Bags Deployed?_SV Contact Area - Rear,0.7805744711677776
CP Any Air Bags Deployed?_Weather - Fog/Smoke,0.7862624360088863
CP Any Air Bags Deployed?_Crash With,0.7339841108857338
CP Any Air Bags Deployed?_ADS Equipped?,0.7156440162271805
CP Any Air Bags Deployed?_SV Was Vehicle Towed?,0.7633487877909785
CP Any Air Bags Deployed?_SV Contact Area - Rear Right,0.7862165555877524
CP Any Air Bags Deployed?_SV Contact Area - Front Left,0.7862624360088863
CP Any Air Bags Deployed?_Weather - Cloudy,0.7798766058147397
CP Any Air Bags Deployed?_SV Were All Passengers Belted?,0.7545868347338935
CP Any Air Bags Deployed?_SV Contact Area - Left,0.7833755916159567
CP Any Air Bags Deployed?_SV Precrash Speed (MPH),0.43500917608422696
CP Any Air Bags Deployed?_Make,0.6787609871534821
CP Any Air Bags Deployed?_Lighting,0.773766058147397
CP Any Air Bags Deployed?_Weather - Snow,0.7862624360088863
CP Any Air Bags Deployed?_State,0.7524376992176182
CP Any Air Bags Deployed?_Posted Speed Limit (MPH),0.5545820052158801
CP Any Air Bags Deployed?_Roadway Description,0.7643738529894717
CP Any Air Bags Deployed?_SV Any Air Bags Deployed?,0.7538153192311408
CP Any Air Bags Deployed?_Model Year,0.5424128271998461
SV Contact Area - Front_Weather - Clear,0.8704735342412827
SV Contact Area - Front_CP Pre-Crash Movement,0.7723184101226699
SV Contact Area - Front_Roadway Surface,0.8353665604172704
SV Contact Area - Front_CP Was Vehicle Towed?,0.7775282526803825
SV Contact Area - Front_Mileage,0.3412283879068848
SV Contact Area - Front_Automation System Engaged?,0.7253054670143919
SV Contact Area - Front_SV Contact Area - Right,0.8694303583502367
SV Contact Area - Front_Highest Injury Severity,0.43060344827586206
