Model,Class,Precision,Recall,F1,G_mean,AUC,Support
LR,0,0.1,0.16666666666666666,0.125,0.3976731564915331,0.8210227272727273,6
LR,1,0.15789473684210525,0.125,0.13953488372093023,0.3351742414803064,0.5443037974683544,24
LR,2,0.18181818181818182,0.4,0.25000000000000006,0.5984476041256419,0.747093023255814,10
LR,3,0.8559322033898306,0.7372262773722628,0.792156862745098,0.6772876586703657,0.7088402270884022,137
LR,4,0.15384615384615385,0.4,0.2222222222222222,0.6124877492145072,0.9084745762711866,5
DT,0,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.40122917202622305,0.6392045454545454,6
DT,1,0.32432432432432434,0.5,0.39344262295081966,0.6487573320968073,0.7451213080168776,24
DT,2,0.36363636363636365,0.4,0.380952380952381,0.6194521210170792,0.7447674418604652,10
DT,3,0.8547008547008547,0.7299270072992701,0.7874015748031495,0.6739264088472628,0.708515815085158,137
DT,4,0.1,0.2,0.13333333333333333,0.435695430862634,0.5711864406779661,5
RF,0,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8095078939102635,0.9801136363636364,6
RF,1,0.35714285714285715,0.20833333333333334,0.2631578947368421,0.4432451293874964,0.7737341772151898,24
RF,2,0.0,0.0,0.0,0.0,0.7802325581395348,10
RF,3,0.8205128205128205,0.9343065693430657,0.8737201365187713,0.5941045863563104,0.794971613949716,137
RF,4,0.25,0.2,0.22222222222222224,0.4434074531303296,0.8384180790960453,5
XGB,0,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8095078939102635,0.9943181818181818,6
XGB,1,0.42857142857142855,0.25,0.3157894736842105,0.4871773518462232,0.8048523206751055,24
XGB,2,0.0,0.0,0.0,0.0,0.7982558139534884,10
XGB,3,0.8125,0.948905109489051,0.8754208754208753,0.5624070618004516,0.8204379562043795,137
XGB,4,0.0,0.0,0.0,0.0,0.6994350282485876,5
SVM,0,0.3076923076923077,0.6666666666666666,0.42105263157894735,0.7953463129830662,0.9384469696969697,6
SVM,1,0.2631578947368421,0.20833333333333334,0.23255813953488372,0.4357446703305951,0.6360759493670887,24
SVM,2,0.0,0.0,0.0,0.0,0.6773255813953489,10
SVM,3,0.8368794326241135,0.8613138686131386,0.8489208633093525,0.6489119972776491,0.6921330089213302,137
SVM,4,0.3333333333333333,0.2,0.25,0.4446797870314664,0.8203389830508474,5
