Original,Model,Class,Precision,Recall,F1,G_mean,AUC,Support
,LR,0,0.25,0.166666667,0.2,0.404753947,0.846590909,6
,LR,1,0.4,0.083333333,0.137931034,0.285921414,0.657436709,24
,LR,2,0,0,0,0,0.81744186,10
,LR,3,0.783625731,0.97810219,0.87012987,0.416995004,0.780697486,137
,LR,4,0,0,0,0,0.875706215,5
,DT,0,0.5,0.333333333,0.4,0.574060497,0.645833333,6
,DT,1,0.272727273,0.125,0.171428571,0.344486409,0.683016878,24
,DT,2,0.1,0.1,0.1,0.30784321,0.712209302,10
,DT,3,0.815286624,0.934306569,0.870748299,0.576366109,0.762368208,137
,DT,4,0,0,0,0,0.761581921,5
,RF,0,0,0,0,0,0.96875,6
,RF,1,0.428571429,0.125,0.193548387,0.349049342,0.733649789,24
,RF,2,0,0,0,0,0.873255814,10
,RF,3,0.777142857,0.99270073,0.871794872,0.363813273,0.832927818,137
,RF,4,0,0,0,0,0.872316384,5
,XGB,0,0,0,0,0,0.966856061,6
,XGB,1,0.666666667,0.083333333,0.148148148,0.287760156,0.636471519,24
,XGB,2,0,0,0,0,0.823255814,10
,XGB,3,0.759776536,0.99270073,0.860759494,0.210047691,0.784671533,137
,XGB,4,0,0,0,0,0.861016949,5
,SVM,0,0.5,0.166666667,0.25,0.407086842,0.944128788,6
,SVM,1,0.333333333,0.041666667,0.074074074,0.202828106,0.761603376,24
,SVM,2,0,0,0,0,0.827906977,10
,SVM,3,0.768361582,0.99270073,0.866242038,0.297052293,0.773722628,137
,SVM,4,0,0,0,0,0.810169492,5
CtGan,LR,0,0.1,0.166666667,0.125,0.397673156,0.821022727,6
,LR,1,0.157894737,0.125,0.139534884,0.335174241,0.544303797,24
,LR,2,0.181818182,0.4,0.25,0.598447604,0.747093023,10
,LR,3,0.855932203,0.737226277,0.792156863,0.677287659,0.708840227,137
,LR,4,0.153846154,0.4,0.222222222,0.612487749,0.908474576,5
,DT,0,0.142857143,0.166666667,0.153846154,0.401229172,0.639204545,6
,DT,1,0.324324324,0.5,0.393442623,0.648757332,0.745121308,24
,DT,2,0.363636364,0.4,0.380952381,0.619452121,0.744767442,10
,DT,3,0.854700855,0.729927007,0.787401575,0.673926409,0.708515815,137
,DT,4,0.1,0.2,0.133333333,0.435695431,0.571186441,5
,RF,0,0.571428571,0.666666667,0.615384615,0.809507894,0.980113636,6
,RF,1,0.357142857,0.208333333,0.263157895,0.443245129,0.773734177,24
,RF,2,0,0,0,0,0.780232558,10
,RF,3,0.820512821,0.934306569,0.873720137,0.594104586,0.794971614,137
,RF,4,0.25,0.2,0.222222222,0.443407453,0.838418079,5
,XGB,0,0.571428571,0.666666667,0.615384615,0.809507894,0.994318182,6
,XGB,1,0.428571429,0.25,0.315789474,0.487177352,0.804852321,24
,XGB,2,0,0,0,0,0.798255814,10
,XGB,3,0.8125,0.948905109,0.875420875,0.562407062,0.820437956,137
,XGB,4,0,0,0,0,0.699435028,5
,SVM,0,0.307692308,0.666666667,0.421052632,0.795346313,0.93844697,6
,SVM,1,0.263157895,0.208333333,0.23255814,0.43574467,0.636075949,24
,SVM,2,0,0,0,0,0.677325581,10
,SVM,3,0.836879433,0.861313869,0.848920863,0.648911997,0.692133009,137
,SVM,4,0.333333333,0.2,0.25,0.444679787,0.820338983,5
TabDiff,LR,0,0.307692308,0.666666667,0.421052632,0.795346313,0.96969697,6
,LR,1,0.25,0.208333333,0.227272727,0.434229032,0.568829114,24
,LR,2,0.238095238,0.5,0.322580645,0.673415453,0.653488372,10
,LR,3,0.865546218,0.751824818,0.8046875,0.696067042,0.774695864,137
,LR,4,0,0,0,0,0.745762712,5
,DT,0,0.230769231,0.5,0.315789474,0.68672477,0.872632576,6
,DT,1,0.382352941,0.541666667,0.448275862,0.685326926,0.777953586,24
,DT,2,0.315789474,0.6,0.413793103,0.74474906,0.752034884,10
,DT,3,0.933962264,0.722627737,0.814814815,0.781165141,0.796350365,137
,DT,4,0.3,0.6,0.4,0.759125277,0.75480226,5
,RF,0,0.454545455,0.833333333,0.588235294,0.897175703,0.985795455,6
,RF,1,0.526315789,0.416666667,0.465116279,0.626843273,0.757911392,24
,RF,2,0.285714286,0.6,0.387096774,0.740050281,0.789534884,10
,RF,3,0.896825397,0.824817518,0.859315589,0.765856972,0.8243309,137
,RF,4,0.4,0.4,0.4,0.627072834,0.784180791,5
,XGB,0,0.333333333,0.666666667,0.444444444,0.797724035,0.977272727,6
,XGB,1,0.45,0.375,0.409090909,0.590671148,0.749472574,24
,XGB,2,0.333333333,0.5,0.4,0.686243566,0.739534884,10
,XGB,3,0.899224806,0.846715328,0.872180451,0.775956621,0.830170316,137
,XGB,4,0.166666667,0.2,0.181818182,0.440851769,0.815819209,5
,SVM,0,0.272727273,0.5,0.352941176,0.69084928,0.961174242,6
,SVM,1,0.318181818,0.291666667,0.304347826,0.51378672,0.741824895,24
,SVM,2,0.259259259,0.7,0.378378378,0.786514241,0.723837209,10
,SVM,3,0.904347826,0.759124088,0.825396825,0.75733772,0.814274128,137
,SVM,4,0.142857143,0.2,0.166666667,0.439568355,0.81920904,5
AdaSyn,LR,0,0.285714286,0.666666667,0.4,0.792961461,0.862689394,6
,LR,1,0.181818182,0.166666667,0.173913043,0.384290678,0.652162447,24
,LR,2,0.230769231,0.3,0.260869565,0.531561981,0.825581395,10
,LR,3,0.858267717,0.795620438,0.825757576,0.690921314,0.776966748,137
,LR,4,0,0,0,0,0.901694915,5
,DT,0,0.285714286,0.333333333,0.307692308,0.569090183,0.717329545,6
,DT,1,0.365853659,0.625,0.461538462,0.722600788,0.775975738,24
,DT,2,0.230769231,0.3,0.260869565,0.531561981,0.740406977,10
,DT,3,0.897435897,0.766423358,0.826771654,0.749695802,0.828467153,137
,DT,4,0.25,0.2,0.222222222,0.443407453,0.589830508,5
,RF,0,0.454545455,0.833333333,0.588235294,0.897175703,0.977272727,6
,RF,1,0.416666667,0.208333333,0.277777778,0.446210013,0.741033755,24
,RF,2,0.266666667,0.4,0.32,0.611897544,0.88372093,10
,RF,3,0.852112676,0.883211679,0.867383513,0.686328077,0.813949716,137
,RF,4,0.5,0.2,0.285714286,0.445948491,0.854237288,5
,XGB,0,0.5,0.666666667,0.571428571,0.807164885,0.982007576,6
,XGB,1,0.6,0.5,0.545454545,0.688972818,0.823839662,24
,XGB,2,0.2,0.1,0.133333333,0.312529068,0.834883721,10
,XGB,3,0.859060403,0.934306569,0.895104895,0.705901436,0.848012976,137
,XGB,4,0,0,0,0,0.790960452,5
,SVM,0,0.25,0.5,0.333333333,0.688790112,0.933712121,6
,SVM,1,0.375,0.25,0.3,0.483918604,0.710706751,24
,SVM,2,0.166666667,0.2,0.181818182,0.43401854,0.826162791,10
,SVM,3,0.85,0.868613139,0.859205776,0.680632309,0.794809408,137
,SVM,4,0.5,0.2,0.285714286,0.445948491,0.788700565,5
Smote,LR,0,0.181818182,0.333333333,0.235294118,0.562394771,0.923295455,6
,LR,1,0.214285714,0.25,0.230769231,0.463885625,0.644778481,24
,LR,2,0.25,0.4,0.307692308,0.609994281,0.721511628,10
,LR,3,0.884297521,0.781021898,0.829457364,0.733510264,0.764963504,137
,LR,4,0.166666667,0.2,0.181818182,0.440851769,0.888135593,5
,DT,0,0.333333333,0.5,0.4,0.694949311,0.726325758,6
,DT,1,0.40625,0.541666667,0.464285714,0.690311188,0.738660338,24
,DT,2,0.333333333,0.5,0.4,0.686243566,0.756395349,10
,DT,3,0.892561983,0.788321168,0.837209302,0.748721538,0.784752636,137
,DT,4,0.2,0.2,0.2,0.442131458,0.588135593,5
,RF,0,0.5,0.5,0.5,0.701054401,0.96875,6
,RF,1,0.458333333,0.458333333,0.458333333,0.648554055,0.813027426,24
,RF,2,0.090909091,0.1,0.095238095,0.306897453,0.813372093,10
,RF,3,0.848920863,0.861313869,0.855072464,0.677766476,0.829683698,137
,RF,4,0.5,0.2,0.285714286,0.445948491,0.859887006,5
,XGB,0,0.428571429,0.5,0.461538462,0.699025295,0.928977273,6
,XGB,1,0.5,0.5,0.5,0.679724442,0.84335443,24
,XGB,2,0.222222222,0.2,0.210526316,0.438018795,0.78255814,10
,XGB,3,0.852112676,0.883211679,0.867383513,0.686328077,0.828548256,137
,XGB,4,0,0,0,0,0.827118644,5
,SVM,0,0.333333333,0.5,0.4,0.694949311,0.942234848,6
,SVM,1,0.407407407,0.458333333,0.431372549,0.641809809,0.718618143,24
,SVM,2,0.1875,0.3,0.230769231,0.526617111,0.836627907,10
,SVM,3,0.875,0.817518248,0.845283019,0.725840956,0.79432279,137
,SVM,4,0.5,0.2,0.285714286,0.445948491,0.805649718,5
