Original,Model,Recall,Specificity,F1-Weighted,AUC,Accuracy
,LR,0.752747253,0.826023415,0.679769984,0.77124468,0.752747253
,DT,0.736263736,0.848246685,0.696740674,0.760070573,0.736263736
,RF,0.763736264,0.821603376,0.681764059,0.834615629,0.763736264
,XGB,0.758241758,0.807623066,0.667470364,0.836334819,0.758241758
,SVM,0.758241758,0.814109769,0.670071082,0.705787708,0.758241758
CtGan,LR,0.60989011,0.860604396,0.638656256,0.698427702,0.60989011
,DT,0.648351648,0.867671667,0.67426322,0.709276989,0.648351648
,RF,0.758241758,0.856201438,0.718784983,0.798658402,0.758241758
,XGB,0.769230769,0.851968203,0.720900632,0.819571967,0.769230769
,SVM,0.703296703,0.860592355,0.690438843,0.695569657,0.703296703
TabDiff,LR,0.642857143,0.870900132,0.667301402,0.746522589,0.642857143
,DT,0.681318681,0.90791709,0.716598452,0.792862866,0.681318681
,RF,0.747252747,0.903179944,0.759831901,0.817880397,0.747252747
,XGB,0.741758242,0.901929638,0.752102534,0.819004156,0.741758242
,SVM,0.67032967,0.892997385,0.698453171,0.804729757,0.67032967
Smote,LR,0.659340659,0.880099198,0.684460984,0.755331047,0.659340659
,DT,0.714285714,0.895205727,0.732090833,0.76978871,0.714285714
,RF,0.736263736,0.874044029,0.733658681,0.832005389,0.736263736
,XGB,0.758241758,0.878791804,0.745637556,0.831245361,0.758241758
,SVM,0.714285714,0.88557132,0.726884497,0.791851618,0.714285714
AdaSyn,LR,0.659340659,0.867443986,0.672040641,0.769432792,0.659340659
,DT,0.692307692,0.893055719,0.713794507,0.806486908,0.692307692
,RF,0.747252747,0.877067084,0.734374676,0.814659084,0.747252747
,XGB,0.796703297,0.887343467,0.771880135,0.846953926,0.796703297
,SVM,0.71978022,0.871023316,0.715153542,0.789853046,0.71978022
