Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Roadway Type,-0.10878397987483404,0.1113092029368566,0.04909891269735798,-0.30288647214108705,0.13064060032258124,53,129,0
Incident Time (24:00),0.09577763137266018,0.1002919601015295,0.23150165841723117,-0.03901364648228376,0.11504863790717565,129,53,0
Weather - Rain,0.06318221568621472,0.05532866818783129,0.1644677773869248,0.03149913873218695,0.06318221568621472,182,0,0
SV Contact Area - Front Left,0.05654821011201121,0.01222767854383206,0.08083812632886227,0.04487315698489258,0.05654821011201121,182,0,0
SV Contact Area - Rear Left,-0.05369290462391936,0.0026404326702081362,-0.04457231719155834,-0.055672173405763394,0.05369290462391936,0,182,0
Weather - Clear,-0.04502578868277084,0.05020257016972362,-0.013736796343938417,-0.13873280047298875,0.04502578868277084,0,182,0
CP Pre-Crash Movement,-0.013573388575079474,0.011567178309438722,0.023759084035627504,-0.020473147740234846,0.017625946491489627,16,166,0
Lighting,0.010707195202809808,0.011099971296345589,0.06288542131381962,-0.01202652427938106,0.01286033103522266,129,53,0
SV Contact Area - Rear,0.00633395181365843,0.011530728159853884,0.010181793141720647,-0.031002205434381015,0.011749662054050317,166,16,0
State,-0.011623670906729076,0.004505401637723763,-0.007826031221309511,-0.021070229278901717,0.011623670906729076,0,182,0
SV Contact Area - Right,0.0001489212335480789,0.01178882643614527,0.008905278441958226,-0.022556480650189174,0.009959208607160566,140,42,0
SV Contact Area - Front,0.008822030668785041,0.007136829825081544,0.020895853290417214,0.00023825109404055896,0.008822030668785041,182,0,0
Crash With,-0.006285254279134436,0.00976405639405159,0.009622680117945844,-0.024903070372570897,0.008536942872948863,56,126,0
SV Contact Area - Rear Right,0.006410321549776232,0.0011081580908562465,0.011428493634491308,0.0050932448940152406,0.006410321549776232,182,0,0
CP Any Air Bags Deployed?,-0.00573875785761233,0.0011169870258330155,-0.005055736530588507,-0.010413195344691296,0.00573875785761233,0,182,0
CP Was Vehicle Towed?,-0.0029920604336035545,0.003913543497322819,0.0033240505267992542,-0.005485340296200351,0.004815001367071758,52,130,0
SV Precrash Speed (MPH),0.004702660371769629,0.0026581527004325826,0.010756632179503822,2.266929362324736e-06,0.004702660371769629,182,0,0
Weather - Snow,-0.0045048164908673485,0.001229070485166524,-0.002057901953779192,-0.007821642161735762,0.0045048164908673485,0,182,0
ADS Equipped?,0.0026314657829642455,0.003435818537177204,0.0048214317937694895,-0.0029217299253261816,0.0042287827012640385,130,52,0
SV Contact Area - Left,-0.003550630887495543,0.0019348792988184615,-0.000979508910269307,-0.008920056986252,0.003550630887495543,0,182,0
Driver / Operator Type,0.002299153299363535,0.002188084698142937,0.008499392410035526,-0.0014771856346402113,0.0027316313801828062,129,53,0
Weather - Cloudy,-0.0020279396058473,0.0007063502409957469,-0.0015706938242131489,-0.00320041919217604,0.0020279396058473,0,182,0
SV Were All Passengers Belted?,0.002023175387253024,0.00061354380844172,0.004132867502561439,0.0010738319821649528,0.002023175387253024,182,0,0
Automation System Engaged?,-0.0014580295342670236,7.043803141427402e-05,-0.0012311468965526054,-0.0014798977403117867,0.0014580295342670236,0,182,0
SV Contact Area - Front Right,0.0005464041658556344,0.001438959511531709,0.003986068212040349,-0.0019516493454858378,0.001296774577479073,140,42,0
SV Any Air Bags Deployed?,-0.0012367095451498882,0.0002849675647491358,-0.0010194292272492037,-0.001977368249059355,0.0012367095451498882,0,182,0
Make,0.00036059465063930735,0.0004778713315181214,0.0006639085024308577,-0.0004023206014730716,0.000586218665807718,130,52,0
SV Pre-Crash Movement,0.0,0.0,0.0,0.0,0.0,0,0,182
Roadway Description,0.0,0.0,0.0,0.0,0.0,0,0,182
Roadway Surface,0.0,0.0,0.0,0.0,0.0,0,0,182
Weather - Severe Wind,0.0,0.0,0.0,0.0,0.0,0,0,182
Weather - Fog/Smoke,0.0,0.0,0.0,0.0,0.0,0,0,182
Model Year,0.0,0.0,0.0,0.0,0.0,0,0,182
Mileage,0.0,0.0,0.0,0.0,0.0,0,0,182
Posted Speed Limit (MPH),0.0,0.0,0.0,0.0,0.0,0,0,182
SV Was Vehicle Towed?,0.0,0.0,0.0,0.0,0.0,0,0,182
