Feature,Importance
SV Contact Area - Rear,1.1719678800262003
CP Was Vehicle Towed?,0.8458022499323945
Automation System Engaged?,0.7657911723207321
Posted Speed Limit (MPH),0.7292565107229585
SV Was Vehicle Towed?,0.6161962484695136
SV Contact Area - Left,0.551871338467197
Mileage,0.4985508094331375
Lighting,0.4394885981380312
Model Year,0.419606152370899
SV Any Air Bags Deployed?,0.4186057698960652
Driver / Operator Type,0.34004736535586205
Weather - Cloudy,0.31247098603328566
CP Pre-Crash Movement,0.2947666419612956
SV Contact Area - Rear Right,0.2535540586999753
SV Contact Area - Front Left,0.23157954438371212
SV Contact Area - Rear Left,0.2310149009136079
SV Contact Area - Right,0.23092524856486474
ADS Equipped?,0.22816395184407567
Roadway Type,0.21245344577779293
Roadway Description,0.206559882614854
SV Pre-Crash Movement,0.18973507759815988
Roadway Surface,0.18875874388105462
Weather - Rain,0.18077404809639275
CP Any Air Bags Deployed?,0.14246346289393463
SV Precrash Speed (MPH),0.11396276461653923
Crash With,0.11046312020490481
Weather - Clear,0.10632652223855009
Weather - Severe Wind,0.09865184617672357
SV Were All Passengers Belted?,0.09243933682718648
Weather - Fog/Smoke,0.07054509411901869
SV Contact Area - Front Right,0.056206408687957295
Make,0.04814346412954208
State,0.03725932445506048
Weather - Snow,0.030047394839384397
Incident Time (24:00),0.009138118725639868
SV Contact Area - Front,0.0013816634194076189
