Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Roadway Type,-0.06325223708080357,0.12178328824426046,0.1309217394945493,-0.18104664517110775,0.13347077937233726,53,129,0
Incident Time (24:00),0.043421516549501236,0.05083655383059005,0.10054179911423203,-0.036543054521574234,0.06085884091542185,129,53,0
Driver / Operator Type,0.01136026808682368,0.039900153719773304,0.04200358248372414,-0.0563405076306935,0.04082636112271114,129,53,0
Lighting,0.010749572798397338,0.03009763685594402,0.041777260095638695,-0.038534437783665984,0.030522442429017974,129,53,0
SV Contact Area - Front Left,0.018198404616104627,0.004503566227976999,0.02808995092536519,0.011730743574743931,0.018198404616104627,182,0,0
Roadway Surface,-0.017382385694933538,0.002213544761219178,-0.014864661647146268,-0.025993125169497228,0.017382385694933538,0,182,0
SV Contact Area - Rear Left,-0.01722810460239617,0.0018190958367503506,-0.014193443214237232,-0.02365683482230725,0.01722810460239617,0,182,0
SV Contact Area - Right,0.017174753678156768,0.004878550368001859,0.026412049627264768,0.009835765036009076,0.017174753678156768,182,0,0
Automation System Engaged?,-0.01377030640247326,0.0019602189461193496,-0.01027939851758615,-0.01973587085879191,0.01377030640247326,0,182,0
SV Contact Area - Left,-0.011646539682953825,0.00287616428305827,-0.0065751011130486085,-0.018922159954116242,0.011646539682953825,0,182,0
SV Were All Passengers Belted?,0.01151199556943542,0.002401131106512834,0.014649481090294639,0.007146819975368863,0.01151199556943542,182,0,0
Weather - Rain,0.011363915346201802,0.005219215154384717,0.019542222157669042,0.000564578789438259,0.011363915346201802,182,0,0
Weather - Severe Wind,0.009902683067184826,0.005543034541995698,0.02405651392040933,0.0025240070534070084,0.009902683067184826,182,0,0
State,0.008902731227172209,0.001729783946128656,0.013148178410551565,0.005807732086407878,0.008902731227172209,182,0,0
Weather - Snow,-0.008787283002236183,0.004342137231513978,-0.0027507994672276255,-0.017893502748993543,0.008787283002236183,0,182,0
Roadway Description,0.008049002948650578,0.004464608180016202,0.014802758283128211,0.0006417709729273708,0.008049002948650578,182,0,0
SV Contact Area - Rear Right,0.0076403986722609315,0.001487419311215932,0.011317089842578643,0.005469392374828947,0.0076403986722609315,182,0,0
Weather - Cloudy,-0.007307411619694419,0.0013662745006094127,-0.004996542466713004,-0.010529440785488132,0.007307411619694419,0,182,0
SV Contact Area - Front Right,-0.006498514008911468,0.0047845734718386995,-0.0014552610093893478,-0.015564285259360202,0.006498514008911468,0,182,0
SV Contact Area - Rear,0.0008922542237308716,0.00789033875766432,0.007909488655187731,-0.021929869048340378,0.006331733151541729,103,79,0
Make,0.0035567730851803216,0.004877019405048828,0.008348829580983572,-0.00578462335823992,0.005880717855483845,130,52,0
CP Was Vehicle Towed?,-0.003784720078106505,0.004578133929191821,0.006610256583331509,-0.01161557469208713,0.005603459146645836,52,130,0
CP Pre-Crash Movement,-0.004242500351001494,0.0032241285611679577,0.00616368151337737,-0.008838863423714857,0.005180603766658575,16,166,0
Weather - Clear,-0.004171951951443393,0.0025401726538942784,0.0026290192488464914,-0.007763151857442,0.0043985663184441855,20,162,0
SV Precrash Speed (MPH),0.004322391698240867,0.0013103073437292067,0.007299670512721267,0.002419850151541756,0.004322391698240867,182,0,0
Crash With,-0.0021923965894378086,0.004419232930519713,0.009528689098227306,-0.008314233042698233,0.0038944111518453154,21,161,0
CP Any Air Bags Deployed?,-0.0035338462647645087,0.0010935689869638965,0.0005314345558611502,-0.00546755560367299,0.003540309717429973,2,180,0
SV Contact Area - Front,0.0012202510184674833,0.0042298325034144536,0.01025683484928448,-0.0031383723619172123,0.0033649578416009122,95,87,0
Posted Speed Limit (MPH),-0.002279120353918731,0.003792194451016712,0.004749164368818282,-0.012959435709429864,0.003098359920137105,53,129,0
SV Any Air Bags Deployed?,-0.001848241574458628,0.0020030212496075245,0.0020890159447434454,-0.003960853139629252,0.0025419554916083684,51,131,0
ADS Equipped?,-0.0008214706774156544,0.00173537939049426,0.0026892944719270465,-0.0027223608988843615,0.001872891803524253,52,130,0
SV Pre-Crash Movement,-0.0018299758052777563,0.00022468755171611734,-0.0014591163143151896,-0.00272489461483169,0.0018299758052777563,0,182,0
Weather - Fog/Smoke,0.0012606754843758174,0.0009406212928593623,0.0033591355058787934,-0.00023591887853549682,0.0012864833981191873,159,23,0
Model Year,0.00023364424144180118,0.0013157264618340661,0.003076135108470253,-0.0032609122804916307,0.0010713470929733157,130,52,0
Mileage,0.0008157734289000215,0.0006249584463633091,0.0027614126356247768,-0.0008917033048224383,0.0008463115467305599,173,9,0
SV Was Vehicle Towed?,1.645523956039947e-05,0.0003045747861962627,0.00013697539213656815,-0.0019796922506473244,0.00012918453485502915,175,7,0
