Feature,Importance
Roadway Type,0.1334707793723373
Incident Time (24:00),0.06085884091542183
Driver / Operator Type,0.04082636112271113
Lighting,0.03052244242901796
SV Contact Area - Front Left,0.018198404616104624
Roadway Surface,0.017382385694933535
SV Contact Area - Rear Left,0.017228104602396172
SV Contact Area - Right,0.01717475367815676
Automation System Engaged?,0.013770306402473268
SV Contact Area - Left,0.011646539682953823
SV Were All Passengers Belted?,0.011511995569435421
Weather - Rain,0.011363915346201802
Weather - Severe Wind,0.009902683067184824
State,0.008902731227172207
Weather - Snow,0.008787283002236183
Roadway Description,0.008049002948650585
SV Contact Area - Rear Right,0.007640398672260932
Weather - Cloudy,0.007307411619694419
SV Contact Area - Front Right,0.006498514008911461
SV Contact Area - Rear,0.006331733151541728
Make,0.005880717855483846
CP Was Vehicle Towed?,0.005603459146645836
CP Pre-Crash Movement,0.005180603766658575
Weather - Clear,0.0043985663184441855
SV Precrash Speed (MPH),0.0043223916982408645
Crash With,0.0038944111518453154
CP Any Air Bags Deployed?,0.0035403097174299724
SV Contact Area - Front,0.003364957841600911
Posted Speed Limit (MPH),0.003098359920137107
SV Any Air Bags Deployed?,0.0025419554916083676
ADS Equipped?,0.001872891803524253
SV Pre-Crash Movement,0.001829975805277757
Weather - Fog/Smoke,0.001286483398119188
Model Year,0.0010713470929733162
Mileage,0.00084631154673056
SV Was Vehicle Towed?,0.00012918453485502888
