Feature,Importance
Roadway Type,0.03196787230445247
Weather - Clear,0.025872678894156193
Weather - Severe Wind,0.017673556289736124
Roadway Description,0.01625223714193543
Incident Time (24:00),0.015373115060512163
SV Contact Area - Left,0.011668460115599797
Roadway Surface,0.009356277833076408
SV Were All Passengers Belted?,0.008947240074812398
Lighting,0.00786670720941185
Weather - Snow,0.007300128118108715
Driver / Operator Type,0.006265859111019551
Model Year,0.00597651160562591
Make,0.005755737769153465
SV Precrash Speed (MPH),0.005167365109400095
SV Contact Area - Right,0.00503260186737724
Mileage,0.00497402276745784
Weather - Rain,0.004938476497738824
ADS Equipped?,0.0045505087809917175
CP Any Air Bags Deployed?,0.0041201720958538085
SV Any Air Bags Deployed?,0.003037323303453446
CP Pre-Crash Movement,0.002889136532240465
SV Contact Area - Front Right,0.002566701019986992
State,0.001914115354014367
Automation System Engaged?,0.0017890151559290222
Crash With,0.0012909105407950786
SV Contact Area - Front Left,0.0012492304618782477
SV Contact Area - Rear Left,0.0010900384826227631
SV Was Vehicle Towed?,0.0010562027057582164
SV Contact Area - Rear,0.0009885019134003494
SV Contact Area - Front,0.0008391435391444192
CP Was Vehicle Towed?,0.00032076712556568677
Posted Speed Limit (MPH),3.1763601782216785e-05
SV Contact Area - Rear Right,0.0
SV Pre-Crash Movement,0.0
Weather - Fog/Smoke,0.0
Weather - Cloudy,0.0
