Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Roadway Type,-0.32969448,0.85654986,1.0008842,-1.1260502,0.89626336,53,129,0
SV Contact Area - Front Right,-0.2530264,0.07639746,-0.1189119,-0.40091988,0.2530264,0,182,0
SV Contact Area - Left,-0.22248536,0.014983854,-0.18395981,-0.26555306,0.22248536,0,182,0
Make,-0.19704123,0.013943084,-0.16938035,-0.20687027,0.19704123,0,182,0
Roadway Surface,-0.1912834,0.019837286,-0.17727038,-0.24325769,0.1912834,0,182,0
SV Contact Area - Right,0.16430111,0.014146596,0.17880489,0.11235296,0.16430111,182,0,0
SV Precrash Speed (MPH),0.09679258,0.0053871246,0.10732203,0.08342082,0.09679258,182,0,0
SV Contact Area - Front Left,0.07243507,0.006578629,0.091016866,0.06299331,0.07243507,182,0,0
SV Any Air Bags Deployed?,-0.06404086,0.010459975,-0.04734799,-0.07698102,0.06404086,0,182,0
Weather - Clear,-0.05969863,0.011247975,-0.028326487,-0.075029925,0.05969863,0,182,0
Automation System Engaged?,-0.05057405,0.0011081396,-0.046694335,-0.051509347,0.05057405,0,182,0
Driver / Operator Type,0.023845144,0.039879877,0.07287461,-0.041930947,0.043948483,129,53,0
SV Contact Area - Rear Right,-0.040130593,0.016884541,-0.0029456713,-0.08402451,0.040130593,0,182,0
Crash With,0.03493078,0.0068665696,0.04394106,0.022823675,0.03493078,182,0,0
ADS Equipped?,0.03199015,0.0122755915,0.039677273,-0.0022097062,0.03215857,170,12,0
State,0.03180599,0.012273321,0.06827015,0.011430216,0.03180599,182,0,0
CP Was Vehicle Towed?,0.030868473,1.8626451e-09,0.03086847,0.03086847,0.030868473,182,0,0
Weather - Snow,-0.030843362,0.008635574,-0.0058016125,-0.041652553,0.030843362,0,182,0
CP Any Air Bags Deployed?,-0.028579345,0.016192736,-0.01308242,-0.07157466,0.028579345,0,182,0
CP Pre-Crash Movement,-0.019429768,0.0013699958,-0.017438034,-0.024562523,0.019429768,0,182,0
SV Were All Passengers Belted?,0.018848024,0.0012541048,0.022013478,0.0158856,0.018848024,182,0,0
Roadway Description,0.018739508,0.007072219,0.02994914,0.010465291,0.018739508,182,0,0
Mileage,0.015044292,0.00033704314,0.01581534,0.0145768,0.015044292,182,0,0
Model Year,-0.013973511,0.00063217286,-0.012731276,-0.014485015,0.013973511,0,182,0
SV Contact Area - Rear,0.011913226,0.0021694193,0.0125867445,0.004925473,0.011913226,182,0,0
Weather - Fog/Smoke,-0.010914175,0.001235713,-0.0070584402,-0.013416053,0.010914175,0,182,0
Weather - Cloudy,-0.00903444,1.8626451e-09,-0.009034438,-0.009034438,0.00903444,0,182,0
Weather - Rain,0.0013856861,0.010588781,0.018745385,-0.023851182,0.0074857646,113,69,0
SV Pre-Crash Movement,-0.0060361773,4.656613e-10,-0.0060361777,-0.0060361777,0.0060361773,0,182,0
Incident Time (24:00),0.00051079434,0.007809205,0.02124396,-0.01108227,0.0055637597,53,129,0
Weather - Severe Wind,-0.0013745488,0.006498577,0.008224168,-0.017019164,0.004367353,93,89,0
SV Contact Area - Front,-0.0009193021,0.004611856,0.0050678896,-0.013226954,0.0034437631,53,129,0
SV Contact Area - Rear Left,0.0032987597,4.656613e-10,0.0032987602,0.0032987602,0.0032987597,182,0,0
Lighting,-0.00037725156,0.0031755825,0.00181183,-0.006175238,0.0027193928,129,53,0
Posted Speed Limit (MPH),0.0,0.0,0.0,0.0,0.0,0,0,182
SV Was Vehicle Towed?,0.0,0.0,0.0,0.0,0.0,0,0,182
