Feature,Importance
Roadway Type,0.8962631
SV Contact Area - Front Right,0.25302646
SV Contact Area - Left,0.22248542
Make,0.19704124
Roadway Surface,0.19128351
SV Contact Area - Right,0.16430104
SV Precrash Speed (MPH),0.09679255
SV Contact Area - Front Left,0.07243507
SV Any Air Bags Deployed?,0.064040884
Weather - Clear,0.059698656
Automation System Engaged?,0.050574087
Driver / Operator Type,0.043948434
SV Contact Area - Rear Right,0.04013063
Crash With,0.0349308
ADS Equipped?,0.032158554
State,0.03180599
CP Was Vehicle Towed?,0.03086852
Weather - Snow,0.030843392
CP Any Air Bags Deployed?,0.028579364
CP Pre-Crash Movement,0.01942974
SV Were All Passengers Belted?,0.01884802
Roadway Description,0.018739512
Mileage,0.015044286
Model Year,0.013973522
SV Contact Area - Rear,0.011913225
Weather - Fog/Smoke,0.010914171
Weather - Cloudy,0.009034425
Weather - Rain,0.007485757
SV Pre-Crash Movement,0.006036173
Incident Time (24:00),0.0055637574
Weather - Severe Wind,0.004367351
SV Contact Area - Front,0.0034437638
SV Contact Area - Rear Left,0.0032987597
Lighting,0.0027193911
Posted Speed Limit (MPH),0.0
SV Was Vehicle Towed?,0.0
