Feature,Importance,Rank
Roadway Type,0.13064060032258124,1
Incident Time (24:00),0.1150486379071756,2
Weather - Rain,0.06318221568621481,3
SV Contact Area - Front Left,0.05654821011201118,4
SV Contact Area - Rear Left,0.05369290462391935,5
Weather - Clear,0.0450257886827708,6
CP Pre-Crash Movement,0.01762594649148965,7
Lighting,0.01286033103522269,8
SV Contact Area - Rear,0.011749662054050319,9
State,0.011623670906729049,10
SV Contact Area - Right,0.009959208607160552,11
SV Contact Area - Front,0.008822030668785041,12
Crash With,0.008536942872948872,13
SV Contact Area - Rear Right,0.006410321549776214,14
CP Any Air Bags Deployed?,0.005738757857612321,15
CP Was Vehicle Towed?,0.004815001367071777,16
SV Precrash Speed (MPH),0.004702660371769633,17
Weather - Snow,0.0045048164908673485,18
ADS Equipped?,0.004228782701264032,19
SV Contact Area - Left,0.0035506308874955427,20
