Feature,Importance,Rank
SV Contact Area - Rear,1.1719678800262003,1
CP Was Vehicle Towed?,0.8458022499323945,2
Automation System Engaged?,0.7657911723207321,3
Posted Speed Limit (MPH),0.7292565107229585,4
SV Was Vehicle Towed?,0.6161962484695136,5
SV Contact Area - Left,0.551871338467197,6
Mileage,0.4985508094331375,7
Lighting,0.4394885981380312,8
Model Year,0.419606152370899,9
SV Any Air Bags Deployed?,0.4186057698960652,10
Driver / Operator Type,0.34004736535586205,11
Weather - Cloudy,0.31247098603328566,12
CP Pre-Crash Movement,0.2947666419612956,13
SV Contact Area - Rear Right,0.2535540586999753,14
SV Contact Area - Front Left,0.23157954438371212,15
SV Contact Area - Rear Left,0.2310149009136079,16
SV Contact Area - Right,0.23092524856486474,17
ADS Equipped?,0.22816395184407567,18
Roadway Type,0.21245344577779293,19
Roadway Description,0.206559882614854,20
