Feature,Importance,Rank
Roadway Type,0.1334707793723373,1
Incident Time (24:00),0.06085884091542183,2
Driver / Operator Type,0.04082636112271113,3
Lighting,0.03052244242901796,4
SV Contact Area - Front Left,0.018198404616104624,5
Roadway Surface,0.017382385694933535,6
SV Contact Area - Rear Left,0.017228104602396172,7
SV Contact Area - Right,0.01717475367815676,8
Automation System Engaged?,0.013770306402473268,9
SV Contact Area - Left,0.011646539682953823,10
SV Were All Passengers Belted?,0.011511995569435421,11
Weather - Rain,0.011363915346201802,12
Weather - Severe Wind,0.009902683067184824,13
State,0.008902731227172207,14
Weather - Snow,0.008787283002236183,15
Roadway Description,0.008049002948650585,16
SV Contact Area - Rear Right,0.007640398672260932,17
Weather - Cloudy,0.007307411619694419,18
SV Contact Area - Front Right,0.006498514008911461,19
SV Contact Area - Rear,0.006331733151541728,20
