Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Roadway Type,-0.06325223708080357,0.12178328824426046,0.1309217394945493,-0.18104664517110775,0.13347077937233726,53,129,0,0.11481425038069029,0.8843549856174646,0.10571395243595358
Incident Time (24:00),0.043421516549501236,0.05083655383059005,0.10054179911423203,-0.036543054521574234,0.06085884091542185,129,53,0,-0.06653077033487001,0.9218370333806025,-0.0862430219470868
Driver / Operator Type,0.01136026808682368,0.039900153719773304,0.04200358248372414,-0.0563405076306935,0.04082636112271114,129,53,0,0.896782582127725,1.4678938697243522,-0.8556693521693072
Lighting,0.010749572798397338,0.03009763685594402,0.041777260095638695,-0.038534437783665984,0.030522442429017974,129,53,0,-0.4872889481800004,1.05938166968004,0.33446270767780767
SV Contact Area - Front Left,0.018198404616104627,0.004503566227976999,0.02808995092536519,0.011730743574743931,0.018198404616104627,182,0,0,-0.076852779177461,0.9430943309224034,0.14811019928176128
Roadway Surface,-0.017382385694933538,0.002213544761219178,-0.014864661647146268,-0.025993125169497228,0.017382385694933538,0,182,0,-0.4044515266061722,0.8975902648648528,-0.6858208488117168
SV Contact Area - Rear Left,-0.01722810460239617,0.0018190958367503506,-0.014193443214237232,-0.02365683482230725,0.01722810460239617,0,182,0,0.2928412257352521,1.2334903800981603,0.1728893411634422
SV Contact Area - Right,0.017174753678156768,0.004878550368001859,0.026412049627264768,0.009835765036009076,0.017174753678156768,182,0,0,0.03353044204131122,1.0527719917845304,0.10847157426109694
Automation System Engaged?,-0.01377030640247326,0.0019602189461193496,-0.01027939851758615,-0.01973587085879191,0.01377030640247326,0,182,0,0.18955485860012014,0.6438174340313502,0.06550601377347266
SV Contact Area - Left,-0.011646539682953825,0.00287616428305827,-0.0065751011130486085,-0.018922159954116242,0.011646539682953825,0,182,0,-0.08267229477732486,0.8856975346681409,0.19235658648031184
SV Were All Passengers Belted?,0.01151199556943542,0.002401131106512834,0.014649481090294639,0.007146819975368863,0.01151199556943542,182,0,0,-0.0963673856978092,1.5297682518749254,0.6062229706626454
Weather - Rain,0.011363915346201802,0.005219215154384717,0.019542222157669042,0.000564578789438259,0.011363915346201802,182,0,0,0.052126237303963006,1.1342451287918085,0.0349918586892725
Weather - Severe Wind,0.009902683067184826,0.005543034541995698,0.02405651392040933,0.0025240070534070084,0.009902683067184826,182,0,0,0.0,0.0,
State,0.008902731227172209,0.001729783946128656,0.013148178410551565,0.005807732086407878,0.008902731227172209,182,0,0,-0.18899667641194293,0.9216767318768969,0.350208101442567
Weather - Snow,-0.008787283002236183,0.004342137231513978,-0.0027507994672276255,-0.017893502748993543,0.008787283002236183,0,182,0,-0.028306925853614887,3.469446951953614e-18,7.90237843329609e-17
Roadway Description,0.008049002948650578,0.004464608180016202,0.014802758283128211,0.0006417709729273708,0.008049002948650578,182,0,0,-0.5890108654922156,0.7966401806534067,-0.6699535643158507
SV Contact Area - Rear Right,0.0076403986722609315,0.001487419311215932,0.011317089842578643,0.005469392374828947,0.0076403986722609315,182,0,0,0.11818109400305771,1.0951871268897222,-0.1937604241389415
Weather - Cloudy,-0.007307411619694419,0.0013662745006094127,-0.004996542466713004,-0.010529440785488132,0.007307411619694419,0,182,0,0.17620842136635034,1.3037186597738784,-0.2712013890354609
SV Contact Area - Front Right,-0.006498514008911468,0.0047845734718386995,-0.0014552610093893478,-0.015564285259360202,0.006498514008911468,0,182,0,-0.09140234051770403,0.9334058705445899,-0.03183843017897355
SV Contact Area - Rear,0.0008922542237308716,0.00789033875766432,0.007909488655187731,-0.021929869048340378,0.006331733151541729,103,79,0,0.07454667100850364,1.0460836239242313,0.02196633726684549
