Feature,Importance,Rank
Roadway Type,0.03196787230445247,1
Weather - Clear,0.025872678894156193,2
Weather - Severe Wind,0.017673556289736124,3
Roadway Description,0.01625223714193543,4
Incident Time (24:00),0.015373115060512163,5
SV Contact Area - Left,0.011668460115599797,6
Roadway Surface,0.009356277833076408,7
SV Were All Passengers Belted?,0.008947240074812398,8
Lighting,0.00786670720941185,9
Weather - Snow,0.007300128118108715,10
Driver / Operator Type,0.006265859111019551,11
Model Year,0.00597651160562591,12
Make,0.005755737769153465,13
SV Precrash Speed (MPH),0.005167365109400095,14
SV Contact Area - Right,0.00503260186737724,15
Mileage,0.00497402276745784,16
Weather - Rain,0.004938476497738824,17
ADS Equipped?,0.0045505087809917175,18
CP Any Air Bags Deployed?,0.0041201720958538085,19
SV Any Air Bags Deployed?,0.003037323303453446,20
