Feature,Importance,Rank
Roadway Type,0.8962631,1
SV Contact Area - Front Right,0.25302646,2
SV Contact Area - Left,0.22248542,3
Make,0.19704124,4
Roadway Surface,0.19128351,5
SV Contact Area - Right,0.16430104,6
SV Precrash Speed (MPH),0.09679255,7
SV Contact Area - Front Left,0.07243507,8
SV Any Air Bags Deployed?,0.064040884,9
Weather - Clear,0.059698656,10
Automation System Engaged?,0.050574087,11
Driver / Operator Type,0.043948434,12
SV Contact Area - Rear Right,0.04013063,13
Crash With,0.0349308,14
ADS Equipped?,0.032158554,15
State,0.03180599,16
CP Was Vehicle Towed?,0.03086852,17
Weather - Snow,0.030843392,18
CP Any Air Bags Deployed?,0.028579364,19
CP Pre-Crash Movement,0.01942974,20
