Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Roadway Type,-0.32969448,0.85654986,1.0008842,-1.1260502,0.89626336,53,129,0,0.11481425038069029,0.8843549856174646,0.10836052864338473
SV Contact Area - Front Right,-0.2530264,0.07639746,-0.1189119,-0.40091988,0.2530264,0,182,0,-0.09140234051770403,0.9334058705445899,0.03992840899354781
SV Contact Area - Left,-0.22248536,0.014983854,-0.18395981,-0.26555306,0.22248536,0,182,0,-0.08267229477732486,0.8856975346681409,0.07679983216717133
Make,-0.19704123,0.013943084,-0.16938035,-0.20687027,0.19704123,0,182,0,-0.40734503897592056,0.804743228411177,-0.09241414823355777
Roadway Surface,-0.1912834,0.019837286,-0.17727038,-0.24325769,0.1912834,0,182,0,-0.4044515266061722,0.8975902648648528,-0.7165143491951534
SV Contact Area - Right,0.16430111,0.014146596,0.17880489,0.11235296,0.16430111,182,0,0,0.03353044204131122,1.0527719917845304,0.07336912796040487
SV Precrash Speed (MPH),0.09679258,0.0053871246,0.10732203,0.08342082,0.09679258,182,0,0,-0.29106821429703245,0.8176140164869915,-0.13500972101430259
SV Contact Area - Front Left,0.07243507,0.006578629,0.091016866,0.06299331,0.07243507,182,0,0,-0.076852779177461,0.9430943309224034,-0.05661857684657107
SV Any Air Bags Deployed?,-0.06404086,0.010459975,-0.04734799,-0.07698102,0.06404086,0,182,0,-0.6390602730227658,0.728583271539006,-0.35430016347471144
Weather - Clear,-0.05969863,0.011247975,-0.028326487,-0.075029925,0.05969863,0,182,0,0.3270377844237771,0.9083657984269529,-0.021185944469407192
Automation System Engaged?,-0.05057405,0.0011081396,-0.046694335,-0.051509347,0.05057405,0,182,0,0.18955485860012014,0.6438174340313502,0.12197787073559245
Driver / Operator Type,0.023845144,0.039879877,0.07287461,-0.041930947,0.043948483,129,53,0,0.896782582127725,1.4678938697243522,-0.807763172571053
SV Contact Area - Rear Right,-0.040130593,0.016884541,-0.0029456713,-0.08402451,0.040130593,0,182,0,0.11818109400305771,1.0951871268897222,-0.03604543630431042
Crash With,0.03493078,0.0068665696,0.04394106,0.022823675,0.03493078,182,0,0,-0.0023847047525229993,0.9132070768051613,0.1435820853708181
ADS Equipped?,0.03199015,0.0122755915,0.039677273,-0.0022097062,0.03215857,170,12,0,0.7874174420167702,0.8654829412947238,0.7906042977324903
State,0.03180599,0.012273321,0.06827015,0.011430216,0.03180599,182,0,0,-0.18899667641194293,0.9216767318768969,0.08281693436753583
CP Was Vehicle Towed?,0.030868473,1.8626451e-09,0.03086847,0.03086847,0.030868473,182,0,0,-0.5833042223301397,1.0934209254322562,
Weather - Snow,-0.030843362,0.008635574,-0.0058016125,-0.041652553,0.030843362,0,182,0,-0.028306925853614887,3.469446951953614e-18,-3.97347181721759e-17
CP Any Air Bags Deployed?,-0.028579345,0.016192736,-0.01308242,-0.07157466,0.028579345,0,182,0,-0.6567962296174437,1.0962186000990946,-0.3163267561563144
CP Pre-Crash Movement,-0.019429768,0.0013699958,-0.017438034,-0.024562523,0.019429768,0,182,0,-0.46011856501115556,1.1718967856633768,-0.27256053486956405
