Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?
0.083066456,0.16701393,-0.0035109278,-0.009870121,0.024588268,0.047732785,0.17065537,0.04014651,-0.028373567,-0.001079927,0.063981235,-0.012903469,0.008983448,-0.0040872055,0.00027003483,-0.016465021,-0.00084497186,-0.031785816,-0.013306001,-0.025458144,-0.019311868,0.17094675,-0.24639371,0.7752523,-0.0011343956,-0.009799987,-0.045783553,0.00013382948,-0.020941466,-0.009840703,-0.03579884,-0.009622853,0.013868809,0.00070728315,0.002096338,0.0002577646
0.041285925,0.2028713,-0.03285642,-0.00839213,0.02484867,0.061485995,0.20254488,-0.0036648163,-0.029352834,-0.0008787706,0.06584951,0.024336897,-0.16996442,0.009884901,0.00027003483,-0.03386975,-0.019327762,0.10262551,0.002194562,0.023744367,-0.11348557,0.18662882,-0.2658815,0.7152501,-0.0011435323,-0.0062173256,-0.029346177,0.00889049,-0.023545373,-0.010999483,-0.03267981,-0.010239607,0.022381155,0.00042159818,0.002096338,0.0002577646
-0.048033606,-0.060999516,0.016624909,-0.0045582624,-0.032319468,0.054289613,0.12696762,0.00093049684,-0.028454527,-0.0006850434,0.06420268,0.010797861,-0.15169777,0.009799022,0.00027003483,-0.009413255,-0.02180865,0.11158136,0.000803038,0.021746065,-0.08983018,0.20585105,-0.28134426,0.7293213,-0.0011435323,-0.013027091,-0.007193301,0.007788234,-0.023084674,-0.009093103,-0.021179853,-0.013438538,0.024484761,0.00042159818,0.0013218282,0.0002577646
0.0881243,0.2276048,-0.02132718,-0.009504051,0.023305476,0.057201043,0.1738101,0.0104567,-0.02513124,-0.0006850434,0.070438005,0.024407275,-0.17311125,0.009799022,0.00027003483,-0.0063401056,-0.013607196,0.08592377,0.002495976,0.022072371,-0.018352611,0.17504978,-0.25745088,0.7494939,-0.0011435323,-0.009467855,-0.03557461,0.009747332,-0.023310822,-0.010999483,-0.035657924,-0.010926442,0.026147995,0.00042159818,0.0013218282,0.0002577646
0.08884053,0.21239893,-0.021620693,-0.00836413,0.023305476,0.057879943,0.18097973,-0.0012763235,-0.030492842,-0.0006850434,0.064360544,0.014983236,-0.15164512,0.009799022,0.00027003483,-0.026980164,-0.015661106,0.08603398,0.002547424,0.022072371,-0.015161342,0.18650645,-0.26768503,0.723187,-0.0011435323,-0.009475488,-0.039471503,0.00906953,-0.022509929,-0.010999483,-0.035865348,-0.010810327,0.026498146,0.00042159818,0.0013218282,0.0002577646
0.0881243,0.2276048,-0.02132718,-0.009504051,0.023305476,0.057201043,0.1765379,0.0104567,-0.02513124,-0.0006850434,0.070438005,0.024407275,-0.17311125,0.009799022,0.00027003483,-0.0063401056,-0.013607196,0.08592377,0.002495976,0.022072371,-0.018352611,0.1745632,-0.25745088,0.7494939,-0.0011435323,-0.009467855,-0.035533175,0.009747332,-0.023310822,-0.010999483,-0.035657924,-0.010926442,0.026147995,0.00042159818,0.0013218282,0.0002577646
-0.0035567463,-0.102772065,0.014953337,-0.0045582624,-0.032319468,0.05372944,0.13774712,0.009807275,-0.028851539,-0.0006850434,0.065062344,0.017501356,-0.16101918,0.008930432,0.00027003483,-0.007089072,-0.019322226,0.109823644,0.0008096844,0.021746065,-0.12572709,0.21861157,-0.28236067,0.7313992,-0.0011435323,-0.01167721,-0.005632502,0.008580118,-0.023336481,-0.009093103,-0.021179853,-0.01473877,0.024977058,0.00070728315,0.0013218282,-0.0036341345
0.04473003,0.25458378,-0.02132718,-0.009138851,0.023305476,0.057201043,0.191628,0.013570646,-0.02591697,-0.0006850434,0.07161301,0.025839413,-0.17171958,0.009799022,0.00027003483,-0.008789547,-0.016144162,0.08576249,0.002547424,0.022072371,-0.10697159,0.17467934,-0.25538445,0.7436515,-0.0011435323,-0.0071653374,-0.031213721,0.010223713,-0.023310822,-0.010999483,-0.035657924,-0.011680318,0.024914743,0.00042159818,0.0013218282,0.0002577646
0.08884053,0.2123223,-0.021620693,-0.00836413,0.023305476,0.05718226,0.17839926,-0.000950088,-0.0265429,-0.0006850434,0.07160471,0.01574888,-0.15229613,0.009799022,0.00027003483,-0.027608143,-0.014455993,0.085703574,0.002547424,0.022072371,-0.013810602,0.17031471,-0.26266116,0.7426757,-0.0011435323,-0.009435955,-0.040976223,0.008247213,-0.022509929,-0.010999483,-0.035657924,-0.010810327,0.026498146,0.00042159818,0.0013218282,0.0002577646
0.0881243,0.2276048,-0.02132718,-0.009504051,0.023305476,0.057201043,0.1765379,0.0104567,-0.02513124,-0.0006850434,0.070438005,0.024407275,-0.17311125,0.009799022,0.00027003483,-0.0063401056,-0.013607196,0.08592377,0.002495976,0.022072371,-0.018352611,0.1745632,-0.25745088,0.7494939,-0.0011435323,-0.009467855,-0.035533175,0.009747332,-0.023310822,-0.010999483,-0.035657924,-0.010926442,0.026147995,0.00042159818,0.0013218282,0.0002577646
