Feature,Importance
SV Contact Area - Front Right,0.33879568539090343
SV Contact Area - Front Left,0.21666583010905208
SV Contact Area - Left,0.10751662262651084
SV Contact Area - Rear Left,0.034755244766650505
Driver / Operator Type,0.032206658282304214
SV Contact Area - Rear Right,0.030075641217851848
SV Were All Passengers Belted?,0.028926966559616
Posted Speed Limit (MPH),0.027808292387850844
Incident Time (24:00),0.022875861065778814
Lighting,0.02269226564146594
SV Contact Area - Right,0.020774968125091157
CP Any Air Bags Deployed?,0.019932035566180558
SV Any Air Bags Deployed?,0.018498745289520686
Roadway Type,0.0171437238857765
CP Pre-Crash Movement,0.011472922980070988
SV Precrash Speed (MPH),0.008848337316192395
SV Contact Area - Rear,0.008693043421861562
Weather - Snow,0.008607403121015074
Weather - Fog/Smoke,0.005990817735097273
State,0.005736877194048843
Weather - Rain,0.005645954141118407
Crash With,0.004222655217686908
Roadway Surface,0.0036914460729494747
Weather - Severe Wind,0.0033998303477390853
Weather - Clear,0.0033194851417827466
SV Contact Area - Front,0.0025742709897579995
Weather - Cloudy,0.001822642187856972
Model Year,0.0005877248973586725
Make,0.0005877248973586706
Roadway Description,0.00034822019821609485
Mileage,9.620804992110382e-20
SV Pre-Crash Movement,0.0
Automation System Engaged?,0.0
ADS Equipped?,0.0
CP Was Vehicle Towed?,0.0
SV Was Vehicle Towed?,0.0
