Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Posted Speed Limit (MPH),0.7048713956358215,2.2774543326549055,5.9685753394887175,-1.5865833180919375,1.5259760013882686,53,129,0
CP Was Vehicle Towed?,0.09551177045837345,1.6779707666869157,2.748616505413194,-0.9657301235235549,1.4751262326348804,52,130,0
SV Contact Area - Rear,-0.19734718868143433,1.298691478362334,1.4265853977697451,-2.6688750742965093,1.1813078200470957,102,80,0
SV Pre-Crash Movement,-0.15143286476573867,1.3371972758618564,1.7372318460855545,-1.972159996090007,1.1456314035642212,114,68,0
Automation System Engaged?,-0.3478218038796463,1.1075295884602996,2.474610276713024,-1.0988341661938699,1.0718860755461241,44,138,0
SV Contact Area - Rear Left,-0.22240445130261666,1.033071892925878,3.316224781434888,-2.600273139543424,0.8278053457021587,36,146,0
Weather - Cloudy,0.08584271701083399,0.33337607881118314,0.6855042456585461,-0.37066263111381487,0.29464677536249056,103,79,0
Mileage,0.01858709433441907,0.32654196211764325,0.5348952702905053,-0.18793617604801544,0.28706734583158394,52,130,0
Make,-0.01830130285069415,0.3215211175373674,0.1850465066014636,-0.5266708264810885,0.2826534551384994,130,52,0
Roadway Surface,-0.026433440572985124,0.23341514921831627,0.3032433866719616,-0.3442513891400561,0.19997627114501929,114,68,0
Weather - Fog/Smoke,0.018077819139682053,0.15963252458111993,0.23543338349297005,-0.2073880274655943,0.13676368961527968,68,114,0
CP Pre-Crash Movement,0.02227366088778863,0.146577277234985,0.3012235378367187,-0.16101207009686494,0.13332872874260093,80,102,0
Crash With,-0.020966244478402417,0.1379735035461598,0.1515610048402643,-0.283542358337528,0.12550261660598996,102,80,0
SV Contact Area - Front Right,0.029912205196681647,0.13894262575741712,0.34972278325315764,-0.4460144370295433,0.11133537669109418,146,36,0
Lighting,0.05074248697316063,0.1639500446779612,0.42966753692585613,-0.11421542120813898,0.10985240407145969,53,129,0
Weather - Severe Wind,0.012321187243729317,0.10879975125073596,0.16046287326075293,-0.14134817362467575,0.09321318101884586,68,114,0
SV Contact Area - Front,0.014444591854849404,0.09505617219912128,0.1953451245866198,-0.10441721493248984,0.08646441547777395,80,102,0
Driver / Operator Type,-0.03851486334450366,0.12444233506798552,0.08669246625600295,-0.32612880162972535,0.08338082311801855,129,53,0
ADS Equipped?,-0.005203043809710458,0.09140816224624873,0.05260855407596135,-0.14973203852388997,0.0803581210610838,130,52,0
Incident Time (24:00),-0.035053067553906914,0.11325719992010606,0.07890036760367033,-0.2968156686042836,0.07588638181870543,129,53,0
Weather - Snow,0.02107683354531663,0.08185332857307939,0.16831082919392612,-0.09100823983086409,0.07234418079050013,103,79,0
SV Contact Area - Left,-0.018229761711026683,0.08467750680391371,0.2718200431317009,-0.21313584076139455,0.06785248274878777,36,146,0
Weather - Clear,-0.018985170821469066,0.07373021293376646,0.08197659177007194,-0.15160768036998729,0.06516475196778676,79,103,0
SV Contact Area - Right,-0.014425141142253147,0.06700498923591053,0.21509016681750665,-0.16865358056744206,0.053691411660719786,36,146,0
Roadway Type,0.019913213484404016,0.06434001238797504,0.16861730475780976,-0.0448223215178988,0.04311011352689586,53,129,0
State,-0.009996720846727128,0.038822951007378904,0.04316511616344283,-0.07982965616325806,0.034312771825656334,79,103,0
SV Contact Area - Front Left,0.006035286142335128,0.028033991419209123,0.0705624026563179,-0.08999084933344964,0.022463768608071907,146,36,0
SV Contact Area - Rear Right,0.006890412407200104,0.021940360071011168,0.021768102194126653,-0.04902247404693563,0.02123425567824282,138,44,0
CP Any Air Bags Deployed?,-0.006536034488801414,0.020811954589394714,0.046501219689307705,-0.02064855603532436,0.020142165556302067,44,138,0
SV Was Vehicle Towed?,0.00572559034038106,0.03491213622183574,0.012708017584748208,-0.16883509076879763,0.018712905014903955,175,7,0
SV Precrash Speed (MPH),0.0021824737504239876,0.014362302702981257,0.02951524078823106,-0.01577668881007747,0.01306415016929965,80,102,0
Model Year,-0.0003147642452980511,0.005529844117365492,0.0031826162580136344,-0.009058215503577265,0.004861358899603243,130,52,0
Roadway Description,0.0005827644485286991,0.0051459835633910714,0.007589533053539527,-0.006685450746221337,0.004408773842772298,68,114,0
SV Were All Passengers Belted?,-0.0012593297962923927,0.004009941284492094,0.008959617887423747,-0.0039784584843072955,0.0038808897490314673,44,138,0
SV Any Air Bags Deployed?,-0.0007058486852392623,0.002247554049684548,0.005021825517591331,-0.0022299080818185333,0.002175221244647159,44,138,0
Weather - Rain,0.00016535290840286051,0.0006421593600819184,0.0013204395747148114,-0.0007139818755176471,0.0005675577725663459,103,79,0
