Feature,Importance
Posted Speed Limit (MPH),1.5259760013882675
CP Was Vehicle Towed?,1.4751262326348755
SV Contact Area - Rear,1.1813078200470983
SV Pre-Crash Movement,1.1456314035642228
Automation System Engaged?,1.0718860755461255
SV Contact Area - Rear Left,0.8278053457021599
Weather - Cloudy,0.2946467753624908
Mileage,0.28706734583158305
Make,0.2826534551384998
Roadway Surface,0.19997627114501879
Weather - Fog/Smoke,0.13676368961527963
CP Pre-Crash Movement,0.13332872874260074
Crash With,0.12550261660598963
SV Contact Area - Front Right,0.11133537669109389
Lighting,0.10985240407145985
Weather - Severe Wind,0.0932131810188461
SV Contact Area - Front,0.08646441547777384
Driver / Operator Type,0.08338082311801866
ADS Equipped?,0.08035812106108382
Incident Time (24:00),0.07588638181870543
Weather - Snow,0.07234418079050015
SV Contact Area - Left,0.0678524827487877
Weather - Clear,0.06516475196778679
SV Contact Area - Right,0.05369141166071992
Roadway Type,0.04311011352689573
State,0.034312771825656334
SV Contact Area - Front Left,0.022463768608071904
SV Contact Area - Rear Right,0.021234255678242806
CP Any Air Bags Deployed?,0.02014216555630211
SV Was Vehicle Towed?,0.01871290501490399
SV Precrash Speed (MPH),0.013064150169299632
Model Year,0.0048613588996032405
Roadway Description,0.0044087738427722855
SV Were All Passengers Belted?,0.0038808897490314707
SV Any Air Bags Deployed?,0.0021752212446471586
Weather - Rain,0.0005675577725663462
