Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Roadway Type,-0.032123196382018424,0.03890302397469047,0.03267139901929274,-0.07495154783131303,0.04646542769618784,53,129,0
SV Contact Area - Right,0.020623427966258556,0.008761544045730998,0.0389723356920025,0.011700016000042399,0.020623427966258556,182,0,0
SV Contact Area - Rear Left,-0.01699991254794613,0.0022221937762519654,-0.014837921474388458,-0.02505034096072342,0.01699991254794613,0,182,0
Incident Time (24:00),0.014667609493269467,0.012046037890000985,0.03293862239638219,-0.007281855256200289,0.016506882395415003,131,51,0
Driver / Operator Type,0.011438080957582485,0.013202059901971595,0.02676706498927608,-0.010224532904389455,0.015618461539079424,129,53,0
SV Contact Area - Left,-0.015300903030069486,0.006773330299170071,0.0004897178309492972,-0.033414869185979454,0.015306284544695301,1,181,0
SV Contact Area - Front,-0.007069645831209561,0.010704154917325022,0.010950305313753341,-0.021144850989740536,0.011280326314498353,79,103,0
SV Contact Area - Rear,0.0008450825091389911,0.012795185934189166,0.016591626025341248,-0.03709859608805752,0.01114874430073477,103,79,0
Automation System Engaged?,-0.009472981016807281,0.0024823646962517597,-0.006456290716753213,-0.01766346131168423,0.009472981016807281,0,182,0
SV Contact Area - Front Left,0.009133803682223057,0.002892084040247973,0.018290943370760628,0.0027042364281802786,0.009133803682223057,182,0,0
Weather - Clear,0.008245050654623064,0.0015671051064570782,0.012049833497656537,0.005246646149216234,0.008245050654623064,182,0,0
Lighting,0.006551062442752095,0.007956131910321032,0.018123703950727984,-0.005192891968187305,0.007924886386143647,120,62,0
SV Contact Area - Rear Right,0.007440570003459657,0.0032789841722636287,0.011621963171378556,0.0015331631069486508,0.007440570003459657,182,0,0
Posted Speed Limit (MPH),-0.0005335565115859575,0.008531754868603586,0.009767555922274023,-0.023155528800467225,0.007226645845659538,129,53,0
Crash With,0.007119983522573583,0.005907593074675991,0.01751407570358705,-0.0010472346328986833,0.007219689488713397,153,29,0
SV Pre-Crash Movement,-0.006831381752967308,0.00139079950066214,-0.004725862981953307,-0.015022253537616017,0.006831381752967308,0,182,0
Weather - Fog/Smoke,0.006402448526399329,0.001901801322518741,0.014105501691011046,0.0020428427738933457,0.006402448526399329,182,0,0
CP Was Vehicle Towed?,-0.003457378869444248,0.004475467244331459,0.00427083485942048,-0.010369889440519869,0.005494117010434199,52,130,0
SV Precrash Speed (MPH),-0.0011373403418444357,0.005326872299191425,0.008666439385814424,-0.008193915823224124,0.005274313765789393,79,103,0
Weather - Cloudy,-0.004873648696460312,0.0016384159481577863,-0.0021451170053705935,-0.010894878078197466,0.004873648696460312,0,182,0
Roadway Surface,-0.004598111041568126,0.002302437588466615,0.0015595664243069432,-0.006471227287001268,0.0048339068820725094,24,158,0
ADS Equipped?,0.0012882430877578879,0.0046827345509554506,0.006454639478374434,-0.00873574048886523,0.0047064785823204905,130,52,0
SV Contact Area - Front Right,0.002543583929532922,0.004752275408431965,0.01352581560759566,-0.011527446691288287,0.00428192437794059,119,63,0
CP Any Air Bags Deployed?,0.0032854654033057803,0.0013803314838205121,0.006257782921606089,0.00031177672267302466,0.0032854654033057803,182,0,0
Weather - Severe Wind,0.0028134639757292686,0.0006790176165535472,0.004821271505847145,0.0010943241042841378,0.0028134639757292686,182,0,0
State,-0.002326969530436677,0.001826211494008264,0.0017684491291349083,-0.005266267794876973,0.002557147738640882,24,158,0
SV Were All Passengers Belted?,-8.993175882930472e-06,0.002506256181710727,0.006443082625774891,-0.0028776352805151098,0.0022715778528186836,94,88,0
Roadway Description,0.002213580292406821,0.0013712945205390595,0.00458772060678794,-0.000951786073888937,0.0022589989922286824,176,6,0
SV Any Air Bags Deployed?,-0.0012440612140752706,0.0020613672059878385,0.0024771338541386446,-0.004906345435385864,0.0021761193244441345,53,129,0
Weather - Snow,-0.001905980954586092,0.00214454304458762,0.0005463372271279122,-0.008537711546898438,0.00194699590859997,14,168,0
Make,0.0013431181007092427,0.0013106047671736175,0.0041322594879608845,-0.0019092176901724532,0.0017093931552884017,143,39,0
CP Pre-Crash Movement,0.00024192014134135172,0.002545005728218166,0.011282498404348456,-0.0046361286177587085,0.0017012885109866612,79,103,0
Model Year,-0.00022615966641089264,0.0017304397576088505,0.003319109284217289,-0.0027959611005731085,0.0016151223963128103,53,129,0
Weather - Rain,0.0008615485268599727,0.0021533391563084794,0.007762767447927265,-0.0032849097881745373,0.0015034942387540204,107,75,0
Mileage,0.0010521773473880255,0.0009797436346731,0.00253270049799887,-0.00224222067304246,0.0012675612130991424,155,27,0
SV Was Vehicle Towed?,3.959615608973259e-05,0.0002732675915844125,0.00016862371998136155,-0.001703310610582975,0.0001398383003474788,175,7,0
