Feature,Importance
Roadway Type,0.046465427696187854
SV Contact Area - Right,0.020623427966258556
SV Contact Area - Rear Left,0.016999912547946132
Incident Time (24:00),0.016506882395414996
Driver / Operator Type,0.015618461539079424
SV Contact Area - Left,0.015306284544695306
SV Contact Area - Front,0.011280326314498346
SV Contact Area - Rear,0.011148744300734773
Automation System Engaged?,0.009472981016807278
SV Contact Area - Front Left,0.009133803682223053
Weather - Clear,0.008245050654623061
Lighting,0.007924886386143644
SV Contact Area - Rear Right,0.007440570003459645
Posted Speed Limit (MPH),0.007226645845659541
Crash With,0.007219689488713402
SV Pre-Crash Movement,0.006831381752967308
Weather - Fog/Smoke,0.0064024485263993345
CP Was Vehicle Towed?,0.005494117010434197
SV Precrash Speed (MPH),0.0052743137657893955
Weather - Cloudy,0.004873648696460311
Roadway Surface,0.0048339068820725094
ADS Equipped?,0.0047064785823204905
SV Contact Area - Front Right,0.004281924377940588
CP Any Air Bags Deployed?,0.003285465403305782
Weather - Severe Wind,0.0028134639757292686
State,0.002557147738640882
SV Were All Passengers Belted?,0.0022715778528186836
Roadway Description,0.0022589989922286845
SV Any Air Bags Deployed?,0.0021761193244441345
Weather - Snow,0.0019469959085999695
Make,0.0017093931552884028
CP Pre-Crash Movement,0.001701288510986661
Model Year,0.0016151223963128108
Weather - Rain,0.0015034942387540204
Mileage,0.0012675612130991427
SV Was Vehicle Towed?,0.00013983830034747886
