Feature,Importance
Roadway Type,0.02265298126504793
Roadway Surface,0.01754033021409323
Weather - Clear,0.011516841010435687
Driver / Operator Type,0.011319756815138492
Incident Time (24:00),0.0104814248033656
Weather - Snow,0.009597249533785832
Crash With,0.009151584952016753
Roadway Description,0.00787065942376272
Make,0.0073063690609504375
Mileage,0.006660816874479449
SV Contact Area - Right,0.006382135173422436
SV Contact Area - Front Right,0.005652424574576161
CP Pre-Crash Movement,0.005627139199349954
Weather - Severe Wind,0.004957274911951632
State,0.004740738027707404
Lighting,0.0046143684239797365
SV Contact Area - Front Left,0.004544630355605342
SV Contact Area - Rear Right,0.004301265252841108
Model Year,0.004186447679008223
SV Contact Area - Front,0.0037946344085302854
SV Any Air Bags Deployed?,0.0037049142668233795
SV Contact Area - Rear Left,0.003246365966061734
Weather - Fog/Smoke,0.0030902371792003386
SV Contact Area - Left,0.00296493778173743
Weather - Rain,0.0028897245093580837
ADS Equipped?,0.002698358207899635
Automation System Engaged?,0.0026003010222109967
SV Were All Passengers Belted?,0.0020506432263061977
SV Contact Area - Rear,0.002048586266819937
SV Was Vehicle Towed?,0.001692521582077294
SV Precrash Speed (MPH),0.0010412403445951338
CP Was Vehicle Towed?,0.0010119012419195195
Posted Speed Limit (MPH),0.0007377470186960763
CP Any Air Bags Deployed?,0.0005602735988529883
SV Pre-Crash Movement,0.0
Weather - Cloudy,0.0
