Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
SV Contact Area - Front Right,0.735833,0.015584754,0.8024637,0.70689636,0.735833,182,0,0
SV Contact Area - Front Left,-0.2639385,0.01009616,-0.24291639,-0.28784674,0.2639385,0,182,0
SV Contact Area - Right,0.18742205,0.015370125,0.22740343,0.15279044,0.18742205,182,0,0
Incident Time (24:00),0.15478392,0.119000845,0.26545423,-0.11381604,0.18517128,144,38,0
Weather - Clear,0.17382018,0.022857193,0.22164886,0.11432242,0.17382018,182,0,0
Roadway Surface,-0.13947468,0.06366571,0.015546985,-0.180487,0.14292526,27,155,0
Crash With,0.08327047,0.03722883,0.11527622,-0.035313994,0.088898174,166,16,0
Driver / Operator Type,0.051202994,0.0518635,0.08884053,-0.08068213,0.06910597,144,38,0
Weather - Fog/Smoke,0.06434384,0.0054880357,0.08232228,0.051162153,0.06434384,182,0,0
State,0.056991447,0.0047220183,0.07765087,0.046645515,0.056991447,182,0,0
SV Contact Area - Left,-0.052955136,0.042598706,-0.0057822815,-0.13371664,0.052955136,0,182,0
ADS Equipped?,-0.032535568,0.005940509,-0.019563625,-0.037817992,0.032535568,0,182,0
SV Were All Passengers Belted?,-0.030552672,0.013725421,0.0007324405,-0.048140045,0.03056072,1,181,0
Weather - Snow,-0.028918324,0.0024716808,-0.023718858,-0.037903726,0.028918324,0,182,0
Posted Speed Limit (MPH),0.01186359,0.02274445,0.02484867,-0.03386378,0.02539357,144,38,0
Model Year,0.023821143,0.0042518266,0.03063343,0.011480562,0.023821143,182,0,0
SV Any Air Bags Deployed?,-0.022934288,0.00092328613,-0.020095298,-0.029514866,0.022934288,0,182,0
SV Contact Area - Rear,0.01802478,0.0133277755,0.023744367,-0.025458144,0.022396823,166,16,0
Lighting,-0.013717987,0.01641765,0.018854246,-0.0407524,0.020196242,38,144,0
Weather - Severe Wind,0.014573716,0.011601897,0.030054612,-0.014933133,0.017912986,155,27,0
SV Precrash Speed (MPH),-0.015035781,0.0052957577,0.0029658813,-0.023894906,0.015090188,2,180,0
CP Pre-Crash Movement,-0.012209818,0.009871177,0.012185492,-0.03386975,0.013446769,15,167,0
Make,-0.01133192,0.0014173324,-0.009018706,-0.0151739735,0.01133192,0,182,0
Automation System Engaged?,-0.010499578,0.0007917995,-0.009093103,-0.010999483,0.010499578,0,182,0
Weather - Rain,0.008644898,0.01064659,0.040588956,-0.016194506,0.010127086,134,48,0
SV Contact Area - Rear Right,-0.009187938,0.002644024,-0.003495193,-0.016119273,0.009187938,0,182,0
Roadway Description,0.007676671,0.0049155033,0.009911288,-0.0041135917,0.008889937,155,27,0
CP Any Air Bags Deployed?,0.008847372,0.002996789,0.018811554,0.00013382948,0.008847372,182,0,0
Roadway Type,-0.007964546,0.0025498986,0.005004075,-0.010672843,0.008123994,3,179,0
SV Contact Area - Front,0.00022277024,0.0045976494,0.0025540704,-0.014016771,0.0032064503,151,31,0
CP Was Vehicle Towed?,0.0014367277,0.0002752981,0.002096338,0.0013218282,0.0014367277,182,0,0
SV Contact Area - Rear Left,-0.0011419257,3.4780874e-06,-0.0011343956,-0.0011435323,0.0011419257,0,182,0
Weather - Cloudy,-0.0007314673,0.00010807571,-0.0006850434,-0.001079927,0.0007314673,0,182,0
Mileage,0.00048730682,0.00012000244,0.00070728315,0.00042159818,0.00048730682,182,0,0
SV Was Vehicle Towed?,0.000108076114,0.0007484421,0.0002577646,-0.0036341345,0.0003876249,175,7,0
SV Pre-Crash Movement,0.00027003489,5.820766e-11,0.00027003483,0.00027003483,0.00027003489,182,0,0
