Feature,Importance,Rank
SV Contact Area - Front Right,0.33879568539090343,1
SV Contact Area - Front Left,0.21666583010905208,2
SV Contact Area - Left,0.10751662262651084,3
SV Contact Area - Rear Left,0.034755244766650505,4
Driver / Operator Type,0.032206658282304214,5
SV Contact Area - Rear Right,0.030075641217851848,6
SV Were All Passengers Belted?,0.028926966559616,7
Posted Speed Limit (MPH),0.027808292387850844,8
Incident Time (24:00),0.022875861065778814,9
Lighting,0.02269226564146594,10
SV Contact Area - Right,0.020774968125091157,11
CP Any Air Bags Deployed?,0.019932035566180558,12
SV Any Air Bags Deployed?,0.018498745289520686,13
Roadway Type,0.0171437238857765,14
CP Pre-Crash Movement,0.011472922980070988,15
SV Precrash Speed (MPH),0.008848337316192395,16
SV Contact Area - Rear,0.008693043421861562,17
Weather - Snow,0.008607403121015074,18
Weather - Fog/Smoke,0.005990817735097273,19
State,0.005736877194048843,20
