Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
SV Contact Area - Front Right,0.3387956853909031,0.10236711514249702,0.4270392760007028,0.07621964300254494,0.3387956853909031,182,0,0,-0.06947330269632421,0.9481393883659213,-0.08451494705378071
SV Contact Area - Front Left,-0.21666583010905213,0.0931355568107571,-0.01122100607313383,-0.3352616675946917,0.21666583010905213,0,182,0,-0.013554893034207899,0.9892593475739788,0.010355670343765744
SV Contact Area - Left,-0.07226492314001388,0.09953837648140877,0.17000929684536426,-0.21457090391129993,0.10751662262651082,20,162,0,-0.09180411044015074,0.8744319670827456,-0.1606675065031392
SV Contact Area - Rear Left,-0.03475524476665055,0.028448065568893493,-0.017088579596356894,-0.1171612351205889,0.03475524476665055,0,182,0,0.050087290600064935,1.0319198596178127,0.16181181739645684
Driver / Operator Type,-0.008704530572635283,0.03231716766717945,0.05128540589165192,-0.06118166260203795,0.032206658282304255,73,109,0,0.3237728672584761,1.1902397715683097,0.5238838497446539
SV Contact Area - Rear Right,0.03007564121785189,0.027582645845596578,0.11336343557618776,0.011672690327733824,0.03007564121785189,182,0,0,0.05709668088591874,1.0433722461813726,-0.18652356257756772
SV Were All Passengers Belted?,-0.027739725737207198,0.014232777257735373,0.05477816474482975,-0.03975820658468388,0.02892696655961602,2,180,0,0.003447336780927119,1.0532585321425636,-0.6135712979959399
Posted Speed Limit (MPH),-0.0019408347375962952,0.03226225943580512,0.03344013814762567,-0.10117727719772951,0.027808292387850896,129,53,0,-0.1551999559089223,0.8186590513890128,0.25950734521377733
Incident Time (24:00),0.014430603252880083,0.024893873555381953,0.15790940120450384,-0.0612220612895524,0.022875861065778817,163,19,0,-0.08674730167896245,1.0097386146909295,-0.00624872156631326
Lighting,0.008137003599386922,0.025432485115590993,0.04271872283988632,-0.10584868964564262,0.022692265641465953,118,64,0,-0.18401521938759688,1.009119374267662,0.04471545852056497
SV Contact Area - Right,-0.015109687375186018,0.031704015346547064,0.022133097941374507,-0.13022707862620908,0.02077496812509116,51,131,0,0.08252072708816945,1.1364992844077164,0.08160114005251037
CP Any Air Bags Deployed?,0.015737474149536225,0.018554329213439833,0.03192937899388429,-0.0886581539252263,0.019932035566180565,160,22,0,-0.14437488563535836,0.9783630619141244,-0.18786245898097093
SV Any Air Bags Deployed?,-0.018073389630180882,0.023024175113018942,0.02003794284510591,-0.08656214060557829,0.018498745289520654,2,180,0,-0.18201395064470188,0.8437534569997828,-0.8243908344581057
Roadway Type,-0.011922241542036653,0.015884043329172818,0.03671035022316444,-0.028402412526860037,0.017143723885776514,60,122,0,0.115619502519988,0.9972218591212362,0.11935158469610488
CP Pre-Crash Movement,-0.005609757938305378,0.020155716498795898,0.07281713551160472,-0.14779017871408534,0.011472922980070997,16,166,0,-0.13270282766058822,1.059267806813997,0.10611834468945543
SV Precrash Speed (MPH),0.008337473839423324,0.008961134829632386,0.08410135995058689,-0.016430996796935785,0.0088483373161924,179,3,0,3.38603063794307e-05,1.0268013680803305,0.04704676827761843
SV Contact Area - Rear,-0.0022287328589909792,0.019401208300827342,0.006814333577957917,-0.07837018222306917,0.008693043421861585,166,16,0,-0.02957544934381662,0.9837521867069207,0.08700002482736313
Weather - Snow,-0.00860740312101507,0.0011388201504137472,-0.005408035155314561,-0.011043896554981402,0.00860740312101507,0,182,0,-0.21665753199305354,0.0,
Weather - Fog/Smoke,-0.001723658731796653,0.0070722901121410406,0.01628914584893446,-0.012713546068609853,0.005990817735097278,79,103,0,0.0,0.0,
State,0.005702547073184279,0.0027962306066789296,0.01755379317673799,-0.002386923956242001,0.005736877194048842,179,3,0,-0.17419972781322127,0.8501861188412556,-0.12815926168361827
Weather - Rain,0.005645954141118407,0.00277730422256568,0.01340727567482724,0.0010793003575433713,0.005645954141118407,182,0,0,-0.1097855043609041,0.7764558037755899,0.14082435429451917
Crash With,0.0004677640697096206,0.0073356127384140365,0.03241182888274925,-0.0038652305620819377,0.0042226552176869115,72,110,0,-0.09840246615621988,1.0305244096282802,0.09738748120127037
Roadway Surface,0.0017765079181539794,0.003983403425116113,0.007056244993728218,-0.008275470659720056,0.0036914460729494756,114,68,0,-0.16897152784909353,0.9115977316675109,-0.523796688402089
Weather - Severe Wind,-0.00015548115356785408,0.0038376334626752206,0.009158843902811648,-0.007744415803413124,0.0033998303477390853,91,91,0,0.0,0.0,
Weather - Clear,-0.000918455905430568,0.004160187374577951,0.004110844542899927,-0.0151482235383846,0.0033194851417827453,111,71,0,0.14576134590407822,0.9437891344062452,-0.28372191244623557
SV Contact Area - Front,-0.0009667471118365728,0.004078884345734778,0.03132257828071903,-0.005836767029480212,0.002574270989757994,30,152,0,-0.21146060641372644,0.8176126938094579,0.10554763381216736
Weather - Cloudy,-0.0018226421878569782,0.0005256230763480813,-0.001364681303403295,-0.003598973126985497,0.0018226421878569782,0,182,0,-0.04804090156086312,0.9336783630074564,-0.03294035100238388
Make,0.0001493888005205737,0.0007020938438544903,0.002126997240003651,-0.002126997240003651,0.0005877248973586702,130,52,0,-0.14441972521051966,0.9372411338583374,0.11998055082772542
Model Year,-0.0001493888005205737,0.0007020938438544902,0.0021269972400036505,-0.0021269972400036505,0.0005877248973586702,52,130,0,0.21465658942927407,0.8424953460030971,0.029796468226150466
Roadway Description,0.00010263196721055052,0.00035943961857752663,0.0006699664426462872,-0.00026925938580125844,0.000348220198216094,99,83,0,-0.17079400996475175,0.884880018810085,0.2260452440961192
Mileage,1.7573606641935375e-20,1.370873865476204e-19,4.336808689942018e-19,-4.336808689942018e-19,9.620804992110382e-20,85,45,52,-0.035908524699258246,0.9172403193359261,0.08281985151926993
SV Pre-Crash Movement,0.0,0.0,0.0,0.0,0.0,0,0,182,0.010095751961044576,0.981118538074645,
Automation System Engaged?,0.0,0.0,0.0,0.0,0.0,0,0,182,0.03530566808516761,0.8042156086216782,
ADS Equipped?,0.0,0.0,0.0,0.0,0.0,0,0,182,0.21547990796484034,0.894484130130878,
CP Was Vehicle Towed?,0.0,0.0,0.0,0.0,0.0,0,0,182,-0.0880429568300448,0.9906724039960765,
