Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
SV Contact Area - Front Right,0.3387956853909031,0.10236711514249702,0.4270392760007028,0.07621964300254494,0.3387956853909031,182,0,0,-0.06947330269632421,0.9481393883659213,-0.08451494705378071
SV Contact Area - Front Left,-0.21666583010905213,0.0931355568107571,-0.01122100607313383,-0.3352616675946917,0.21666583010905213,0,182,0,-0.013554893034207899,0.9892593475739788,0.010355670343765744
SV Contact Area - Left,-0.07226492314001388,0.09953837648140877,0.17000929684536426,-0.21457090391129993,0.10751662262651082,20,162,0,-0.09180411044015074,0.8744319670827456,-0.1606675065031392
SV Contact Area - Rear Left,-0.03475524476665055,0.028448065568893493,-0.017088579596356894,-0.1171612351205889,0.03475524476665055,0,182,0,0.050087290600064935,1.0319198596178127,0.16181181739645684
Driver / Operator Type,-0.008704530572635283,0.03231716766717945,0.05128540589165192,-0.06118166260203795,0.032206658282304255,73,109,0,0.3237728672584761,1.1902397715683097,0.5238838497446539
SV Contact Area - Rear Right,0.03007564121785189,0.027582645845596578,0.11336343557618776,0.011672690327733824,0.03007564121785189,182,0,0,0.05709668088591874,1.0433722461813726,-0.18652356257756772
SV Were All Passengers Belted?,-0.027739725737207198,0.014232777257735373,0.05477816474482975,-0.03975820658468388,0.02892696655961602,2,180,0,0.003447336780927119,1.0532585321425636,-0.6135712979959399
Posted Speed Limit (MPH),-0.0019408347375962952,0.03226225943580512,0.03344013814762567,-0.10117727719772951,0.027808292387850896,129,53,0,-0.1551999559089223,0.8186590513890128,0.25950734521377733
Incident Time (24:00),0.014430603252880083,0.024893873555381953,0.15790940120450384,-0.0612220612895524,0.022875861065778817,163,19,0,-0.08674730167896245,1.0097386146909295,-0.00624872156631326
Lighting,0.008137003599386922,0.025432485115590993,0.04271872283988632,-0.10584868964564262,0.022692265641465953,118,64,0,-0.18401521938759688,1.009119374267662,0.04471545852056497
SV Contact Area - Right,-0.015109687375186018,0.031704015346547064,0.022133097941374507,-0.13022707862620908,0.02077496812509116,51,131,0,0.08252072708816945,1.1364992844077164,0.08160114005251037
CP Any Air Bags Deployed?,0.015737474149536225,0.018554329213439833,0.03192937899388429,-0.0886581539252263,0.019932035566180565,160,22,0,-0.14437488563535836,0.9783630619141244,-0.18786245898097093
SV Any Air Bags Deployed?,-0.018073389630180882,0.023024175113018942,0.02003794284510591,-0.08656214060557829,0.018498745289520654,2,180,0,-0.18201395064470188,0.8437534569997828,-0.8243908344581057
Roadway Type,-0.011922241542036653,0.015884043329172818,0.03671035022316444,-0.028402412526860037,0.017143723885776514,60,122,0,0.115619502519988,0.9972218591212362,0.11935158469610488
CP Pre-Crash Movement,-0.005609757938305378,0.020155716498795898,0.07281713551160472,-0.14779017871408534,0.011472922980070997,16,166,0,-0.13270282766058822,1.059267806813997,0.10611834468945543
SV Precrash Speed (MPH),0.008337473839423324,0.008961134829632386,0.08410135995058689,-0.016430996796935785,0.0088483373161924,179,3,0,3.38603063794307e-05,1.0268013680803305,0.04704676827761843
SV Contact Area - Rear,-0.0022287328589909792,0.019401208300827342,0.006814333577957917,-0.07837018222306917,0.008693043421861585,166,16,0,-0.02957544934381662,0.9837521867069207,0.08700002482736313
Weather - Snow,-0.00860740312101507,0.0011388201504137472,-0.005408035155314561,-0.011043896554981402,0.00860740312101507,0,182,0,-0.21665753199305354,0.0,
Weather - Fog/Smoke,-0.001723658731796653,0.0070722901121410406,0.01628914584893446,-0.012713546068609853,0.005990817735097278,79,103,0,0.0,0.0,
State,0.005702547073184279,0.0027962306066789296,0.01755379317673799,-0.002386923956242001,0.005736877194048842,179,3,0,-0.17419972781322127,0.8501861188412556,-0.12815926168361827
