Feature,Importance,Rank
Posted Speed Limit (MPH),1.5259760013882675,1
CP Was Vehicle Towed?,1.4751262326348755,2
SV Contact Area - Rear,1.1813078200470983,3
SV Pre-Crash Movement,1.1456314035642228,4
Automation System Engaged?,1.0718860755461255,5
SV Contact Area - Rear Left,0.8278053457021599,6
Weather - Cloudy,0.2946467753624908,7
Mileage,0.28706734583158305,8
Make,0.2826534551384998,9
Roadway Surface,0.19997627114501879,10
Weather - Fog/Smoke,0.13676368961527963,11
CP Pre-Crash Movement,0.13332872874260074,12
Crash With,0.12550261660598963,13
SV Contact Area - Front Right,0.11133537669109389,14
Lighting,0.10985240407145985,15
Weather - Severe Wind,0.0932131810188461,16
SV Contact Area - Front,0.08646441547777384,17
Driver / Operator Type,0.08338082311801866,18
ADS Equipped?,0.08035812106108382,19
Incident Time (24:00),0.07588638181870543,20
