Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Posted Speed Limit (MPH),0.7048713956358215,2.2774543326549055,5.9685753394887175,-1.5865833180919375,1.5259760013882686,53,129,0,-0.1551999559089223,0.8186590513890128,-0.2681914621539353
CP Was Vehicle Towed?,0.09551177045837345,1.6779707666869157,2.748616505413194,-0.9657301235235549,1.4751262326348804,52,130,0,-0.0880429568300448,0.9906724039960765,0.33515542606816523
SV Contact Area - Rear,-0.19734718868143433,1.298691478362334,1.4265853977697451,-2.6688750742965093,1.1813078200470957,102,80,0,-0.02957544934381662,0.9837521867069207,-0.030304270351711397
SV Pre-Crash Movement,-0.15143286476573867,1.3371972758618564,1.7372318460855545,-1.972159996090007,1.1456314035642212,114,68,0,0.010095751961044576,0.981118538074645,0.13584473166850702
Automation System Engaged?,-0.3478218038796463,1.1075295884602996,2.474610276713024,-1.0988341661938699,1.0718860755461241,44,138,0,0.03530566808516761,0.8042156086216782,-0.02804674745344066
SV Contact Area - Rear Left,-0.22240445130261666,1.033071892925878,3.316224781434888,-2.600273139543424,0.8278053457021587,36,146,0,0.050087290600064935,1.0319198596178127,-0.04045822528969937
Weather - Cloudy,0.08584271701083399,0.33337607881118314,0.6855042456585461,-0.37066263111381487,0.29464677536249056,103,79,0,-0.04804090156086312,0.9336783630074564,0.22285966388737963
Mileage,0.01858709433441907,0.32654196211764325,0.5348952702905053,-0.18793617604801544,0.28706734583158394,52,130,0,-0.035908524699258246,0.9172403193359261,-0.05072793676546396
Make,-0.01830130285069415,0.3215211175373674,0.1850465066014636,-0.5266708264810885,0.2826534551384994,130,52,0,-0.14441972521051966,0.9372411338583374,-0.04211073903621915
Roadway Surface,-0.026433440572985124,0.23341514921831627,0.3032433866719616,-0.3442513891400561,0.19997627114501929,114,68,0,-0.16897152784909353,0.9115977316675109,0.35276518056647577
Weather - Fog/Smoke,0.018077819139682053,0.15963252458111993,0.23543338349297005,-0.2073880274655943,0.13676368961527968,68,114,0,0.0,0.0,
CP Pre-Crash Movement,0.02227366088778863,0.146577277234985,0.3012235378367187,-0.16101207009686494,0.13332872874260093,80,102,0,-0.13270282766058822,1.059267806813997,0.04063741418119586
Crash With,-0.020966244478402417,0.1379735035461598,0.1515610048402643,-0.283542358337528,0.12550261660598996,102,80,0,-0.09840246615621988,1.0305244096282802,-0.11550540829536605
SV Contact Area - Front Right,0.029912205196681647,0.13894262575741712,0.34972278325315764,-0.4460144370295433,0.11133537669109418,146,36,0,-0.06947330269632421,0.9481393883659213,-0.14547745246624835
Lighting,0.05074248697316063,0.1639500446779612,0.42966753692585613,-0.11421542120813898,0.10985240407145969,53,129,0,-0.18401521938759688,1.009119374267662,-0.5137757035953653
Weather - Severe Wind,0.012321187243729317,0.10879975125073596,0.16046287326075293,-0.14134817362467575,0.09321318101884586,68,114,0,0.0,0.0,
SV Contact Area - Front,0.014444591854849404,0.09505617219912128,0.1953451245866198,-0.10441721493248984,0.08646441547777395,80,102,0,-0.21146060641372644,0.8176126938094579,-0.11180113079380315
Driver / Operator Type,-0.03851486334450366,0.12444233506798552,0.08669246625600295,-0.32612880162972535,0.08338082311801855,129,53,0,0.3237728672584761,1.1902397715683097,-1.0
ADS Equipped?,-0.005203043809710458,0.09140816224624873,0.05260855407596135,-0.14973203852388997,0.0803581210610838,130,52,0,0.21547990796484034,0.894484130130878,0.6062177826491073
Incident Time (24:00),-0.035053067553906914,0.11325719992010606,0.07890036760367033,-0.2968156686042836,0.07588638181870543,129,53,0,-0.08674730167896245,1.0097386146909295,-0.03737344279166693
