Feature,Importance,Rank
Roadway Type,0.046465427696187854,1
SV Contact Area - Right,0.020623427966258556,2
SV Contact Area - Rear Left,0.016999912547946132,3
Incident Time (24:00),0.016506882395414996,4
Driver / Operator Type,0.015618461539079424,5
SV Contact Area - Left,0.015306284544695306,6
SV Contact Area - Front,0.011280326314498346,7
SV Contact Area - Rear,0.011148744300734773,8
Automation System Engaged?,0.009472981016807278,9
SV Contact Area - Front Left,0.009133803682223053,10
Weather - Clear,0.008245050654623061,11
Lighting,0.007924886386143644,12
SV Contact Area - Rear Right,0.007440570003459645,13
Posted Speed Limit (MPH),0.007226645845659541,14
Crash With,0.007219689488713402,15
SV Pre-Crash Movement,0.006831381752967308,16
Weather - Fog/Smoke,0.0064024485263993345,17
CP Was Vehicle Towed?,0.005494117010434197,18
SV Precrash Speed (MPH),0.0052743137657893955,19
Weather - Cloudy,0.004873648696460311,20
