Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Roadway Type,-0.032123196382018424,0.03890302397469047,0.03267139901929274,-0.07495154783131303,0.04646542769618784,53,129,0,0.115619502519988,0.9972218591212362,0.10416526653669933
SV Contact Area - Right,0.020623427966258556,0.008761544045730998,0.0389723356920025,0.011700016000042399,0.020623427966258556,182,0,0,0.08252072708816945,1.1364992844077164,0.2131209375200491
SV Contact Area - Rear Left,-0.01699991254794613,0.0022221937762519654,-0.014837921474388458,-0.02505034096072342,0.01699991254794613,0,182,0,0.050087290600064935,1.0319198596178127,0.18162107944601233
Incident Time (24:00),0.014667609493269467,0.012046037890000985,0.03293862239638219,-0.007281855256200289,0.016506882395415003,131,51,0,-0.08674730167896245,1.0097386146909295,-0.1059040748166847
Driver / Operator Type,0.011438080957582485,0.013202059901971595,0.02676706498927608,-0.010224532904389455,0.015618461539079424,129,53,0,0.3237728672584761,1.1902397715683097,-0.7036904942660852
SV Contact Area - Left,-0.015300903030069486,0.006773330299170071,0.0004897178309492972,-0.033414869185979454,0.015306284544695301,1,181,0,-0.09180411044015074,0.8744319670827456,-0.2988460976701069
SV Contact Area - Front,-0.007069645831209561,0.010704154917325022,0.010950305313753341,-0.021144850989740536,0.011280326314498353,79,103,0,-0.21146060641372644,0.8176126938094579,-0.06993319095965812
SV Contact Area - Rear,0.0008450825091389911,0.012795185934189166,0.016591626025341248,-0.03709859608805752,0.01114874430073477,103,79,0,-0.02957544934381662,0.9837521867069207,-0.004377794993946051
Automation System Engaged?,-0.009472981016807281,0.0024823646962517597,-0.006456290716753213,-0.01766346131168423,0.009472981016807281,0,182,0,0.03530566808516761,0.8042156086216782,-0.08465506514534378
SV Contact Area - Front Left,0.009133803682223057,0.002892084040247973,0.018290943370760628,0.0027042364281802786,0.009133803682223057,182,0,0,-0.013554893034207899,0.9892593475739788,0.21866176936287712
Weather - Clear,0.008245050654623064,0.0015671051064570782,0.012049833497656537,0.005246646149216234,0.008245050654623064,182,0,0,0.14576134590407822,0.9437891344062452,0.09285268572950943
Lighting,0.006551062442752095,0.007956131910321032,0.018123703950727984,-0.005192891968187305,0.007924886386143647,120,62,0,-0.18401521938759688,1.009119374267662,0.05523193079494604
SV Contact Area - Rear Right,0.007440570003459657,0.0032789841722636287,0.011621963171378556,0.0015331631069486508,0.007440570003459657,182,0,0,0.05709668088591874,1.0433722461813726,-0.06353096623159833
Posted Speed Limit (MPH),-0.0005335565115859575,0.008531754868603586,0.009767555922274023,-0.023155528800467225,0.007226645845659538,129,53,0,-0.1551999559089223,0.8186590513890128,0.23806138805024785
Crash With,0.007119983522573583,0.005907593074675991,0.01751407570358705,-0.0010472346328986833,0.007219689488713397,153,29,0,-0.09840246615621988,1.0305244096282802,-0.018047582261265554
SV Pre-Crash Movement,-0.006831381752967308,0.00139079950066214,-0.004725862981953307,-0.015022253537616017,0.006831381752967308,0,182,0,0.010095751961044576,0.981118538074645,-0.02748381161436143
Weather - Fog/Smoke,0.006402448526399329,0.001901801322518741,0.014105501691011046,0.0020428427738933457,0.006402448526399329,182,0,0,0.0,0.0,
CP Was Vehicle Towed?,-0.003457378869444248,0.004475467244331459,0.00427083485942048,-0.010369889440519869,0.005494117010434199,52,130,0,-0.0880429568300448,0.9906724039960765,0.3016798024339301
SV Precrash Speed (MPH),-0.0011373403418444357,0.005326872299191425,0.008666439385814424,-0.008193915823224124,0.005274313765789393,79,103,0,3.38603063794307e-05,1.0268013680803305,-0.06066930308763761
Weather - Cloudy,-0.004873648696460312,0.0016384159481577863,-0.0021451170053705935,-0.010894878078197466,0.004873648696460312,0,182,0,-0.04804090156086312,0.9336783630074564,0.1593635324499959
