Feature,Importance,Rank
Roadway Type,0.02265298126504793,1
Roadway Surface,0.01754033021409323,2
Weather - Clear,0.011516841010435687,3
Driver / Operator Type,0.011319756815138492,4
Incident Time (24:00),0.0104814248033656,5
Weather - Snow,0.009597249533785832,6
Crash With,0.009151584952016753,7
Roadway Description,0.00787065942376272,8
Make,0.0073063690609504375,9
Mileage,0.006660816874479449,10
SV Contact Area - Right,0.006382135173422436,11
SV Contact Area - Front Right,0.005652424574576161,12
CP Pre-Crash Movement,0.005627139199349954,13
Weather - Severe Wind,0.004957274911951632,14
State,0.004740738027707404,15
Lighting,0.0046143684239797365,16
SV Contact Area - Front Left,0.004544630355605342,17
SV Contact Area - Rear Right,0.004301265252841108,18
Model Year,0.004186447679008223,19
SV Contact Area - Front,0.0037946344085302854,20
