Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
SV Contact Area - Front Right,0.735833,0.015584754,0.8024637,0.70689636,0.735833,182,0,0,-0.06947330269632421,0.9481393883659213,-0.20654974697912126
SV Contact Area - Front Left,-0.2639385,0.01009616,-0.24291639,-0.28784674,0.2639385,0,182,0,-0.013554893034207899,0.9892593475739788,-0.12547090070372452
SV Contact Area - Right,0.18742205,0.015370125,0.22740343,0.15279044,0.18742205,182,0,0,0.08252072708816945,1.1364992844077164,0.5307441101892004
Incident Time (24:00),0.15478392,0.119000845,0.26545423,-0.11381604,0.18517128,144,38,0,-0.08674730167896245,1.0097386146909295,-0.12376765374947694
Weather - Clear,0.17382018,0.022857193,0.22164886,0.11432242,0.17382018,182,0,0,0.14576134590407822,0.9437891344062452,-0.1604771159903441
Roadway Surface,-0.13947468,0.06366571,0.015546985,-0.180487,0.14292526,27,155,0,-0.16897152784909353,0.9115977316675109,0.7073907436999366
Crash With,0.08327047,0.03722883,0.11527622,-0.035313994,0.088898174,166,16,0,-0.09840246615621988,1.0305244096282802,-0.2335454535046042
Driver / Operator Type,0.051202994,0.0518635,0.08884053,-0.08068213,0.06910597,144,38,0,0.3237728672584761,1.1902397715683097,-0.8189253416911023
Weather - Fog/Smoke,0.06434384,0.0054880357,0.08232228,0.051162153,0.06434384,182,0,0,0.0,0.0,
State,0.056991447,0.0047220183,0.07765087,0.046645515,0.056991447,182,0,0,-0.17419972781322127,0.8501861188412556,-0.3233165525510033
SV Contact Area - Left,-0.052955136,0.042598706,-0.0057822815,-0.13371664,0.052955136,0,182,0,-0.09180411044015074,0.8744319670827456,-0.14233456830143223
ADS Equipped?,-0.032535568,0.005940509,-0.019563625,-0.037817992,0.032535568,0,182,0,0.21547990796484034,0.894484130130878,0.2514191191413744
SV Were All Passengers Belted?,-0.030552672,0.013725421,0.0007324405,-0.048140045,0.03056072,1,181,0,0.003447336780927119,1.0532585321425636,-0.7273892596859403
Weather - Snow,-0.028918324,0.0024716808,-0.023718858,-0.037903726,0.028918324,0,182,0,-0.21665753199305354,0.0,
Posted Speed Limit (MPH),0.01186359,0.02274445,0.02484867,-0.03386378,0.02539357,144,38,0,-0.1551999559089223,0.8186590513890128,0.2133226831463763
Model Year,0.023821143,0.0042518266,0.03063343,0.011480562,0.023821143,182,0,0,0.21465658942927407,0.8424953460030971,0.16114061659771972
SV Any Air Bags Deployed?,-0.022934288,0.00092328613,-0.020095298,-0.029514866,0.022934288,0,182,0,-0.18201395064470188,0.8437534569997828,0.12232838284962423
SV Contact Area - Rear,0.01802478,0.0133277755,0.023744367,-0.025458144,0.022396823,166,16,0,-0.02957544934381662,0.9837521867069207,0.08924924015145747
Lighting,-0.013717987,0.01641765,0.018854246,-0.0407524,0.020196242,38,144,0,-0.18401521938759688,1.009119374267662,-0.30562856924744225
Weather - Severe Wind,0.014573716,0.011601897,0.030054612,-0.014933133,0.017912986,155,27,0,0.0,0.0,
SV Precrash Speed (MPH),-0.015035781,0.0052957577,0.0029658813,-0.023894906,0.015090188,2,180,0,3.38603063794307e-05,1.0268013680803305,-0.10783254258726012
CP Pre-Crash Movement,-0.012209818,0.009871177,0.012185492,-0.03386975,0.013446769,15,167,0,-0.13270282766058822,1.059267806813997,-0.20708066061253436
Make,-0.01133192,0.0014173324,-0.009018706,-0.0151739735,0.01133192,0,182,0,-0.14441972521051966,0.9372411338583374,0.2920820417242917
Automation System Engaged?,-0.010499578,0.0007917995,-0.009093103,-0.010999483,0.010499578,0,182,0,0.03530566808516761,0.8042156086216782,0.05647076777932235
Weather - Rain,0.008644898,0.01064659,0.040588956,-0.016194506,0.010127086,134,48,0,-0.1097855043609041,0.7764558037755899,0.09763014822091509
SV Contact Area - Rear Right,-0.009187938,0.002644024,-0.003495193,-0.016119273,0.009187938,0,182,0,0.05709668088591874,1.0433722461813726,-0.3067522085534057
