Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
SV Contact Area - Right,0.06715951817692564,0.05326121972882431,0.14021113141744945,-0.11630544046892553,0.0698835572299541,172,10,0
SV Pre-Crash Movement,-0.030810344168901764,0.003651377119670695,-0.019049168344316136,-0.03194395147729555,0.030810344168901764,0,182,0
SV Contact Area - Front Right,-0.03031790857190538,0.023444711674194783,-0.011099297023585294,-0.07476527994481094,0.03031790857190538,0,182,0
Incident Time (24:00),0.02977524650692129,0.014946727908527557,0.050829464633009844,0.01187198979262349,0.02977524650692129,182,0,0
Roadway Type,-0.02519779032534441,0.020984709738149206,0.0060916393531101135,-0.05162462849651701,0.02716360166870714,35,147,0
SV Contact Area - Front Left,-0.018167407334439615,0.0350174165288541,0.16645455311542728,-0.0654308643097628,0.025253771205037995,43,139,0
SV Were All Passengers Belted?,0.022162626210736378,0.004737197824367745,0.03544378635487848,0.01729979449097286,0.022162626210736378,182,0,0
Roadway Description,0.017661623686295206,0.016610496385560405,0.03789893184240812,-0.01958666140040905,0.021302809451001232,155,27,0
Weather - Fog/Smoke,0.019444604123985985,0.002156259624080009,0.02113563197255894,0.012010205036509933,0.019444604123985985,182,0,0
SV Contact Area - Rear,0.010132683249288572,0.018351619190366514,0.016280625028194492,-0.048922269787516987,0.018734401014126722,166,16,0
CP Any Air Bags Deployed?,-0.01633346254178026,0.00471550117342502,-0.013308159366295648,-0.028839535473602164,0.01633346254178026,0,182,0
SV Contact Area - Rear Left,-0.0162590017741763,3.469446951953614e-18,-0.016259001774176298,-0.016259001774176298,0.0162590017741763,0,182,0
Automation System Engaged?,-0.015048514779900433,0.004705356094866203,-0.006621747390320194,-0.01800531574437954,0.015048514779900433,0,182,0
CP Pre-Crash Movement,-0.007246814156907623,0.015217078630762493,0.042026098283621416,-0.013985678721070122,0.014490941054606224,16,166,0
Weather - Severe Wind,-0.00629588364137938,0.015676051363654134,0.030394980905145703,-0.025934851005798096,0.01379108557860993,68,114,0
SV Contact Area - Rear Right,0.012136679228762253,0.004762756052601054,0.015796530420411493,0.003027154121206464,0.012136679228762253,182,0,0
SV Contact Area - Front,0.01163962299667766,0.010341424282653748,0.024611321831251004,-0.0022048386333745245,0.012036709125857616,163,19,0
Weather - Rain,0.010558092569678794,0.005697489937164995,0.02591867191650272,0.005904788372989807,0.010558092569678794,182,0,0
Weather - Snow,-0.008734053704027918,0.017730911592901126,-0.0006800923146794727,-0.06712798391404731,0.008734053704027918,0,182,0
SV Precrash Speed (MPH),-0.008063947304379563,0.007409689015055153,0.004125108451376749,-0.019190948917021187,0.008713411551963007,33,149,0
Weather - Clear,-0.001824038865650862,0.013151144234942222,0.04120931199754461,-0.010120462411846476,0.008645699706962334,17,165,0
Crash With,-0.006461544784679608,0.006751012049339125,0.010356452243259392,-0.013752784366289314,0.007751879166435307,24,158,0
Driver / Operator Type,-0.00413130976992375,0.007727228591735405,0.0015482633863275607,-0.01618130111886048,0.0052929645080938914,129,53,0
SV Contact Area - Left,-0.002415200496405297,0.0028354476544878216,0.01702789031013803,-0.004330669421592094,0.0030626756682168507,18,164,0
SV Any Air Bags Deployed?,-0.002917328117818421,0.0005509447116169442,-0.002290034363905733,-0.004360621159236406,0.002917328117818421,0,182,0
Mileage,0.00047295150081930263,0.0018010431249384222,0.004228269388850841,-0.0009641373474879454,0.001347693868174207,52,130,0
Model Year,-0.00044857578492058826,0.0017060351611580932,0.0009153240124497577,-0.004014196227130212,0.0012746502248971948,130,52,0
Lighting,-0.0004461464116530924,0.0008581351138928913,0.0002718493074584361,-0.0017823280268730835,0.0005919127688334289,129,53,0
Make,-2.4375715898716803e-05,9.522119796753886e-05,4.881333503819012e-05,-0.0002140731617206444,7.304364327701454e-05,130,52,0
Roadway Surface,0.0,0.0,0.0,0.0,0.0,0,0,182
Weather - Cloudy,0.0,0.0,0.0,0.0,0.0,0,0,182
State,0.0,0.0,0.0,0.0,0.0,0,0,182
Posted Speed Limit (MPH),0.0,0.0,0.0,0.0,0.0,0,0,182
ADS Equipped?,0.0,0.0,0.0,0.0,0.0,0,0,182
CP Was Vehicle Towed?,0.0,0.0,0.0,0.0,0.0,0,0,182
SV Was Vehicle Towed?,0.0,0.0,0.0,0.0,0.0,0,0,182
