Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Driver / Operator Type,-2.215441139962485,3.6836333614702266,1.490836921800431,-10.72913784705556,2.9199025425714797,43,139,0
CP Was Vehicle Towed?,-0.6103589264788869,2.924430905891724,4.013572334724801,-2.4599314309603617,2.9038288320359147,52,130,0
Posted Speed Limit (MPH),1.5989021828695273,2.6585086447593422,7.7433074679906335,-1.0759493292652134,2.1073177999948483,139,43,0
SV Contact Area - Rear Right,0.582363955507521,1.584703328660647,1.656946343937595,-3.4560992689845884,1.5774412940223765,138,44,0
SV Contact Area - Rear,-0.04008395092880932,1.2899834574974451,1.57295979927327,-2.4950396816058764,1.1922367709345805,102,80,0
Automation System Engaged?,-0.4184636232562526,1.138704911981824,2.483415755310941,-1.1906158752923928,1.1334867021352093,44,138,0
Mileage,-0.23008451039493868,1.1024107684434756,1.5129799622939908,-0.9273102994705105,1.0946444888486477,52,130,0
SV Contact Area - Left,-0.5030227683606187,1.1477825201212386,3.428530114201015,-3.1449261384896148,1.081198943414138,28,154,0
ADS Equipped?,0.19134069109712,0.9167763529357598,0.7711609671489991,-1.2582099990325775,0.9103178334014501,130,52,0
Lighting,-0.6339638230891151,1.05409719381478,0.42661330851832685,-3.0702170891728766,0.835550331509863,43,139,0
Incident Time (24:00),0.5310911836677554,0.8830499564409023,2.572016207581908,-0.35738721791001465,0.6999664624603998,139,43,0
CP Pre-Crash Movement,0.021977208974259182,0.7072714979895552,1.3679791340706136,-0.862421628001039,0.6536789925763843,80,102,0
SV Contact Area - Rear Left,-0.29236247709477636,0.6671040792892303,1.992700171900053,-1.8278663590626394,0.6284049574117843,28,154,0
State,-0.04474257322451979,0.436435472030446,0.5528861702764396,-0.8297825894342367,0.3803811179344855,89,93,0
SV Any Air Bags Deployed?,-0.1364410777219409,0.37127749406052213,0.8097237209045975,-0.3882031893564807,0.3695760841035201,44,138,0
Roadway Description,0.1426094544360939,0.45033593668785993,0.7557866369946239,-0.4934474737402916,0.36266684778862907,68,114,0
Model Year,0.0697845102028367,0.33436060248518606,0.2812527229387055,-0.4588860216368353,0.3320050939953141,130,52,0
Roadway Surface,-0.1190619422091831,0.37597697488335546,0.41196998357539727,-0.6309920001597857,0.3027837070363807,114,68,0
Weather - Rain,0.034088316252639556,0.332509941254134,0.6321918765742156,-0.4212309946841747,0.2898034446882774,93,89,0
CP Any Air Bags Deployed?,-0.10097993935495786,0.2747821950695666,0.5992759189270788,-0.28730888947174327,0.2735229828356517,44,138,0
Make,0.05396215966600251,0.25855050303975596,0.2174838556235859,-0.35484208022795594,0.25672906265340595,130,52,0
SV Contact Area - Front Right,0.09448355347421228,0.21558978626370146,0.5907163962912472,-0.6439861746990054,0.2030832888921957,154,28,0
Weather - Severe Wind,-0.0659203650702849,0.20816508602545306,0.2280931354838494,-0.3493578404246302,0.1676405754418555,114,68,0
Weather - Fog/Smoke,0.06502259711282984,0.20533009043804595,0.3445999439159486,-0.2249867402426441,0.1653574822453819,68,114,0
SV Pre-Crash Movement,0.061984719539782344,0.19573699965867947,0.32850011881239055,-0.21447528418329628,0.1576319251444072,68,114,0
Weather - Clear,-0.01680806128812757,0.1639519954605685,0.20769803714087276,-0.31171735584015536,0.14289453382590808,89,93,0
Weather - Cloudy,-0.01678295862631524,0.16370713488890865,0.20738784231851592,-0.31125180926517837,0.14268112235054672,89,93,0
SV Contact Area - Front Left,0.06598999080683077,0.1505740151641442,0.41257306829958423,-0.4497781908648497,0.1418391230456278,154,28,0
SV Contact Area - Right,0.05985190289094549,0.13656830715259394,0.3741974035360843,-0.4079418753203037,0.12864589485266353,154,28,0
SV Was Vehicle Towed?,-0.06380489259377847,0.1715185284778992,0.7937877497957176,-0.09810859828935835,0.1248654887319106,7,175,0
SV Contact Area - Front,-0.003933379192760027,0.1265841807794023,0.15435223330399517,-0.24483457696495786,0.11699244208651621,102,80,0
Crash With,-0.0034220457941528163,0.11012842703794244,0.13428667436088107,-0.21300644898622514,0.10178359999634422,102,80,0
SV Precrash Speed (MPH),-0.0018796339644934633,0.06049046224643038,0.07375991126094025,-0.1169984799311466,0.055906882341680834,102,80,0
Roadway Type,-0.028250616530279823,0.046972547207822984,0.019010688854356077,-0.13681462962397242,0.03723368928563489,43,139,0
Weather - Snow,0.0035058323907474582,0.03419717517447087,0.0650181352940741,-0.043321742681737746,0.02980500109798413,93,89,0
SV Were All Passengers Belted?,-0.0007160557314024664,0.0019484995428178905,0.004249506973170371,-0.0020373271988801084,0.0019395703818092136,44,138,0
