Feature,Importance
Driver / Operator Type,2.9199025425714815
CP Was Vehicle Towed?,2.9038288320359156
Posted Speed Limit (MPH),2.1073177999948487
SV Contact Area - Rear Right,1.577441294022376
SV Contact Area - Rear,1.1922367709345811
Automation System Engaged?,1.133486702135212
Mileage,1.0946444888486502
SV Contact Area - Left,1.0811989434141391
ADS Equipped?,0.9103178334014506
Lighting,0.8355503315098629
Incident Time (24:00),0.6999664624604006
CP Pre-Crash Movement,0.6536789925763832
SV Contact Area - Rear Left,0.6284049574117823
State,0.38038111793448554
SV Any Air Bags Deployed?,0.3695760841035209
Roadway Description,0.3626668477886279
Model Year,0.3320050939953134
Roadway Surface,0.3027837070363804
Weather - Rain,0.2898034446882773
CP Any Air Bags Deployed?,0.27352298283565113
Make,0.2567290626534058
SV Contact Area - Front Right,0.2030832888921958
Weather - Severe Wind,0.16764057544185546
Weather - Fog/Smoke,0.16535748224538158
SV Pre-Crash Movement,0.15763192514440733
Weather - Clear,0.14289453382590803
Weather - Cloudy,0.1426811223505467
SV Contact Area - Front Left,0.14183912304562776
SV Contact Area - Right,0.1286458948526638
SV Was Vehicle Towed?,0.12486548873191007
SV Contact Area - Front,0.1169924420865163
Crash With,0.10178359999634412
SV Precrash Speed (MPH),0.05590688234168077
Roadway Type,0.03723368928563491
Weather - Snow,0.029805001097984115
SV Were All Passengers Belted?,0.0019395703818092167
