Feature,Importance
Roadway Type,0.05544138076763698
SV Contact Area - Front Right,0.03424132276705641
Lighting,0.029986060204467643
SV Contact Area - Front Left,0.02511382315604984
SV Contact Area - Rear Left,0.020593819758764287
Driver / Operator Type,0.019809054767297957
CP Any Air Bags Deployed?,0.017346578730844883
Automation System Engaged?,0.015411098069147103
Roadway Description,0.01529043872243594
Roadway Surface,0.01252974436225264
Incident Time (24:00),0.011840462018836102
SV Any Air Bags Deployed?,0.011784845385595788
SV Contact Area - Right,0.011718760573935156
SV Were All Passengers Belted?,0.010820099044805302
SV Contact Area - Rear Right,0.010152732369590526
CP Was Vehicle Towed?,0.006848655373216105
Weather - Severe Wind,0.006010057397392597
Posted Speed Limit (MPH),0.005586478466325885
SV Contact Area - Rear,0.005346401601889561
Weather - Snow,0.004514478520625567
Weather - Rain,0.0038275221777115025
Make,0.0035609127751434905
SV Precrash Speed (MPH),0.003553422788336417
Weather - Clear,0.0030648770667015034
Crash With,0.0029889086930805953
CP Pre-Crash Movement,0.002614439643462789
Weather - Cloudy,0.002456478692773214
Weather - Fog/Smoke,0.001973878863099035
ADS Equipped?,0.0017079119562224477
SV Contact Area - Front,0.001492590146624513
Mileage,0.0009038951621702145
SV Pre-Crash Movement,0.0008715185787874836
Model Year,0.0007631659377219623
State,0.0006312514389741383
SV Contact Area - Left,0.0004001049508773579
SV Was Vehicle Towed?,1.9716685361981827e-05
