Feature,Importance
Roadway Description,0.03172003660159054
Weather - Severe Wind,0.02565760766436321
Mileage,0.021855995997536837
Weather - Clear,0.017702429198548003
Roadway Type,0.013650324046160348
Make,0.013072357332363515
Lighting,0.010899351303104581
Weather - Rain,0.010393855527762069
SV Any Air Bags Deployed?,0.009838740071262307
SV Contact Area - Front,0.008550948464502906
Incident Time (24:00),0.007439141392678509
Driver / Operator Type,0.007087665788581052
SV Contact Area - Left,0.005327937828459019
SV Contact Area - Rear Right,0.004988050921452449
SV Were All Passengers Belted?,0.004668028215358019
Roadway Surface,0.004044872942095276
SV Contact Area - Front Right,0.0035358828702848435
Automation System Engaged?,0.003405066180299705
Crash With,0.0028406182946645172
SV Contact Area - Rear Left,0.0026694668995550066
SV Contact Area - Right,0.0023084741710647826
CP Any Air Bags Deployed?,0.0021046256784996655
SV Precrash Speed (MPH),0.0014523241044560576
Model Year,0.001289154728695023
CP Was Vehicle Towed?,0.0012197190355029805
SV Contact Area - Rear,0.0012118823188254895
SV Contact Area - Front Left,0.0007694324928214317
Posted Speed Limit (MPH),0.000384172061398847
SV Pre-Crash Movement,7.614529059631227e-05
Weather - Fog/Smoke,1.8386103642910324e-05
Weather - Cloudy,0.0
CP Pre-Crash Movement,0.0
Weather - Snow,0.0
ADS Equipped?,0.0
State,0.0
SV Was Vehicle Towed?,0.0
