Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Weather - Clear,0.42367122,0.03469269,0.49442545,0.33625302,0.42367122,182,0,0
Roadway Type,-0.31734857,0.27971962,0.04196516,-0.6020935,0.34040377,53,129,0
Weather - Rain,0.3228562,0.040801015,0.41340253,0.28031367,0.3228562,182,0,0
SV Contact Area - Left,-0.12016743,0.004148907,-0.11599959,-0.13029641,0.12016743,0,182,0
CP Any Air Bags Deployed?,-0.11265581,0.011015689,-0.091876626,-0.13260327,0.11265581,0,182,0
Driver / Operator Type,-0.06344284,0.14744027,0.034657806,-0.31233615,0.10745931,129,53,0
Roadway Description,0.07659486,0.055825427,0.13026164,-0.07243097,0.086035624,155,27,0
Automation System Engaged?,-0.06370281,0.0007325705,-0.061343182,-0.06393024,0.06370281,0,182,0
Lighting,0.00060598046,0.058972653,0.051304914,-0.111039326,0.053356517,129,53,0
SV Contact Area - Front Right,-0.040843412,0.058014523,0.05171743,-0.20035926,0.05105721,36,146,0
CP Was Vehicle Towed?,0.043986447,4.4866694e-05,0.04400393,0.043871325,0.043986447,182,0,0
SV Any Air Bags Deployed?,-0.019971905,0.050485957,0.051753085,-0.1547748,0.03772295,36,146,0
Weather - Severe Wind,-0.03638033,0.026859581,-0.0008087477,-0.08328736,0.03638033,0,182,0
Crash With,-0.035762165,0.0017761958,-0.033799797,-0.03875769,0.035762165,0,182,0
SV Contact Area - Front Left,-0.033087946,0.0010392023,-0.031205803,-0.034449104,0.033087946,0,182,0
SV Were All Passengers Belted?,0.021935217,0.0011090199,0.025051555,0.019067083,0.021935217,182,0,0
Incident Time (24:00),-0.0021264157,0.02596522,0.05525717,-0.03228288,0.02137116,38,144,0
SV Contact Area - Rear,0.01429149,0.0007290866,0.014549056,0.011936704,0.01429149,182,0,0
SV Contact Area - Rear Right,0.013233326,0.0007023582,0.0144799845,0.012169179,0.013233326,182,0,0
SV Precrash Speed (MPH),0.008302226,0.0015112375,0.012318863,0.0051960996,0.008302226,182,0,0
Roadway Surface,-0.0080338335,0.00011652084,-0.00801425,-0.008727108,0.0080338335,0,182,0
Weather - Snow,-0.0015638216,0.009728607,0.027574446,-0.026797403,0.007507915,79,103,0
SV Contact Area - Front,-0.0056060003,0.008857904,0.0046403073,-0.034174774,0.006063563,17,165,0
SV Contact Area - Rear Left,-0.0052958713,4.656613e-10,-0.005295871,-0.005295871,0.0052958713,0,182,0
SV Contact Area - Right,-0.0037884843,0.0040075257,0.014452451,-0.011889907,0.004700163,50,132,0
Make,-0.0038635754,0.00045203208,-0.003216042,-0.0052083144,0.0038635754,0,182,0
Weather - Fog/Smoke,0.003733635,0.0,0.003733635,0.003733635,0.003733635,182,0,0
Weather - Cloudy,0.0033449724,2.3283064e-10,0.0033449722,0.0033449722,0.0033449724,182,0,0
State,0.0032524925,0.0011763275,0.004916362,-0.0006664861,0.0032800115,168,14,0
SV Pre-Crash Movement,-0.0022421444,0.0,-0.0022421444,-0.0022421444,0.0022421444,0,182,0
Mileage,0.0019447348,0.0012338611,0.0038144307,0.0006747401,0.0019447348,182,0,0
CP Pre-Crash Movement,-0.0004804778,0.00035219197,-0.00035340956,-0.0017012903,0.0004804778,0,182,0
ADS Equipped?,-0.00037294466,9.9641395e-05,-0.00032692222,-0.00058867456,0.00037294466,0,182,0
Model Year,0.00031163072,0.0,0.00031163072,0.00031163072,0.00031163072,182,0,0
Posted Speed Limit (MPH),0.0,0.0,0.0,0.0,0.0,0,0,182
SV Was Vehicle Towed?,0.0,0.0,0.0,0.0,0.0,0,0,182
