Feature,Importance,Rank
SV Contact Area - Right,0.06988355722995403,1
SV Pre-Crash Movement,0.030810344168901698,2
SV Contact Area - Front Right,0.030317908571905396,3
Incident Time (24:00),0.029775246506921257,4
Roadway Type,0.02716360166870716,5
SV Contact Area - Front Left,0.02525377120503796,6
SV Were All Passengers Belted?,0.022162626210736378,7
Roadway Description,0.021302809451001225,8
Weather - Fog/Smoke,0.01944460412398592,9
SV Contact Area - Rear,0.018734401014126722,10
CP Any Air Bags Deployed?,0.01633346254178029,11
SV Contact Area - Rear Left,0.016259001774176277,12
Automation System Engaged?,0.01504851477990046,13
CP Pre-Crash Movement,0.014490941054606193,14
Weather - Severe Wind,0.013791085578609948,15
SV Contact Area - Rear Right,0.012136679228762244,16
SV Contact Area - Front,0.012036709125857609,17
Weather - Rain,0.010558092569678762,18
Weather - Snow,0.008734053704027914,19
SV Precrash Speed (MPH),0.008713411551963,20
