Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
SV Contact Area - Right,0.06715951817692564,0.05326121972882431,0.14021113141744945,-0.11630544046892553,0.0698835572299541,172,10,0,0.014707457567809733,1.022690486154766,0.07969445697143833
SV Pre-Crash Movement,-0.030810344168901764,0.003651377119670695,-0.019049168344316136,-0.03194395147729555,0.030810344168901764,0,182,0,-0.045421400695507624,1.028018686064379,0.16265123193889472
SV Contact Area - Front Right,-0.03031790857190538,0.023444711674194783,-0.011099297023585294,-0.07476527994481094,0.03031790857190538,0,182,0,-0.04111677132395007,0.9683513624294657,-0.04488783182478296
Incident Time (24:00),0.02977524650692129,0.014946727908527557,0.050829464633009844,0.01187198979262349,0.02977524650692129,182,0,0,-0.11424863040169471,0.9812487683736153,-0.12220237260876816
Roadway Type,-0.02519779032534441,0.020984709738149206,0.0060916393531101135,-0.05162462849651701,0.02716360166870714,35,147,0,0.12728989170125768,0.9349902212010449,0.11715672628852326
SV Contact Area - Front Left,-0.018167407334439615,0.0350174165288541,0.16645455311542728,-0.0654308643097628,0.025253771205037995,43,139,0,-0.0372481010648232,0.9712108310568273,-0.16253449621968652
SV Were All Passengers Belted?,0.022162626210736378,0.004737197824367745,0.03544378635487848,0.01729979449097286,0.022162626210736378,182,0,0,-0.0741716015880583,1.5265188918977783,-0.07119968340403282
Roadway Description,0.017661623686295206,0.016610496385560405,0.03789893184240812,-0.01958666140040905,0.021302809451001232,155,27,0,-0.5569248209975437,0.8127760587451771,-0.7123102722125074
Weather - Fog/Smoke,0.019444604123985985,0.002156259624080009,0.02113563197255894,0.012010205036509933,0.019444604123985985,182,0,0,0.0,0.0,
SV Contact Area - Rear,0.010132683249288572,0.018351619190366514,0.016280625028194492,-0.048922269787516987,0.018734401014126722,166,16,0,0.03321362372563146,1.0196263020592555,0.07618010541083042
CP Any Air Bags Deployed?,-0.01633346254178026,0.00471550117342502,-0.013308159366295648,-0.028839535473602164,0.01633346254178026,0,182,0,-0.6293644021078382,1.0898262771091667,-0.4269525551752903
SV Contact Area - Rear Left,-0.0162590017741763,3.469446951953614e-18,-0.016259001774176298,-0.016259001774176298,0.0162590017741763,0,182,0,0.2359216081664838,1.1795580551075546,3.5166442279890847e-17
Automation System Engaged?,-0.015048514779900433,0.004705356094866203,-0.006621747390320194,-0.01800531574437954,0.015048514779900433,0,182,0,0.22702819884108522,0.6833299497429941,0.0015318563414030671
CP Pre-Crash Movement,-0.007246814156907623,0.015217078630762493,0.042026098283621416,-0.013985678721070122,0.014490941054606224,16,166,0,-0.4984305263748588,1.235367346066436,0.2599096262151123
Weather - Severe Wind,-0.00629588364137938,0.015676051363654134,0.030394980905145703,-0.025934851005798096,0.01379108557860993,68,114,0,0.0,0.0,
SV Contact Area - Rear Right,0.012136679228762253,0.004762756052601054,0.015796530420411493,0.003027154121206464,0.012136679228762253,182,0,0,-0.025576825810950353,0.9821696400621989,-0.9704163196603071
SV Contact Area - Front,0.01163962299667766,0.010341424282653748,0.024611321831251004,-0.0022048386333745245,0.012036709125857616,163,19,0,-0.23436541666409866,0.8032805973144711,-0.14757806576706847
Weather - Rain,0.010558092569678794,0.005697489937164995,0.02591867191650272,0.005904788372989807,0.010558092569678794,182,0,0,-0.16216989382248823,0.6960487882621574,-0.05226544376435308
Weather - Snow,-0.008734053704027918,0.017730911592901126,-0.0006800923146794727,-0.06712798391404731,0.008734053704027918,0,182,0,-0.21867508304859218,5.551115123125783e-17,8.17092814590979e-17
SV Precrash Speed (MPH),-0.008063947304379563,0.007409689015055153,0.004125108451376749,-0.019190948917021187,0.008713411551963007,33,149,0,-0.21330347736410743,0.9242086042997615,0.36409030378870033
