Feature,Importance,Rank
Driver / Operator Type,2.9199025425714815,1
CP Was Vehicle Towed?,2.9038288320359156,2
Posted Speed Limit (MPH),2.1073177999948487,3
SV Contact Area - Rear Right,1.577441294022376,4
SV Contact Area - Rear,1.1922367709345811,5
Automation System Engaged?,1.133486702135212,6
Mileage,1.0946444888486502,7
SV Contact Area - Left,1.0811989434141391,8
ADS Equipped?,0.9103178334014506,9
Lighting,0.8355503315098629,10
Incident Time (24:00),0.6999664624604006,11
CP Pre-Crash Movement,0.6536789925763832,12
SV Contact Area - Rear Left,0.6284049574117823,13
State,0.38038111793448554,14
SV Any Air Bags Deployed?,0.3695760841035209,15
Roadway Description,0.3626668477886279,16
Model Year,0.3320050939953134,17
Roadway Surface,0.3027837070363804,18
Weather - Rain,0.2898034446882773,19
CP Any Air Bags Deployed?,0.27352298283565113,20
