Feature,Importance,Rank
Roadway Type,0.05544138076763698,1
SV Contact Area - Front Right,0.03424132276705641,2
Lighting,0.029986060204467643,3
SV Contact Area - Front Left,0.02511382315604984,4
SV Contact Area - Rear Left,0.020593819758764287,5
Driver / Operator Type,0.019809054767297957,6
CP Any Air Bags Deployed?,0.017346578730844883,7
Automation System Engaged?,0.015411098069147103,8
Roadway Description,0.01529043872243594,9
Roadway Surface,0.01252974436225264,10
Incident Time (24:00),0.011840462018836102,11
SV Any Air Bags Deployed?,0.011784845385595788,12
SV Contact Area - Right,0.011718760573935156,13
SV Were All Passengers Belted?,0.010820099044805302,14
SV Contact Area - Rear Right,0.010152732369590526,15
CP Was Vehicle Towed?,0.006848655373216105,16
Weather - Severe Wind,0.006010057397392597,17
Posted Speed Limit (MPH),0.005586478466325885,18
SV Contact Area - Rear,0.005346401601889561,19
Weather - Snow,0.004514478520625567,20
