Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Roadway Type,-0.02102236940735191,0.0526668367610982,0.06601490657181322,-0.07277001094285762,0.055441380767636946,53,129,0,0.12728989170125768,0.9349902212010449,0.11267023707880193
SV Contact Area - Front Right,0.03424132276705639,0.007038849378923243,0.05502060734124743,0.02112314564880658,0.03424132276705639,182,0,0,-0.04111677132395007,0.9683513624294657,0.3212279755503186
Lighting,0.012522992906903467,0.027578098169501818,0.04378958076927322,-0.03380644710424054,0.029986060204467653,129,53,0,-0.5220434954980255,1.1196219475703184,0.4293143073462527
SV Contact Area - Front Left,-0.02511382315604985,0.007934173019264523,-0.011520524173203048,-0.04389467640052952,0.02511382315604985,0,182,0,-0.0372481010648232,0.9712108310568273,-0.03162492284934944
SV Contact Area - Rear Left,-0.020593819758764297,0.001996985451463297,-0.01611661700335565,-0.025925313319570605,0.020593819758764297,0,182,0,0.2359216081664838,1.1795580551075546,-0.07149050942910579
Driver / Operator Type,0.0010044796417277425,0.02135063674996781,0.016266557871198635,-0.03640348902724762,0.019809054767297968,129,53,0,0.8567095142740119,1.4767756439081725,-0.8808888510674776
CP Any Air Bags Deployed?,-0.017346578730844886,0.0028910218655761317,-0.011628072035433343,-0.024202269760865723,0.017346578730844886,0,182,0,-0.6293644021078382,1.0898262771091667,0.38811405930294046
Automation System Engaged?,-0.015411098069147101,0.0016240048348779748,-0.01051464453161597,-0.019438860600555614,0.015411098069147101,0,182,0,0.22702819884108522,0.6833299497429941,-0.04851218709782351
Roadway Description,0.015290438722435937,0.006019264439114712,0.02306778551273864,0.0013183330419240518,0.015290438722435937,182,0,0,-0.5569248209975437,0.8127760587451771,-0.8392147146475883
Roadway Surface,-0.012529744362252628,0.0009708800999117486,-0.008872948875884874,-0.01707348964768398,0.012529744362252628,0,182,0,-0.3855640249721819,0.9437777771746536,0.06361018905038612
Incident Time (24:00),0.008087873149488516,0.009895242024380314,0.02836083723901352,-0.01644924338329234,0.011840462018836099,145,37,0,-0.11424863040169471,0.9812487683736153,-0.1608482987466259
SV Any Air Bags Deployed?,0.011784845385595785,0.004835504784864703,0.0261735396927115,0.0042289863474387155,0.011784845385595785,182,0,0,-0.6447256321214595,0.7777858755116966,-0.298911174888229
SV Contact Area - Right,0.011715733995379734,0.005005019697321817,0.023063739628236737,-0.00027541864854336873,0.011718760573935158,181,1,0,0.014707457567809733,1.022690486154766,0.09444303513750382
SV Were All Passengers Belted?,0.010820099044805312,0.0031926246595258534,0.015480855167823307,0.0020535628168223646,0.010820099044805312,182,0,0,-0.0741716015880583,1.5265188918977783,0.5907851577743191
SV Contact Area - Rear Right,0.010152732369590528,0.0015841060639596543,0.014179724772664886,0.007875490079857932,0.010152732369590528,182,0,0,-0.025576825810950353,0.9821696400621989,-0.2566497010530765
CP Was Vehicle Towed?,-0.004684404819240791,0.005459741031049946,0.0065969727659502585,-0.010043938555953875,0.006848655373216101,52,130,0,-0.5780677613241971,1.102956855457414,0.2946772635828859
Weather - Severe Wind,-0.004015727655037829,0.004925313085750655,0.008193058639602258,-0.010167148725577252,0.006010057397392596,29,153,0,0.0,0.0,
Posted Speed Limit (MPH),-0.0005929762907678477,0.006622229471623095,0.005572020191623431,-0.016286789987194645,0.005586478466325886,121,61,0,-0.3083644726912842,0.8732988694270647,0.2078696084438852
SV Contact Area - Rear,0.00022926686819002776,0.006789577523348762,0.0058976270819399036,-0.019432415739068475,0.005346401601889562,103,79,0,0.03321362372563146,1.0196263020592555,0.01869380366223534
Weather - Snow,-0.004514478520625565,0.0011318642918332403,-0.001430636576745014,-0.007865334479637321,0.004514478520625565,0,182,0,-0.21867508304859218,5.551115123125783e-17,5.64208093241656e-16
