Feature,Importance,Rank
Roadway Description,0.03172003660159054,1
Weather - Severe Wind,0.02565760766436321,2
Mileage,0.021855995997536837,3
Weather - Clear,0.017702429198548003,4
Roadway Type,0.013650324046160348,5
Make,0.013072357332363515,6
Lighting,0.010899351303104581,7
Weather - Rain,0.010393855527762069,8
SV Any Air Bags Deployed?,0.009838740071262307,9
SV Contact Area - Front,0.008550948464502906,10
Incident Time (24:00),0.007439141392678509,11
Driver / Operator Type,0.007087665788581052,12
SV Contact Area - Left,0.005327937828459019,13
SV Contact Area - Rear Right,0.004988050921452449,14
SV Were All Passengers Belted?,0.004668028215358019,15
Roadway Surface,0.004044872942095276,16
SV Contact Area - Front Right,0.0035358828702848435,17
Automation System Engaged?,0.003405066180299705,18
Crash With,0.0028406182946645172,19
SV Contact Area - Rear Left,0.0026694668995550066,20
