Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Weather - Clear,0.42367122,0.03469269,0.49442545,0.33625302,0.42367122,182,0,0,0.22144333083352621,0.924557460160763,-0.2428892729762602
Roadway Type,-0.31734857,0.27971962,0.04196516,-0.6020935,0.34040377,53,129,0,0.12728989170125768,0.9349902212010449,0.1593733728864995
Weather - Rain,0.3228562,0.040801015,0.41340253,0.28031367,0.3228562,182,0,0,-0.16216989382248823,0.6960487882621574,0.10395426585100004
SV Contact Area - Left,-0.12016743,0.004148907,-0.11599959,-0.13029641,0.12016743,0,182,0,-0.0849750809844185,0.8828316188445304,0.18919460844224661
CP Any Air Bags Deployed?,-0.11265581,0.011015689,-0.091876626,-0.13260327,0.11265581,0,182,0,-0.6293644021078382,1.0898262771091667,-0.3474846398162948
Driver / Operator Type,-0.06344284,0.14744027,0.034657806,-0.31233615,0.10745931,129,53,0,0.8567095142740119,1.4767756439081725,-0.8811222956490449
Roadway Description,0.07659486,0.055825427,0.13026164,-0.07243097,0.086035624,155,27,0,-0.5569248209975437,0.8127760587451771,-0.7511313233499454
Automation System Engaged?,-0.06370281,0.0007325705,-0.061343182,-0.06393024,0.06370281,0,182,0,0.22702819884108522,0.6833299497429941,0.14938490741924973
Lighting,0.00060598046,0.058972653,0.051304914,-0.111039326,0.053356517,129,53,0,-0.5220434954980255,1.1196219475703184,0.447195416502799
SV Contact Area - Front Right,-0.040843412,0.058014523,0.05171743,-0.20035926,0.05105721,36,146,0,-0.04111677132395007,0.9683513624294657,-0.11782053945790454
CP Was Vehicle Towed?,0.043986447,4.4866694e-05,0.04400393,0.043871325,0.043986447,182,0,0,-0.5780677613241971,1.102956855457414,-0.22113832069196337
SV Any Air Bags Deployed?,-0.019971905,0.050485957,0.051753085,-0.1547748,0.03772295,36,146,0,-0.6447256321214595,0.7777858755116966,-0.8250957729244615
Weather - Severe Wind,-0.03638033,0.026859581,-0.0008087477,-0.08328736,0.03638033,0,182,0,0.0,0.0,
Crash With,-0.035762165,0.0017761958,-0.033799797,-0.03875769,0.035762165,0,182,0,0.012368718772995422,0.9796086309140943,0.1426920724136498
SV Contact Area - Front Left,-0.033087946,0.0010392023,-0.031205803,-0.034449104,0.033087946,0,182,0,-0.0372481010648232,0.9712108310568273,-0.20461408928016125
SV Were All Passengers Belted?,0.021935217,0.0011090199,0.025051555,0.019067083,0.021935217,182,0,0,-0.0741716015880583,1.5265188918977783,-0.1430717061016172
Incident Time (24:00),-0.0021264157,0.02596522,0.05525717,-0.03228288,0.02137116,38,144,0,-0.11424863040169471,0.9812487683736153,-0.026864190119863855
SV Contact Area - Rear,0.01429149,0.0007290866,0.014549056,0.011936704,0.01429149,182,0,0,0.03321362372563146,1.0196263020592555,0.0881827803453401
SV Contact Area - Rear Right,0.013233326,0.0007023582,0.0144799845,0.012169179,0.013233326,182,0,0,-0.025576825810950353,0.9821696400621989,-0.09979411690461278
SV Precrash Speed (MPH),0.008302226,0.0015112375,0.012318863,0.0051960996,0.008302226,182,0,0,-0.21330347736410743,0.9242086042997615,0.5400868310116348
