Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?
0.040703885,-0.059643377,0.00050011394,-0.08800688,0.012249961,-0.03678809,0.16513018,0.14414144,-0.06865852,0.25176603,0.020167403,0.027370136,-0.4053979,-0.015887043,-0.023836117,0.12673867,-0.0011132637,-0.012363311,-0.01571917,-0.29728588,0.0065651853,0.96641403,-0.009135709,0.050783277,0.04535609,-0.0070446003,0.05866437,-0.05843114,-0.027054626,0.010948461,0.0032686696,-0.0016593088,0.0033598114,0.006955955,-0.022047644,0.007567708
0.041354433,-0.053617578,0.001808468,-0.12101426,0.01809439,-0.03934287,0.18795139,0.08836798,-0.034331,0.30142635,-0.03722734,0.019306263,-0.3082525,0.016865361,-0.08172767,-0.08498839,0.050956313,0.0021877452,-0.02464227,0.19055048,0.01848511,0.7807403,-0.002066873,0.04278845,0.03132179,-0.025365762,0.11616611,-0.033641547,-0.09084649,0.0053739753,0.0040733274,-0.0024205884,0.0070050783,0.0046037096,-0.03759248,0.006703589
-0.003006704,0.2680453,-0.006383528,0.06636227,-0.030723033,0.03385615,0.16413654,0.07259546,-0.083125025,0.31123838,0.0068069426,0.01737499,-0.36969736,0.055809617,-0.09480057,-0.025818849,0.044626623,0.0007635399,-0.038867094,0.18242191,0.012094412,1.0037627,-0.00034357587,0.046131305,0.0231199,-0.024790963,0.11403558,-0.07768556,-0.08130847,0.01571206,0.027870376,-0.00237935,0.006280802,0.0030636778,-0.031147147,0.002627059
0.119391404,-0.05847331,0.0004137055,-0.11219887,0.016763661,0.014325504,0.16503209,0.08719413,-0.072867475,0.33372432,0.015138986,0.008030696,-0.38098595,0.056892313,-0.09092414,-0.021691035,0.033466294,0.0004383934,-0.042103816,0.17850141,0.01388256,0.75276136,-0.0033925362,0.047510315,0.03367559,-0.03066526,0.12541555,-0.08026087,-0.085986674,0.012862849,0.020210922,-0.0030205846,0.0065677245,0.0059658354,-0.031691696,0.0027887176
0.12740684,-0.053096022,0.0018948764,-0.085764386,0.017681053,-0.014940006,0.17061384,0.07271144,-0.07378031,0.31709653,-0.026595749,0.016003778,-0.37274972,0.051156927,-0.095010765,-0.049743623,0.03853392,0.003425238,-0.042499527,0.17837071,0.00842806,0.7826224,8.314435e-05,0.0467105,0.035888806,-0.025914744,0.12085908,-0.07845954,-0.0862856,0.016045282,0.012535475,-0.0024205884,0.006280802,0.00533983,-0.031958137,0.006980255
0.119391404,-0.05842163,0.00050011394,-0.08172316,0.016839374,0.013395543,0.16537698,0.06969118,-0.069973804,0.33101714,0.013711322,0.007941331,-0.3825052,0.056892313,-0.09083659,-0.028878624,0.046159923,-0.0013805085,-0.03174667,0.18640567,0.01388256,0.7494348,-0.0033079227,0.045283407,0.034965795,-0.030715937,0.12249275,-0.07753959,-0.08817976,0.012814508,0.020210922,-0.0030205846,0.0065976703,0.0059658354,-0.031691696,0.002761679
0.012669368,0.26707274,-0.0019604631,0.047685433,-0.030905608,0.03452216,0.17176992,0.07177241,-0.075259484,0.3130532,0.010251414,0.01760374,-0.38067874,0.057260126,-0.09515354,-0.020431101,0.03424669,0.0012432686,-0.038442295,0.17523599,0.015828311,1.0063655,0.0011157097,0.047552224,0.013558459,-0.02545555,0.11690282,-0.078908585,-0.08216278,0.012289913,0.027578581,-0.00237935,0.006280802,0.0030636778,-0.03488083,-0.06138999
0.119391404,-0.05303504,0.0004137055,-0.112556435,0.017160138,0.010880236,0.16885787,0.08754033,-0.07452911,0.3166093,0.010797715,0.016003778,-0.38100746,0.052438453,-0.095010765,-0.023286235,0.037207704,0.0004383934,-0.042103816,0.17875455,0.015114966,0.77715605,-0.0034298785,0.047905713,0.031536173,-0.02426387,0.12448664,-0.07954113,-0.085986674,0.016105613,0.020210922,-0.0024205884,0.0065677245,0.0059658354,-0.031958137,0.0026730367
0.12517004,-0.054071046,0.00050011394,-0.090149276,0.01723585,-0.02811912,0.1621891,0.0697024,-0.07355906,0.31481168,-0.025993971,0.016955934,-0.38700202,0.050987944,-0.09480057,-0.0601758,0.048240565,0.0007635399,-0.031499714,0.18648508,0.0034325435,0.95353216,-0.00484093,0.0460557,0.036151107,-0.025416244,0.058352828,-0.07838612,-0.0890227,0.016014684,0.007947411,-0.0016593088,0.0065976703,0.0059658354,-0.031958137,0.007123454
-0.016865097,-0.04706802,0.0021833156,0.052776217,-0.03535484,0.029182937,0.16612305,0.06969118,-0.07236198,0.3278662,0.013711322,0.0090916315,-0.3825684,0.06128919,-0.09083659,-0.028836628,0.048321363,-0.0013805085,-0.032453183,0.186181,0.013790072,0.74175656,-0.0033079227,0.0457107,0.021505058,-0.030068219,0.12303343,-0.07867461,-0.08137277,0.012529626,0.020210922,-0.0030205846,0.0065976703,0.0062360405,-0.030870605,0.002761679
