Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Roadway Description,0.056904374214489746,0.0510985158498292,0.1658213173777224,-0.031120900572545174,0.06129142543377203,148,34,0
Roadway Surface,-0.05504692207544563,0.026482752811107575,-0.006191660843700517,-0.12575574349519553,0.05504692207544563,0,182,0
SV Any Air Bags Deployed?,0.05094938339973133,0.024676180357409924,0.08719678641954609,0.008842420781685376,0.05094938339973133,182,0,0
CP Any Air Bags Deployed?,-0.04455014923290048,0.02987178875667825,0.04913216669687367,-0.09071075263742855,0.04509006315264634,1,181,0
Weather - Rain,0.03901279541402937,0.024338191094058118,0.07007852436169082,-0.008373054097154591,0.03957140863232895,163,19,0
SV Pre-Crash Movement,-0.034831070664436824,0.027864430248073224,-0.00955276771212863,-0.0972288819525352,0.034831070664436824,0,182,0
Weather - Severe Wind,0.02963426027212885,0.0430373612661997,0.18246683269170186,-0.007826632733643356,0.030715045541772654,167,15,0
Weather - Snow,-0.02723106510736588,0.02397474201296588,0.011101975657226978,-0.060599952446370224,0.02880227342507378,38,144,0
SV Were All Passengers Belted?,0.018331301954440018,0.027083353540890354,0.07355080991980732,-0.04254946328138194,0.02796462858856486,148,34,0
SV Contact Area - Rear Right,-0.024176628271456082,0.02542208581133265,0.0032404149358078384,-0.12199275422513632,0.02472819633135683,19,163,0
SV Precrash Speed (MPH),-0.015085519355045584,0.010305835964540367,0.009083176214514153,-0.024978086479425912,0.015982435567609855,16,166,0
SV Contact Area - Front Left,0.01328410176353279,0.01325209950533342,0.0509973760601191,0.0037949397820952386,0.01328410176353279,182,0,0
Crash With,0.011429686859586882,0.00813153418240503,0.01938397363538804,-0.009802508032128208,0.01220725587037837,158,24,0
State,-0.009299763035425578,0.016690787170994283,0.01645671890176193,-0.060507707897064576,0.011091199600553499,47,135,0
SV Contact Area - Rear Left,-0.010522088543141444,0.003927849462277281,-0.008091179392896782,-0.028487011391495873,0.010522088543141444,0,182,0
SV Contact Area - Right,0.008201247024707198,0.006863378946263706,0.014175103733528928,-0.011191185184284698,0.010322727071316014,164,18,0
Weather - Cloudy,-0.00681052274542408,0.01506693467306971,0.05477843543872063,-0.05823108507719502,0.010151084340894595,25,157,0
Incident Time (24:00),0.005488645749314214,0.01598070344095471,0.04120901497240316,-0.0034156550184231533,0.00943205972273749,38,144,0
SV Contact Area - Front Right,-0.006617844639249667,0.002167405444706111,-6.522835265751871e-05,-0.00861976025549041,0.006617844639249667,0,182,0
Weather - Fog/Smoke,0.003339358253263356,0.009962525235143791,0.023358267412562993,-0.008727241571468054,0.0065845958561815765,64,118,0
Weather - Clear,0.004328555474186111,0.01097380581509703,0.07499225185637559,-0.005916932651287759,0.0060853837793774825,113,69,0
Lighting,-0.003360903256960661,0.009868207908709124,0.0022731954078778253,-0.027425528366644667,0.005739592830102308,144,38,0
Automation System Engaged?,-0.0005539078498153166,0.006161898162187786,0.022735667052811128,-0.012808767522255763,0.005241523594513035,101,81,0
SV Contact Area - Left,-0.004345415605848881,0.006434656851206925,0.0034175248854701238,-0.02121051273651026,0.004603652971381156,15,167,0
Roadway Type,-0.0023893094165721696,0.0069858874431785204,0.0017671367151111464,-0.021320058073346596,0.0041526720790161726,144,38,0
SV Contact Area - Front,0.0015607807333836692,0.0033717378518881946,0.004926964775861255,-0.005655296095504012,0.0033670404929217338,105,77,0
SV Contact Area - Rear,0.0006274852396213142,0.0027702798726748925,0.006284747652350294,-0.009144239384965773,0.0025372070355621484,102,80,0
CP Was Vehicle Towed?,0.0010402312623686409,0.0021703019677186746,0.003225299003196388,-0.004047910182564873,0.002233992062661636,130,52,0
CP Pre-Crash Movement,0.001467566522453689,0.0026656258039762684,0.015022830456420397,-0.002076421352183204,0.0018335667244192572,122,60,0
Model Year,-0.0005100572210218452,0.0013818446835887818,0.0022543138824245887,-0.0018532110811533475,0.0014296684432227394,52,130,0
Mileage,-0.00016265680681542738,0.001024501542505735,0.0027239984883877283,-0.0037972253293841692,0.0008110022279598772,66,116,0
Make,-0.0002837219277562563,0.0008551636050076952,0.0034035624675259795,-0.002509021113180871,0.0007081396796606596,52,130,0
Posted Speed Limit (MPH),0.00032019852977083104,0.0011257563696410618,0.005577902166150857,-0.00046233062204581834,0.0005563262604548924,38,144,0
ADS Equipped?,-8.379530677510894e-05,0.0003136980818314885,0.001107738464469073,-0.0009900658438193601,0.00020597597236006704,100,82,0
Driver / Operator Type,-5.863160555224687e-05,0.0002439888276278073,0.00015606971376457755,-0.001882941671970228,9.612107407390032e-05,144,38,0
SV Was Vehicle Towed?,0.0,0.0,0.0,0.0,0.0,0,0,182
