Feature,Importance
Roadway Description,0.061291425433772
Roadway Surface,0.05504692207544562
SV Any Air Bags Deployed?,0.05094938339973132
CP Any Air Bags Deployed?,0.04509006315264638
Weather - Rain,0.03957140863232892
SV Pre-Crash Movement,0.03483107066443684
Weather - Severe Wind,0.03071504554177264
Weather - Snow,0.028802273425073768
SV Were All Passengers Belted?,0.027964628588564876
SV Contact Area - Rear Right,0.024728196331356832
SV Precrash Speed (MPH),0.01598243556760985
SV Contact Area - Front Left,0.01328410176353279
Crash With,0.012207255870378363
State,0.011091199600553495
SV Contact Area - Rear Left,0.010522088543141449
SV Contact Area - Right,0.010322727071316025
Weather - Cloudy,0.010151084340894595
Incident Time (24:00),0.009432059722737487
SV Contact Area - Front Right,0.006617844639249664
Weather - Fog/Smoke,0.006584595856181574
Weather - Clear,0.006085383779377481
Lighting,0.00573959283010231
Automation System Engaged?,0.005241523594513033
SV Contact Area - Left,0.004603652971381155
Roadway Type,0.004152672079016173
SV Contact Area - Front,0.0033670404929217346
SV Contact Area - Rear,0.0025372070355621484
CP Was Vehicle Towed?,0.002233992062661632
CP Pre-Crash Movement,0.0018335667244192607
Model Year,0.0014296684432227402
Mileage,0.000811002227959878
Make,0.0007081396796606594
Posted Speed Limit (MPH),0.0005563262604548913
ADS Equipped?,0.00020597597236006706
Driver / Operator Type,9.61210740739002e-05
SV Was Vehicle Towed?,0.0
