Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
Roadway Surface,-0.08201201023816775,0.46081088935686865,0.568839798103557,-0.709451883028032,0.38725682596332617,114,68,0
Incident Time (24:00),0.23234064647082084,0.36233211966787676,1.0697708332957236,-0.13221886703655011,0.2948176935320478,139,43,0
Lighting,-0.20763573835468238,0.32380514705292884,0.11815996253157307,-0.9560215150281822,0.26346956680366745,43,139,0
SV Contact Area - Front Right,0.19808897275161325,0.19257036653669427,0.6413369674035356,-0.4615312657351337,0.260694309875402,155,27,0
Model Year,-0.006752389212041625,0.2135292955800146,0.3308670713900438,-0.1418001734528758,0.1958192871492095,52,130,0
Driver / Operator Type,-0.14529542328160744,0.2265862624354787,0.08268375139561628,-0.6689867158372591,0.18436576734766785,43,139,0
Weather - Snow,0.06413645315677818,0.19632764955446508,0.33297584417114223,-0.28900867611424724,0.17835840309422435,114,68,0
SV Contact Area - Rear Left,-0.12930160978150979,0.12569936651966998,0.3012622802526222,-0.41862957410380874,0.17016693791449175,27,155,0
Roadway Description,0.034858156945484546,0.1958617799605458,0.30154345701370755,-0.24177808715513482,0.16459856523986852,68,114,0
SV Contact Area - Right,0.1232690811927344,0.11983489953119089,0.39909853440402887,-0.2872069771406612,0.1622278494563654,155,27,0
Weather - Fog/Smoke,0.027962562571863983,0.15711666242563269,0.24189253029266175,-0.19394986663105307,0.13203789537573568,68,114,0
Make,0.004529118443464065,0.14322330074023187,0.09511148731274657,-0.2219268037297422,0.13134443486045957,130,52,0
SV Contact Area - Front Left,-0.09392711690249123,0.09131037976721679,0.2188425763872087,-0.30410038213856344,0.12361245847937656,27,155,0
CP Any Air Bags Deployed?,-0.011751395916948116,0.13962531826076718,0.34407022874051113,-0.10643088908667203,0.11862164735754498,45,137,0
Weather - Cloudy,-0.04131564138094027,0.12647102174994462,0.18617460477785452,-0.21449752658854135,0.11489553065095524,68,114,0
CP Pre-Crash Movement,0.03954013867224046,0.12769922918110285,0.2825633748689058,-0.12013977221267017,0.11480727449582073,87,95,0
SV Were All Passengers Belted?,0.011367302975830877,0.13506168177670808,0.10295220846830695,-0.33282433531288647,0.11474451329315516,137,45,0
SV Precrash Speed (MPH),-0.038381709355615114,0.12395795421947246,0.11661997084380055,-0.27428495935888286,0.11144370226254523,95,87,0
CP Was Vehicle Towed?,0.003408626678118128,0.10779023996067023,0.0715811602404814,-0.16702270722779006,0.09885017366542674,130,52,0
SV Contact Area - Rear,-0.02847628593369549,0.09196729919985247,0.08652307807759108,-0.20349841268528404,0.08268268361199477,95,87,0
SV Was Vehicle Towed?,-0.02350081323357146,0.2448001378497025,0.025459214336369076,-1.2475015024820844,0.07246084080351196,175,7,0
SV Contact Area - Rear Right,-0.006268191776399188,0.07447611142409309,0.1835269778618065,-0.05677021082795651,0.06327275837903937,45,137,0
ADS Equipped?,-0.0020536826399567914,0.0649431473341105,0.10063044935788386,-0.04312733543909305,0.059556796558747564,52,130,0
Weather - Rain,0.018182249273078474,0.05565755647059228,0.09439639242030032,-0.08193199861468009,0.050563397029145994,114,68,0
SV Contact Area - Left,-0.037578922637327546,0.03653200279552315,0.08755584669276953,-0.1216662994801635,0.04945561162096257,27,155,0
Crash With,0.01687614773903152,0.05450337632057234,0.12060102518747186,-0.051276920447879966,0.04900095424468657,87,95,0
Weather - Clear,-0.01746674931877493,0.05346734454943467,0.07870784628982991,-0.09068174669914919,0.04857364825161972,68,114,0
SV Pre-Crash Movement,-0.006444261634685193,0.03620915920124111,0.04469775190920526,-0.05574663440361556,0.03042949805861482,114,68,0
SV Contact Area - Front,-0.008045886009627308,0.025985074307029697,0.02444682656422668,-0.057497843483460515,0.02336173505425456,95,87,0
Weather - Severe Wind,0.004852791354412093,0.027266970939937296,0.04197948513067359,-0.03365922681648602,0.02291465081168437,68,114,0
Automation System Engaged?,0.0022381227834599405,0.026592466814651036,0.020270391654938096,-0.06553020794268347,0.02259219359459901,137,45,0
Roadway Type,0.013842940815524755,0.02158788040023797,0.06373733806988917,-0.007877648525491918,0.017565346162735224,139,43,0
State,0.0034101899237343326,0.010438908597338379,0.01770460966813469,-0.01536683783787389,0.00948346843500169,114,68,0
SV Any Air Bags Deployed?,0.00044859974920985495,0.005330080204751806,0.00406291052483427,-0.013134594342189094,0.00452828256587872,137,45,0
Mileage,-9.758566188787374e-05,0.0030859295854077087,0.00478169743250586,-0.002049298899645367,0.0028299841947483657,52,130,0
Posted Speed Limit (MPH),-0.0018803367578666688,0.002932359935792884,0.0010700495137149152,-0.00865767333823886,0.0023859645500616286,43,139,0
