Feature,Importance
Roadway Surface,0.38725682596332595
Incident Time (24:00),0.29481769353204756
Lighting,0.2634695668036682
SV Contact Area - Front Right,0.2606943098754023
Model Year,0.19581928714920968
Driver / Operator Type,0.1843657673476683
Weather - Snow,0.17835840309422432
SV Contact Area - Rear Left,0.17016693791449145
Roadway Description,0.1645985652398683
SV Contact Area - Right,0.16222784945636567
Weather - Fog/Smoke,0.13203789537573546
Make,0.1313444348604594
SV Contact Area - Front Left,0.12361245847937649
CP Any Air Bags Deployed?,0.11862164735754513
Weather - Cloudy,0.11489553065095524
CP Pre-Crash Movement,0.11480727449582086
SV Were All Passengers Belted?,0.1147445132931552
SV Precrash Speed (MPH),0.11144370226254535
CP Was Vehicle Towed?,0.09885017366542642
SV Contact Area - Rear,0.08268268361199477
SV Was Vehicle Towed?,0.07246084080351176
SV Contact Area - Rear Right,0.06327275837903938
ADS Equipped?,0.059556796558747516
Weather - Rain,0.05056339702914602
SV Contact Area - Left,0.049455611620962577
Crash With,0.049000954244686576
Weather - Clear,0.0485736482516197
SV Pre-Crash Movement,0.030429498058614807
SV Contact Area - Front,0.02336173505425458
Weather - Severe Wind,0.022914650811684378
Automation System Engaged?,0.022592193594598974
Roadway Type,0.017565346162735262
State,0.00948346843500168
SV Any Air Bags Deployed?,0.004528282565878731
Mileage,0.0028299841947483696
Posted Speed Limit (MPH),0.0023859645500616277
