Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
SV Contact Area - Right,0.048897353245474964,0.01746020509235093,0.0827740362695009,0.020860778308367006,0.048897353245474964,182,0,0
Roadway Type,-0.01896741885810959,0.0393140032031802,0.04912785809590154,-0.050763261325594375,0.04352308439920929,53,129,0
Driver / Operator Type,0.013743873073329926,0.03245731770147584,0.042745452107736136,-0.04506028354073319,0.0350420635120993,129,53,0
Posted Speed Limit (MPH),0.009722488702433701,0.024438270422009977,0.03021396928826139,-0.03393318510795644,0.026160741805847362,129,53,0
SV Contact Area - Front Right,-0.022635489960043758,0.00844094659795075,-0.01089754309542644,-0.03947218602538128,0.022635489960043758,0,182,0
Incident Time (24:00),-0.00692838760062817,0.02117366723399625,0.039988103427817924,-0.03179624758183921,0.021365533695729026,53,129,0
Roadway Surface,-0.014551521509138226,0.0027303505750874784,-0.011216879213825762,-0.023818235246942186,0.014551521509138226,0,182,0
CP Any Air Bags Deployed?,-0.013037190266624069,0.003243682151332247,-0.005880303494287877,-0.017950507222709872,0.013037190266624069,0,182,0
SV Contact Area - Front Left,-0.011843870007179003,0.0056295558215752545,-0.0019440381535287972,-0.022853999795291336,0.011843870007179003,0,182,0
SV Were All Passengers Belted?,0.010561972359550913,0.0019145523557493277,0.014576443701077883,0.006111957365013457,0.010561972359550913,182,0,0
Weather - Clear,0.009740287924720224,0.0022499133629206975,0.016903652403710792,0.005258487162894688,0.009740287924720224,182,0,0
Weather - Snow,-0.00857228477102181,0.0014791467605324675,-0.005412305884001031,-0.012268625253493608,0.00857228477102181,0,182,0
SV Contact Area - Left,-0.0085204654974908,0.001174587202171776,-0.0064640937243138,-0.01200688879399684,0.0085204654974908,0,182,0
Roadway Description,0.008169415284472532,0.004150386464175153,0.01502866320348009,0.0005982370573340784,0.008169415284472532,182,0,0
SV Contact Area - Rear Left,-0.005897527780761451,0.004532190896086566,0.006463276215853618,-0.01439204535510109,0.0064509471316438645,26,156,0
Weather - Rain,-0.006166690714718242,0.00482401037168336,-0.0010197405048486834,-0.018675840005074693,0.006166690714718242,0,182,0
Weather - Fog/Smoke,0.005843696250449422,0.0025248333813573873,0.014819856535181529,0.0023637187972990335,0.005843696250449422,182,0,0
SV Any Air Bags Deployed?,0.0053058462184541275,0.0025351788351754938,0.010924969503962097,0.0016925476443509825,0.0053058462184541275,182,0,0
Lighting,0.0024294446829741505,0.0059527730555860225,0.018779997796925903,-0.009866682828273644,0.004817783475319641,123,59,0
Weather - Cloudy,0.004436827594857955,0.0036071375355697186,0.014885510951943551,0.000585441671479981,0.004436827594857955,182,0,0
SV Contact Area - Rear,0.0031507433606515122,0.003511183771159197,0.007919177715962714,-0.006253969504049738,0.004052412585525671,166,16,0
SV Contact Area - Front,-0.00383554024973676,0.0020637019713855326,-0.0001394475051633178,-0.008814609151659634,0.00383554024973676,0,182,0
Weather - Severe Wind,0.0029214735730031228,0.002205693567904876,0.007653653915762035,-0.001888203805241333,0.0030353982586276466,168,14,0
SV Pre-Crash Movement,-0.0023830635987868516,0.002131534949718484,0.0038066464298130206,-0.006046063984565067,0.003027466290074389,28,154,0
CP Pre-Crash Movement,-0.001785825870846381,0.002657240012192078,0.009822086633167311,-0.005349417110729897,0.0028615688580614046,16,166,0
SV Contact Area - Rear Right,-0.0025313488960253907,0.0014498198742565194,0.0005247879915266774,-0.0068741925767055,0.0025411605935064872,4,178,0
Crash With,0.0016569433967778785,0.0024333562920899115,0.006041197525091657,-0.004953575286480337,0.002435601611448181,134,48,0
SV Precrash Speed (MPH),0.0008136793631537297,0.0025934289082356374,0.005398184181692482,-0.008081324435545953,0.0021714494460157918,124,58,0
Model Year,-0.0009026807355320193,0.0020174114644918206,0.0037535925391185363,-0.007093871146273052,0.0020038399356769893,50,132,0
CP Was Vehicle Towed?,0.0006976164197361379,0.00195679511298451,0.004305460208932353,-0.0031352373142976247,0.001953538951507573,130,52,0
Make,0.0002090939064997634,0.0015787471136714003,0.004386318907501231,-0.003127475317431087,0.0014490468061711915,130,52,0
State,0.0005618599661618361,0.0014442852838538385,0.003488759046976972,-0.004226139321356897,0.0013016825288798852,139,43,0
Mileage,-0.0003095249620529204,0.0012071903142063772,0.0033092156063437516,-0.0013407061302030477,0.001190707510324443,52,130,0
Automation System Engaged?,-0.00029927941535562685,0.0007481631787970194,0.0014482451029382494,-0.002067715853303726,0.0006420524784333047,70,112,0
ADS Equipped?,0.0003054953713490239,0.0005782439022534928,0.0020542294801895533,-0.0012495118327570595,0.0004789083706779051,119,63,0
SV Was Vehicle Towed?,0.00012164679976747594,0.0005571474302035138,0.00041467112291158345,-0.0045359355805439485,0.00031502277192942016,175,7,0
