Feature,Importance
SV Contact Area - Right,0.048897353245474964
Roadway Type,0.04352308439920929
Driver / Operator Type,0.035042063512099327
Posted Speed Limit (MPH),0.026160741805847362
SV Contact Area - Front Right,0.022635489960043758
Incident Time (24:00),0.021365533695729022
Roadway Surface,0.014551521509138219
CP Any Air Bags Deployed?,0.013037190266624067
SV Contact Area - Front Left,0.011843870007179
SV Were All Passengers Belted?,0.01056197235955091
Weather - Clear,0.009740287924720219
Weather - Snow,0.008572284771021814
SV Contact Area - Left,0.008520465497490796
Roadway Description,0.008169415284472533
SV Contact Area - Rear Left,0.006450947131643867
Weather - Rain,0.006166690714718245
Weather - Fog/Smoke,0.005843696250449424
SV Any Air Bags Deployed?,0.0053058462184541275
Lighting,0.004817783475319642
Weather - Cloudy,0.004436827594857955
SV Contact Area - Rear,0.004052412585525672
SV Contact Area - Front,0.0038355402497367605
Weather - Severe Wind,0.003035398258627646
SV Pre-Crash Movement,0.0030274662900743876
CP Pre-Crash Movement,0.0028615688580614037
SV Contact Area - Rear Right,0.002541160593506487
Crash With,0.0024356016114481815
SV Precrash Speed (MPH),0.0021714494460157913
Model Year,0.002003839935676991
CP Was Vehicle Towed?,0.0019535389515075727
Make,0.0014490468061711915
State,0.0013016825288798847
Mileage,0.0011907075103244431
Automation System Engaged?,0.0006420524784333049
ADS Equipped?,0.0004789083706779051
SV Was Vehicle Towed?,0.0003150227719294201
