Feature,Importance
SV Contact Area - Front Right,0.031320899587808905
SV Contact Area - Rear Left,0.021177026534013745
Roadway Type,0.021153492474713022
Driver / Operator Type,0.018513537517788857
Roadway Surface,0.018364013190924903
Roadway Description,0.014017407392839487
Model Year,0.009467433710841362
CP Any Air Bags Deployed?,0.007151004293071782
Make,0.006804241409977267
Lighting,0.006301683418836112
SV Contact Area - Rear,0.00628394253818481
SV Precrash Speed (MPH),0.006128926082721573
Incident Time (24:00),0.005472601986866916
SV Were All Passengers Belted?,0.00522172477772977
Weather - Cloudy,0.004803189805271697
SV Contact Area - Front Left,0.004407100643337358
Posted Speed Limit (MPH),0.004275927937454596
SV Contact Area - Front,0.003955533699679664
Weather - Snow,0.0029470048294101287
SV Contact Area - Right,0.0026778320837506117
SV Contact Area - Left,0.002564512089891117
CP Pre-Crash Movement,0.0025151773494202197
CP Was Vehicle Towed?,0.002181315105769422
Weather - Rain,0.0021220418475153984
Weather - Fog/Smoke,0.0018672073285050817
SV Was Vehicle Towed?,0.0017257373829686943
ADS Equipped?,0.0012593685065069964
Crash With,0.0010975146179794952
State,0.0010489916944983833
SV Contact Area - Rear Right,0.0007387682231465881
SV Pre-Crash Movement,0.0006183617232298795
Weather - Severe Wind,0.0
SV Any Air Bags Deployed?,0.0
Automation System Engaged?,0.0
Weather - Clear,0.0
Mileage,0.0
