Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count
SV Contact Area - Right,0.8577188,0.104730956,1.1801202,0.74175656,0.8577188,182,0,0
Roadway Surface,-0.36957532,0.02442668,-0.29093698,-0.40929675,0.36957532,0,182,0
Weather - Cloudy,0.31140304,0.022674154,0.33631372,0.22601525,0.31140304,182,0,0
SV Contact Area - Rear,0.14097723,0.13687497,0.19322526,-0.30401596,0.19366083,166,16,0
Weather - Clear,0.16954802,0.0061165034,0.18839832,0.15228778,0.16954802,182,0,0
SV Were All Passengers Belted?,0.1039278,0.026868377,0.12595624,0.04956902,0.1039278,182,0,0
Incident Time (24:00),0.015406603,0.13474639,0.3122224,-0.062448163,0.10039484,38,144,0
Weather - Rain,0.08625807,0.026684565,0.1659709,0.06925173,0.08625807,182,0,0
SV Pre-Crash Movement,-0.084769726,0.021528604,-0.023836117,-0.105501905,0.084769726,0,182,0
Roadway Type,-0.050528463,0.067427546,0.074452296,-0.1294398,0.08140191,53,129,0
SV Any Air Bags Deployed?,-0.077818505,0.020262467,-0.023485562,-0.09230099,0.077818505,0,182,0
CP Any Air Bags Deployed?,-0.0747037,0.011173484,-0.033641547,-0.09518759,0.0747037,0,182,0
Driver / Operator Type,0.067492075,0.05541378,0.12786333,-0.017153807,0.07072191,148,34,0
Weather - Snow,-0.069724195,0.00967272,-0.034331,-0.09052927,0.069724195,0,182,0
SV Contact Area - Front Right,0.046329513,0.0022441735,0.052237865,0.03946307,0.046329513,182,0,0
Roadway Description,0.041959103,0.024809545,0.061920427,-0.015942717,0.045652337,155,27,0
CP Pre-Crash Movement,-0.02551916,0.04464606,0.14672565,-0.08501643,0.04346602,16,166,0
SV Precrash Speed (MPH),0.039221443,0.01423556,0.055521287,-0.0051368806,0.039592326,167,15,0
SV Contact Area - Front,-0.031816624,0.009656094,-0.004046412,-0.045595597,0.031816624,0,182,0
CP Was Vehicle Towed?,-0.031808026,0.0036486273,-0.018918233,-0.039555505,0.031808026,0,182,0
SV Contact Area - Rear Left,0.029898984,0.009868939,0.05407669,0.004110926,0.029898984,182,0,0
SV Contact Area - Rear Right,-0.026238661,0.0067204186,-0.0021067676,-0.065183416,0.026238661,0,182,0
State,0.0079700425,0.022859149,0.044900227,-0.047199048,0.02129702,123,59,0
Posted Speed Limit (MPH),0.0029967683,0.021704374,0.018279487,-0.037544325,0.020786257,129,53,0
ADS Equipped?,0.01969306,0.00813878,0.028198447,0.0032686696,0.01969306,182,0,0
Weather - Severe Wind,0.01687413,0.0056940317,0.029245563,0.007941331,0.01687413,182,0,0
Weather - Fog/Smoke,-0.0008375485,0.01810186,0.0212119,-0.040007964,0.015585291,125,57,0
SV Contact Area - Left,0.0135790175,0.0049575283,0.022922067,0.0011946905,0.0135790175,182,0,0
Automation System Engaged?,0.013208888,0.00306772,0.016915742,0.00139583,0.013208888,182,0,0
SV Was Vehicle Towed?,0.0011272676,0.016889337,0.007567708,-0.15545231,0.0070043597,175,7,0
Model Year,0.005746374,0.0015823623,0.00703094,0.001414603,0.005746374,182,0,0
Mileage,0.0049945777,0.0009922506,0.006955955,0.0030636778,0.0049945777,182,0,0
Crash With,-0.00063177134,0.003791116,0.004042395,-0.012783847,0.0024171679,104,78,0
SV Contact Area - Front Left,-0.0012332951,0.0027404325,0.0032680319,-0.010780987,0.0023906168,76,106,0
Make,-0.0023607055,0.00042017692,-0.0016180703,-0.0030205846,0.0023607055,0,182,0
Lighting,0.0007202758,0.002233218,0.0035780782,-0.006383528,0.0019303688,144,38,0
