Sample_ID,True_Label,Predicted_Label,Prediction_Confidence,Feature_Driver / Operator Type,Feature_Incident Time (24:00),Feature_Lighting,Feature_Roadway Type,Feature_Posted Speed Limit (MPH),Feature_State,Feature_Weather - Clear,Feature_Weather - Rain,Feature_Weather - Snow,Feature_Weather - Cloudy,Feature_Weather - Fog/Smoke,Feature_Weather - Severe Wind,Feature_Roadway Surface,Feature_Roadway Description,Feature_SV Pre-Crash Movement,Feature_CP Pre-Crash Movement,Feature_SV Precrash Speed (MPH),Feature_Crash With,Feature_SV Contact Area - Front,Feature_SV Contact Area - Rear,Feature_SV Contact Area - Left,Feature_SV Contact Area - Right,Feature_SV Contact Area - Front Left,Feature_SV Contact Area - Front Right,Feature_SV Contact Area - Rear Left,Feature_SV Contact Area - Rear Right,Feature_SV Were All Passengers Belted?,Feature_CP Any Air Bags Deployed?,Feature_SV Any Air Bags Deployed?,Feature_Automation System Engaged?,Feature_ADS Equipped?,Feature_Make,Feature_Model Year,Feature_Mileage,Feature_CP Was Vehicle Towed?,Feature_SV Was Vehicle Towed?,SHAP_Driver / Operator Type,SHAP_Incident Time (24:00),SHAP_Lighting,SHAP_Roadway Type,SHAP_Posted Speed Limit (MPH),SHAP_State,SHAP_Weather - Clear,SHAP_Weather - Rain,SHAP_Weather - Snow,SHAP_Weather - Cloudy,SHAP_Weather - Fog/Smoke,SHAP_Weather - Severe Wind,SHAP_Roadway Surface,SHAP_Roadway Description,SHAP_SV Pre-Crash Movement,SHAP_CP Pre-Crash Movement,SHAP_SV Precrash Speed (MPH),SHAP_Crash With,SHAP_SV Contact Area - Front,SHAP_SV Contact Area - Rear,SHAP_SV Contact Area - Left,SHAP_SV Contact Area - Right,SHAP_SV Contact Area - Front Left,SHAP_SV Contact Area - Front Right,SHAP_SV Contact Area - Rear Left,SHAP_SV Contact Area - Rear Right,SHAP_SV Were All Passengers Belted?,SHAP_CP Any Air Bags Deployed?,SHAP_SV Any Air Bags Deployed?,SHAP_Automation System Engaged?,SHAP_ADS Equipped?,SHAP_Make,SHAP_Model Year,SHAP_Mileage,SHAP_CP Was Vehicle Towed?,SHAP_SV Was Vehicle Towed?,SHAP_Sum,SHAP_Max,SHAP_Min,SHAP_Std,SHAP_Abs_Sum
0,3,3,0.39195752,-0.6331953300757079,1.5180444211394932,1.1771151190584879,2.013029267360185,-0.6650373794149775,-0.8066018731104527,-1.207750560886988,-0.20207259421636897,-0.07507376941024178,-0.25454102585799854,0.0,0.0,1.2967143903973088,1.3680347246151092,0.9562433824214439,0.8526686036937708,-0.739419036777601,1.2691619419176883,-0.6851363110402794,1.7669499741704975,-0.34230618479698605,-0.32149166468100526,-0.6177678918020854,-0.6029403933258496,-0.4598317070799723,-0.5077446527803015,-0.43073444884801515,0.6319676727716234,1.279887230058035,1.6251403005181464,-0.8515504221988041,-0.6498657880629094,-0.5065540526918106,-0.27847484316347193,0.5661280156147471,1.0587472502337893,0.040703885,-0.059643377,0.00050011394,-0.08800688,0.012249961,-0.03678809,0.16513018,0.14414144,-0.06865852,0.25176603,0.020167403,0.027370136,-0.4053979,-0.015887043,-0.023836117,0.12673867,-0.0011132637,-0.012363311,-0.01571917,-0.29728588,0.0065651853,0.96641403,-0.009135709,0.050783277,0.04535609,-0.0070446003,0.05866437,-0.05843114,-0.027054626,0.010948461,0.0032686696,-0.0016593088,0.0033598114,0.006955955,-0.022047644,0.007567708,0.7985788,0.96641403,-0.4053979,0.19229262,3.098724
1,1,1,0.61302567,-0.6331953300757079,-1.5065438928507475,0.15006881538817607,-0.9230628559557408,1.2110762511059572,-0.8066018731104527,-1.207750560886988,-0.20207259421636897,-0.07507376941024178,3.9286397806767406,0.0,0.0,-0.6929616214039672,-0.7598299964861006,0.3246474095793584,0.8526686036937708,1.396993104766906,-2.485925319735899,1.4595635698853069,-0.5659469790419246,-0.34230618479698605,-0.32149166468100526,1.6187309396785075,1.6585387395990336,-0.4598317070799723,-0.5077446527803015,0.8003578317267463,0.6319676727716234,1.279887230058035,-1.0368927950191191,-0.8515504221988041,1.1791630861522047,0.38004063082716905,-0.21628237737704625,0.5661280156147471,1.0587472502337893,0.041354433,-0.053617578,0.001808468,-0.12101426,0.01809439,-0.03934287,0.18795139,0.08836798,-0.034331,0.30142635,-0.03722734,0.019306263,-0.3082525,0.016865361,-0.08172767,-0.08498839,0.050956313,0.0021877452,-0.02464227,0.19055048,0.01848511,0.7807403,-0.002066873,0.04278845,0.03132179,-0.025365762,0.11616611,-0.033641547,-0.09084649,0.0053739753,0.0040733274,-0.0024205884,0.0070050783,0.0046037096,-0.03759248,0.006703589,0.9590529,0.7807403,-0.3082525,0.15977663,2.9132082
2,3,3,0.67713916,4.035405421190876,1.1702694582068174,0.15006881538817607,-0.43371416873641977,-0.6650373794149775,-0.8066018731104527,0.8279855397173954,-0.20207259421636897,-0.07507376941024178,-0.25454102585799854,0.0,0.0,-0.6929616214039672,-0.7598299964861006,0.6404453960004012,-2.012596130830581,-0.8518617810694171,-1.6812637636672731,-0.6851363110402794,-0.5659469790419246,-0.34230618479698605,-0.32149166468100526,-0.6177678918020854,-0.6029403933258496,2.1747086697222544,-0.5077446527803015,-2.8929190099975384,-1.47290598933973,-0.8487135027548621,0.29412375274951374,1.1743285822322556,-0.37889854743844803,0.38004063082716905,-0.21321065199824268,-1.4512582654204003,-1.2153289587808327,-0.003006704,0.2680453,-0.006383528,0.06636227,-0.030723033,0.03385615,0.16413654,0.07259546,-0.083125025,0.31123838,0.0068069426,0.01737499,-0.36969736,0.055809617,-0.09480057,-0.025818849,0.044626623,0.0007635399,-0.038867094,0.18242191,0.012094412,1.0037627,-0.00034357587,0.046131305,0.0231199,-0.024790963,0.11403558,-0.07768556,-0.08130847,0.01571206,0.027870376,-0.00237935,0.006280802,0.0030636778,-0.031147147,0.002627059,1.6086583,1.0037627,-0.36969736,0.19491746,3.348813
3,3,3,0.41726127,0.3005248201776088,1.4231967039760363,0.15006881538817607,1.034331892921543,-0.4305231755998607,-0.8915610348168919,0.8279855397173954,-0.20207259421636897,-0.07507376941024178,-0.25454102585799854,0.0,0.0,-0.6929616214039672,-0.7598299964861006,0.6404453960004012,0.3154314659704549,-0.8518617810694171,-1.413043244977731,-0.6851363110402794,1.7669499741704975,-0.34230618479698605,-0.32149166468100526,-0.6177678918020854,-0.6029403933258496,-0.4598317070799723,1.9694939070735913,0.8003578317267463,-0.42046915828405335,-0.8487135027548621,0.29412375274951374,1.1743285822322556,1.3146467064644352,0.38004063082716905,-0.4512095300494392,-1.4512582654204003,-1.2153289587808327,0.119391404,-0.05847331,0.0004137055,-0.11219887,0.016763661,0.014325504,0.16503209,0.08719413,-0.072867475,0.33372432,0.015138986,0.008030696,-0.38098595,0.056892313,-0.09092414,-0.021691035,0.033466294,0.0004383934,-0.042103816,0.17850141,0.01388256,0.75276136,-0.0033925362,0.047510315,0.03367559,-0.03066526,0.12541555,-0.08026087,-0.085986674,0.012862849,0.020210922,-0.0030205846,0.0065677245,0.0059658354,-0.031691696,0.0027887176,1.036692,0.75276136,-0.38098595,0.16219099,3.0652168
4,3,3,0.34646252,0.3005248201776088,-0.6318371678988661,0.15006881538817607,1.034331892921543,0.2730194358454898,-0.8915610348168919,0.8279855397173954,-0.20207259421636897,-0.07507376941024178,-0.25454102585799854,0.0,0.0,-0.6929616214039672,-0.7598299964861006,0.6404453960004012,-1.4753589931072648,-0.8518617810694171,0.4645003858490625,-0.6851363110402794,-0.5659469790419246,-0.34230618479698605,-0.32149166468100526,-0.6177678918020854,-0.6029403933258496,2.1747086697222544,-0.5077446527803015,0.8003578317267463,0.6319676727716234,-0.8487135027548621,0.29412375274951374,1.1743285822322556,-1.191800269311832,-1.3931487362107904,1.0813287812367602,0.5661280156147471,1.0587472502337893,0.12740684,-0.053096022,0.0018948764,-0.085764386,0.017681053,-0.014940006,0.17061384,0.07271144,-0.07378031,0.31709653,-0.026595749,0.016003778,-0.37274972,0.051156927,-0.095010765,-0.049743623,0.03853392,0.003425238,-0.042499527,0.17837071,0.00842806,0.7826224,8.314435e-05,0.0467105,0.035888806,-0.025914744,0.12085908,-0.07845954,-0.0862856,0.016045282,0.012535475,-0.0024205884,0.006280802,0.00533983,-0.031958137,0.006980255,0.99745,0.7826224,-0.37274972,0.16459717,3.0758874
5,1,3,0.70103556,0.3005248201776088,1.1491921877260491,0.15006881538817607,-0.43371416873641977,-0.4305231755998607,-0.8066018731104527,0.8279855397173954,-0.20207259421636897,-0.07507376941024178,-0.25454102585799854,0.0,0.0,-0.6929616214039672,-0.7598299964861006,0.6404453960004012,0.3154314659704549,-0.8518617810694171,0.19627986715952056,-0.6851363110402794,1.7669499741704975,-0.34230618479698605,-0.32149166468100526,-0.6177678918020854,-0.6029403933258496,-0.4598317070799723,1.9694939070735913,0.8003578317267463,-1.47290598933973,-0.8487135027548621,0.29412375274951374,1.1743285822322556,-0.37889854743844803,0.38004063082716905,-0.2129181067240709,-1.4512582654204003,-1.2153289587808327,0.119391404,-0.05842163,0.00050011394,-0.08172316,0.016839374,0.013395543,0.16537698,0.06969118,-0.069973804,0.33101714,0.013711322,0.007941331,-0.3825052,0.056892313,-0.09083659,-0.028878624,0.046159923,-0.0013805085,-0.03174667,0.18640567,0.01388256,0.7494348,-0.0033079227,0.045283407,0.034965795,-0.030715937,0.12249275,-0.07753959,-0.08817976,0.012814508,0.020210922,-0.0030205846,0.0065976703,0.0059658354,-0.031691696,0.002761679,1.0618105,0.7494348,-0.3825052,0.16102758,3.0216541
6,3,3,0.6123815,3.101685270937559,0.7803399543126052,-1.9040237919524479,1.034331892921543,-0.6650373794149775,-0.8066018731104527,-1.207750560886988,4.948716593053934,-0.07507376941024178,-0.25454102585799854,0.0,0.0,1.9599397276644008,-0.7598299964861006,0.3246474095793584,-2.191675176738353,-0.24145831205670085,0.19627986715952056,-0.6851363110402794,-0.5659469790419246,-0.34230618479698605,3.110500550588872,-0.6177678918020854,1.6585387395990336,-0.4598317070799723,-0.5077446527803015,-2.8929190099975384,-1.47290598933973,-0.8487135027548621,0.29412375274951374,1.1743285822322556,-1.1240584591557168,0.823337972586659,-0.4855171122023103,-1.4512582654204003,-1.2153289587808327,0.012669368,0.26707274,-0.0019604631,0.047685433,-0.030905608,0.03452216,0.17176992,0.07177241,-0.075259484,0.3130532,0.010251414,0.01760374,-0.38067874,0.057260126,-0.09515354,-0.020431101,0.03424669,0.0012432686,-0.038442295,0.17523599,0.015828311,1.0063655,0.0011157097,0.047552224,0.013558459,-0.02545555,0.11690282,-0.078908585,-0.08216278,0.012289913,0.027578581,-0.00237935,0.006280802,0.0030636778,-0.03488083,-0.06138999,1.5369141,1.0063655,-0.38067874,0.19641045,3.3929307
7,3,3,0.7258264,0.3005248201776088,-0.7056076145815549,0.15006881538817607,1.034331892921543,-0.6650373794149775,-0.8066018731104527,0.8279855397173954,-0.20207259421636897,-0.07507376941024178,-0.25454102585799854,0.0,0.0,-0.6929616214039672,-0.7598299964861006,0.6404453960004012,0.3154314659704549,-0.048699321842158846,0.19627986715952056,-0.6851363110402794,1.7669499741704975,-0.34230618479698605,-0.32149166468100526,-0.6177678918020854,-0.6029403933258496,-0.4598317070799723,-0.5077446527803015,0.8003578317267463,0.6319676727716234,-0.8487135027548621,0.29412375274951374,1.1743285822322556,1.3146467064644352,-1.8364460779702803,0.5580450708182395,0.5661280156147471,-1.2153289587808327,0.119391404,-0.05303504,0.0004137055,-0.112556435,0.017160138,0.010880236,0.16885787,0.08754033,-0.07452911,0.3166093,0.010797715,0.016003778,-0.38100746,0.052438453,-0.095010765,-0.023286235,0.037207704,0.0004383934,-0.042103816,0.17875455,0.015114966,0.77715605,-0.0034298785,0.047905713,0.031536173,-0.02426387,0.12448664,-0.07954113,-0.085986674,0.016105613,0.020210922,-0.0024205884,0.0065677245,0.0059658354,-0.031958137,0.0026730367,1.0550871,0.77715605,-0.38100746,0.16442291,3.0733457
8,3,3,0.7360644,0.3005248201776088,0.45364226186069767,-1.9040237919524479,-0.43371416873641977,-0.6650373794149775,-0.8066018731104527,0.8279855397173954,-0.20207259421636897,-0.07507376941024178,-0.25454102585799854,0.0,0.0,-0.6929616214039672,-0.7598299964861006,0.3246474095793584,0.3154314659704549,-0.8197352827003268,1.0009414232281464,-0.6851363110402794,1.7669499741704975,-0.34230618479698605,-0.32149166468100526,-0.6177678918020854,-0.6029403933258496,2.1747086697222544,-0.5077446527803015,0.8003578317267463,-1.47290598933973,-0.8487135027548621,0.29412375274951374,1.1743285822322556,-0.37889854743844803,0.38004063082716905,-0.36433688113288615,-1.4512582654204003,1.0587472502337893,0.12517004,-0.054071046,0.00050011394,-0.090149276,0.01723585,-0.02811912,0.1621891,0.0697024,-0.07355906,0.31481168,-0.025993971,0.016955934,-0.38700202,0.050987944,-0.09480057,-0.0601758,0.048240565,0.0007635399,-0.031499714,0.18648508,0.0034325435,0.95353216,-0.00484093,0.0460557,0.036151107,-0.025416244,0.058352828,-0.07838612,-0.0890227,0.016014684,0.007947411,-0.0016593088,0.0065976703,0.0059658354,-0.031958137,0.007123454,1.0575616,0.95353216,-0.38700202,0.18773052,3.21087
9,1,1,0.53131765,1.2342449704309255,1.0543444705625922,-1.9040237919524479,-0.43371416873641977,-0.6650373794149775,-0.8066018731104527,0.8279855397173954,-0.20207259421636897,-0.07507376941024178,-0.25454102585799854,0.0,0.0,-0.6929616214039672,-0.7598299964861006,0.6404453960004012,0.3154314659704549,-0.8518617810694171,0.19627986715952056,-0.6851363110402794,1.7669499741704975,-0.34230618479698605,-0.32149166468100526,-0.6177678918020854,-0.6029403933258496,-0.4598317070799723,1.9694939070735913,0.8003578317267463,-1.47290598933973,-0.8487135027548621,0.29412375274951374,1.1743285822322556,-1.1240584591557168,-0.06325671093232078,-0.0906740746576585,-1.4512582654204003,-1.2153289587808327,-0.016865097,-0.04706802,0.0021833156,0.052776217,-0.03535484,0.029182937,0.16612305,0.06969118,-0.07236198,0.3278662,0.013711322,0.0090916315,-0.3825684,0.06128919,-0.09083659,-0.028836628,0.048321363,-0.0013805085,-0.032453183,0.186181,0.013790072,0.74175656,-0.0033079227,0.0457107,0.021505058,-0.030068219,0.12303343,-0.07867461,-0.08137277,0.012529626,0.020210922,-0.0030205846,0.0065976703,0.0062360405,-0.030870605,0.002761679,1.0255092,0.74175656,-0.3825684,0.15849225,2.895589
