Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Roadway Description,0.056904374214489746,0.0510985158498292,0.1658213173777224,-0.031120900572545174,0.06129142543377203,148,34,0,-0.3467280542942908,0.8284069028290365,-0.25757101335773436
Roadway Surface,-0.05504692207544563,0.026482752811107575,-0.006191660843700517,-0.12575574349519553,0.05504692207544563,0,182,0,-0.20829695186263072,0.9089004770372504,0.6319346169191937
SV Any Air Bags Deployed?,0.05094938339973133,0.024676180357409924,0.08719678641954609,0.008842420781685376,0.05094938339973133,182,0,0,-0.5368306115002252,0.7188968296656633,-0.5525536399077355
CP Any Air Bags Deployed?,-0.04455014923290048,0.02987178875667825,0.04913216669687367,-0.09071075263742855,0.04509006315264634,1,181,0,-0.5476867972028714,1.0505287431303303,0.374758800102093
Weather - Rain,0.03901279541402937,0.024338191094058118,0.07007852436169082,-0.008373054097154591,0.03957140863232895,163,19,0,-0.003965317782895779,0.990536382167366,0.008790330086229628
SV Pre-Crash Movement,-0.034831070664436824,0.027864430248073224,-0.00955276771212863,-0.0972288819525352,0.034831070664436824,0,182,0,0.05569857499000878,0.9654396208579182,0.11565521493035204
Weather - Severe Wind,0.02963426027212885,0.0430373612661997,0.18246683269170186,-0.007826632733643356,0.030715045541772654,167,15,0,0.0,0.0,
Weather - Snow,-0.02723106510736588,0.02397474201296588,0.011101975657226978,-0.060599952446370224,0.02880227342507378,38,144,0,-0.0750737694102418,1.3877787807814457e-17,1.6220531788577237e-16
SV Were All Passengers Belted?,0.018331301954440018,0.027083353540890354,0.07355080991980732,-0.04254946328138194,0.02796462858856486,148,34,0,-0.11281501375453284,1.3684015712326532,0.6740395930601975
SV Contact Area - Rear Right,-0.024176628271456082,0.02542208581133265,0.0032404149358078384,-0.12199275422513632,0.02472819633135683,19,163,0,0.009480980595786013,1.0068609274983322,-0.07202817520910985
