Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Roadway Description,0.056904374214489746,0.0510985158498292,0.1658213173777224,-0.031120900572545174,0.06129142543377203,148,34,0,-0.3467280542942908,0.8284069028290365,-0.25757101335773436
Roadway Surface,-0.05504692207544563,0.026482752811107575,-0.006191660843700517,-0.12575574349519553,0.05504692207544563,0,182,0,-0.20829695186263072,0.9089004770372504,0.6319346169191937
SV Any Air Bags Deployed?,0.05094938339973133,0.024676180357409924,0.08719678641954609,0.008842420781685376,0.05094938339973133,182,0,0,-0.5368306115002252,0.7188968296656633,-0.5525536399077355
CP Any Air Bags Deployed?,-0.04455014923290048,0.02987178875667825,0.04913216669687367,-0.09071075263742855,0.04509006315264634,1,181,0,-0.5476867972028714,1.0505287431303303,0.374758800102093
Weather - Rain,0.03901279541402937,0.024338191094058118,0.07007852436169082,-0.008373054097154591,0.03957140863232895,163,19,0,-0.003965317782895779,0.990536382167366,0.008790330086229628
SV Pre-Crash Movement,-0.034831070664436824,0.027864430248073224,-0.00955276771212863,-0.0972288819525352,0.034831070664436824,0,182,0,0.05569857499000878,0.9654396208579182,0.11565521493035204
Weather - Severe Wind,0.02963426027212885,0.0430373612661997,0.18246683269170186,-0.007826632733643356,0.030715045541772654,167,15,0,0.0,0.0,
Weather - Snow,-0.02723106510736588,0.02397474201296588,0.011101975657226978,-0.060599952446370224,0.02880227342507378,38,144,0,-0.0750737694102418,1.3877787807814457e-17,1.6220531788577237e-16
SV Were All Passengers Belted?,0.018331301954440018,0.027083353540890354,0.07355080991980732,-0.04254946328138194,0.02796462858856486,148,34,0,-0.11281501375453284,1.3684015712326532,0.6740395930601975
SV Contact Area - Rear Right,-0.024176628271456082,0.02542208581133265,0.0032404149358078384,-0.12199275422513632,0.02472819633135683,19,163,0,0.009480980595786013,1.0068609274983322,-0.07202817520910985
SV Precrash Speed (MPH),-0.015085519355045584,0.010305835964540367,0.009083176214514153,-0.024978086479425912,0.015982435567609855,16,166,0,-0.4400424365909132,0.682890087678399,0.3249814078078407
SV Contact Area - Front Left,0.01328410176353279,0.01325209950533342,0.0509973760601191,0.0037949397820952386,0.01328410176353279,182,0,0,-0.19996041778922735,0.8717011196921856,-0.03654029345141275
Crash With,0.011429686859586882,0.00813153418240503,0.01938397363538804,-0.009802508032128208,0.01220725587037837,158,24,0,0.0975393465430408,0.8878822573272712,-0.030391212640991924
State,-0.009299763035425578,0.016690787170994283,0.01645671890176193,-0.060507707897064576,0.011091199600553499,47,135,0,-0.32018733191204835,0.842613668948461,-0.5493077893120717
SV Contact Area - Rear Left,-0.010522088543141444,0.003927849462277281,-0.008091179392896782,-0.028487011391495873,0.010522088543141444,0,182,0,0.17709014225682979,1.1279746835735,0.25270162457672374
SV Contact Area - Right,0.008201247024707198,0.006863378946263706,0.014175103733528928,-0.011191185184284698,0.010322727071316014,164,18,0,-0.03863516342249893,0.943797388242553,-0.09573661904070997
Weather - Cloudy,-0.00681052274542408,0.01506693467306971,0.05477843543872063,-0.05823108507719502,0.010151084340894595,25,157,0,0.1132111329582423,1.184538780288686,-0.14584455217254416
Incident Time (24:00),0.005488645749314214,0.01598070344095471,0.04120901497240316,-0.0034156550184231533,0.00943205972273749,38,144,0,0.1287396116750094,1.0145795477653887,0.09104151585934345
SV Contact Area - Front Right,-0.006617844639249667,0.002167405444706111,-6.522835265751871e-05,-0.00861976025549041,0.006617844639249667,0,182,0,-0.1804662695926296,0.8814374792344889,0.200940998762082
Weather - Fog/Smoke,0.003339358253263356,0.009962525235143791,0.023358267412562993,-0.008727241571468054,0.0065845958561815765,64,118,0,0.0,0.0,
