Feature,Importance,Rank
Roadway Surface,0.38725682596332595,1
Incident Time (24:00),0.29481769353204756,2
Lighting,0.2634695668036682,3
SV Contact Area - Front Right,0.2606943098754023,4
Model Year,0.19581928714920968,5
Driver / Operator Type,0.1843657673476683,6
Weather - Snow,0.17835840309422432,7
SV Contact Area - Rear Left,0.17016693791449145,8
Roadway Description,0.1645985652398683,9
SV Contact Area - Right,0.16222784945636567,10
Weather - Fog/Smoke,0.13203789537573546,11
Make,0.1313444348604594,12
SV Contact Area - Front Left,0.12361245847937649,13
CP Any Air Bags Deployed?,0.11862164735754513,14
Weather - Cloudy,0.11489553065095524,15
CP Pre-Crash Movement,0.11480727449582086,16
SV Were All Passengers Belted?,0.1147445132931552,17
SV Precrash Speed (MPH),0.11144370226254535,18
CP Was Vehicle Towed?,0.09885017366542642,19
SV Contact Area - Rear,0.08268268361199477,20
