Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Roadway Surface,-0.08201201023816775,0.46081088935686865,0.568839798103557,-0.709451883028032,0.38725682596332617,114,68,0,-0.20829695186263072,0.9089004770372504,0.3527651805664756
Incident Time (24:00),0.23234064647082084,0.36233211966787676,1.0697708332957236,-0.13221886703655011,0.2948176935320478,139,43,0,0.1287396116750094,1.0145795477653887,0.03737344279166689
Lighting,-0.20763573835468238,0.32380514705292884,0.11815996253157307,-0.9560215150281822,0.26346956680366745,43,139,0,-0.3916698942401204,1.1107186120135948,0.5137757035953653
SV Contact Area - Front Right,0.19808897275161325,0.19257036653669427,0.6413369674035356,-0.4615312657351337,0.260694309875402,155,27,0,-0.1804662695926296,0.8814374792344889,-0.14547745246624846
Model Year,-0.006752389212041625,0.2135292955800146,0.3308670713900438,-0.1418001734528758,0.1958192871492095,52,130,0,0.12672786410746054,0.7292795602584098,0.03485327855791973
Driver / Operator Type,-0.14529542328160744,0.2265862624354787,0.08268375139561628,-0.6689867158372591,0.18436576734766785,43,139,0,0.7827758867919592,1.4073198843732584,-0.9999999999999999
Weather - Snow,0.06413645315677818,0.19632764955446508,0.33297584417114223,-0.28900867611424724,0.17835840309422435,114,68,0,-0.0750737694102418,1.3877787807814457e-17,-3.029437453004403e-17
SV Contact Area - Rear Left,-0.12930160978150979,0.12569936651966998,0.3012622802526222,-0.41862957410380874,0.17016693791449175,27,155,0,0.17709014225682979,1.1279746835735,-0.040458225289699425
Roadway Description,0.034858156945484546,0.1958617799605458,0.30154345701370755,-0.24177808715513482,0.16459856523986852,68,114,0,-0.3467280542942908,0.8284069028290365,-0.5172727994295986
SV Contact Area - Right,0.1232690811927344,0.11983489953119089,0.39909853440402887,-0.2872069771406612,0.1622278494563654,155,27,0,-0.03863516342249893,0.943797388242553,-0.0043591418110902145
Weather - Fog/Smoke,0.027962562571863983,0.15711666242563269,0.24189253029266175,-0.19394986663105307,0.13203789537573568,68,114,0,0.0,0.0,
Make,0.004529118443464065,0.14322330074023187,0.09511148731274657,-0.2219268037297422,0.13134443486045957,130,52,0,-0.32343959296998004,0.8301355172047779,-0.042110739036219175
SV Contact Area - Front Left,-0.09392711690249123,0.09131037976721679,0.2188425763872087,-0.30410038213856344,0.12361245847937656,27,155,0,-0.19996041778922735,0.8717011196921856,0.3123305559819774
CP Any Air Bags Deployed?,-0.011751395916948116,0.13962531826076718,0.34407022874051113,-0.10643088908667203,0.11862164735754498,45,137,0,-0.5476867972028714,1.0505287431303303,0.2930192789430984
Weather - Cloudy,-0.04131564138094027,0.12647102174994462,0.18617460477785452,-0.21449752658854135,0.11489553065095524,68,114,0,0.1132111329582423,1.184538780288686,0.22285966388737968
CP Pre-Crash Movement,0.03954013867224046,0.12769922918110285,0.2825633748689058,-0.12013977221267017,0.11480727449582073,87,95,0,-0.2847785230610886,1.0977945752911393,0.040637414181195826
SV Were All Passengers Belted?,0.011367302975830877,0.13506168177670808,0.10295220846830695,-0.33282433531288647,0.11474451329315516,137,45,0,-0.11281501375453284,1.3684015712326532,-0.022384666062668424
SV Precrash Speed (MPH),-0.038381709355615114,0.12395795421947246,0.11661997084380055,-0.27428495935888286,0.11144370226254523,95,87,0,-0.4400424365909132,0.682890087678399,0.17043294720505955
CP Was Vehicle Towed?,0.003408626678118128,0.10779023996067023,0.0715811602404814,-0.16702270722779006,0.09885017366542674,130,52,0,-0.5256991749454837,1.0353963147187286,-0.3351554260681654
SV Contact Area - Rear,-0.02847628593369549,0.09196729919985247,0.08652307807759108,-0.20349841268528404,0.08268268361199477,95,87,0,0.023686316824951283,1.0138472744183902,-0.03030427035171145
SV Was Vehicle Towed?,-0.02350081323357146,0.2448001378497025,0.025459214336369076,-1.2475015024820844,0.07246084080351196,175,7,0,-0.34693172511865555,1.062233920279147,0.07175353405644967
SV Contact Area - Rear Right,-0.006268191776399188,0.07447611142409309,0.1835269778618065,-0.05677021082795651,0.06327275837903937,45,137,0,0.009480980595786013,1.0068609274983322,-0.23111770054744055
ADS Equipped?,-0.0020536826399567914,0.0649431473341105,0.10063044935788386,-0.04312733543909305,0.059556796558747564,52,130,0,0.7068180427481645,0.8535535611561537,-0.606217782649107
Weather - Rain,0.018182249273078474,0.05565755647059228,0.09439639242030032,-0.08193199861468009,0.050563397029145994,114,68,0,-0.003965317782895779,0.990536382167366,-0.060896355389345666
SV Contact Area - Left,-0.037578922637327546,0.03653200279552315,0.08755584669276953,-0.1216662994801635,0.04945561162096257,27,155,0,-0.07332261076076699,0.897508077509307,-0.04904034537476463
Crash With,0.01687614773903152,0.05450337632057234,0.12060102518747186,-0.051276920447879966,0.04900095424468657,87,95,0,0.0975393465430408,0.8878822573272712,0.11550540829536608
Weather - Clear,-0.01746674931877493,0.05346734454943467,0.07870784628982991,-0.09068174669914919,0.04857364825161972,68,114,0,0.24634665383042867,0.9196518275627901,0.1310278160763354
SV Pre-Crash Movement,-0.006444261634685193,0.03620915920124111,0.04469775190920526,-0.05574663440361556,0.03042949805861482,114,68,0,0.05569857499000878,0.9654396208579182,0.13584473166850705
SV Contact Area - Front,-0.008045886009627308,0.025985074307029697,0.02444682656422668,-0.057497843483460515,0.02336173505425456,95,87,0,-0.40231874432481757,0.7256535162289647,0.11180113079380313
Weather - Severe Wind,0.004852791354412093,0.027266970939937296,0.04197948513067359,-0.03365922681648602,0.02291465081168437,68,114,0,0.0,0.0,
Automation System Engaged?,0.0022381227834599405,0.026592466814651036,0.020270391654938096,-0.06553020794268347,0.02259219359459901,137,45,0,0.3014370304845062,0.6763497017836316,0.028046747453440737
Roadway Type,0.013842940815524755,0.02158788040023797,0.06373733806988917,-0.007877648525491918,0.017565346162735224,139,43,0,0.24115682297813823,0.9310498407309442,-0.010801249287891198
State,0.0034101899237343326,0.010438908597338379,0.01770460966813469,-0.01536683783787389,0.00948346843500169,114,68,0,-0.32018733191204835,0.842613668948461,0.08518703290763814
