Feature,Importance,Rank
SV Contact Area - Right,0.048897353245474964,1
Roadway Type,0.04352308439920929,2
Driver / Operator Type,0.035042063512099327,3
Posted Speed Limit (MPH),0.026160741805847362,4
SV Contact Area - Front Right,0.022635489960043758,5
Incident Time (24:00),0.021365533695729022,6
Roadway Surface,0.014551521509138219,7
CP Any Air Bags Deployed?,0.013037190266624067,8
SV Contact Area - Front Left,0.011843870007179,9
SV Were All Passengers Belted?,0.01056197235955091,10
Weather - Clear,0.009740287924720219,11
Weather - Snow,0.008572284771021814,12
SV Contact Area - Left,0.008520465497490796,13
Roadway Description,0.008169415284472533,14
SV Contact Area - Rear Left,0.006450947131643867,15
Weather - Rain,0.006166690714718245,16
Weather - Fog/Smoke,0.005843696250449424,17
SV Any Air Bags Deployed?,0.0053058462184541275,18
Lighting,0.004817783475319642,19
Weather - Cloudy,0.004436827594857955,20
