Feature,Importance,Rank
SV Contact Area - Front Right,0.031320899587808905,1
SV Contact Area - Rear Left,0.021177026534013745,2
Roadway Type,0.021153492474713022,3
Driver / Operator Type,0.018513537517788857,4
Roadway Surface,0.018364013190924903,5
Roadway Description,0.014017407392839487,6
Model Year,0.009467433710841362,7
CP Any Air Bags Deployed?,0.007151004293071782,8
Make,0.006804241409977267,9
Lighting,0.006301683418836112,10
SV Contact Area - Rear,0.00628394253818481,11
SV Precrash Speed (MPH),0.006128926082721573,12
Incident Time (24:00),0.005472601986866916,13
SV Were All Passengers Belted?,0.00522172477772977,14
Weather - Cloudy,0.004803189805271697,15
SV Contact Area - Front Left,0.004407100643337358,16
Posted Speed Limit (MPH),0.004275927937454596,17
SV Contact Area - Front,0.003955533699679664,18
Weather - Snow,0.0029470048294101287,19
SV Contact Area - Right,0.0026778320837506117,20
